t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
  1.998401444325E-05,  3.598984664573E+03,  3.599999999979E+03,  3.200711391555E+02,  6.207818924855E+04,  9.918599818371E+02,  9.305230993270E-01,NaN,NaN,  1.332331529339E-02,  4.084955739893E+15,  6.612802035939E+19,  2.067843814674E+20,  1.136868266229E+18,  1.529980553308E+21,  8.756943016383E+19,  1.057367095287E+13,  2.168763133930E+02,  6.114668820941E+01,  1.457296231499E+02,NaN,  1.000000000000E+01,NaN,  2.033694302615E-06,  3.474445458880E-02,NaN,  3.504050000000E+06,  4.266428405028E-07
  3.996802888651E-05,  3.598969331183E+03,  3.599999999957E+03,  3.265321636530E+02,  6.207657440869E+04,  9.918599818371E+02,  9.305230993179E-01,NaN,NaN,  1.325691412004E-02,  4.084955740440E+15,  6.612802035889E+19,  2.067843814678E+20,  1.136868266390E+18,  1.529980553307E+21,  8.756943016419E+19,  1.057367095287E+13,  2.168763133941E+02,  6.114668821018E+01,  1.457296231502E+02,NaN,  9.999999999982E+00,NaN,  2.033694302615E-06,  3.474445458876E-02,NaN,  3.504050000000E+06,  4.266428405090E-07
  5.995204332976E-05,  3.598953999838E+03,  3.599999999935E+03,  3.330244410924E+02,  6.207495981928E+04,  9.918599818371E+02,  9.305230993087E-01,NaN,NaN,  1.319182578812E-02,  4.084955740997E+15,  6.612802035839E+19,  2.067843814683E+20,  1.136868266553E+18,  1.529980553306E+21,  8.756943016450E+19,  1.057367095287E+13,  2.168763133952E+02,  6.114668821097E+01,  1.457296231506E+02,NaN,  9.999999999954E+00,NaN,  2.033694302615E-06,  3.474445458872E-02,NaN,  3.504050000000E+06,  4.266428405154E-07
  8.574643183884E-05,  3.598934213167E+03,  3.599999999907E+03,  3.414503464809E+02,  6.207287607833E+04,  9.918599818371E+02,  9.305230992965E-01,NaN,NaN,  1.310967861205E-02,  4.084955741729E+15,  6.612802035773E+19,  2.067843814690E+20,  1.136868266767E+18,  1.529980553305E+21,  8.756943016504E+19,  1.057367122129E+13,  2.168763133967E+02,  6.114668821200E+01,  1.457296231510E+02,NaN,  9.999999999942E+00,NaN,  2.033694354243E-06,  3.474445458866E-02,NaN,  3.504050000000E+06,  4.266428405238E-07
  1.115408203479E-04,  3.598914429549E+03,  3.599999999877E+03,  3.499272471766E+02,  6.207079271729E+04,  9.918599818371E+02,  9.305230992840E-01,NaN,NaN,  1.302955232613E-02,  4.084955742477E+15,  6.612802035706E+19,  2.067843814696E+20,  1.136868266986E+18,  1.529980553305E+21,  8.756943016559E+19,  1.057367122129E+13,  2.168763133982E+02,  6.114668821306E+01,  1.457296231515E+02,NaN,  9.999999999930E+00,NaN,  2.033694354243E-06,  3.474445458860E-02,NaN,  3.504050000000E+06,  4.266428405324E-07
  1.373352088570E-04,  3.598894649251E+03,  3.599999999847E+03,  3.584543659264E+02,  6.206870976433E+04,  9.918599818371E+02,  9.305230992713E-01,NaN,NaN,  1.295136269785E-02,  4.084955743243E+15,  6.612802035637E+19,  2.067843814703E+20,  1.136868267211E+18,  1.529980553304E+21,  8.756943016616E+19,  1.057367122129E+13,  2.168763133997E+02,  6.114668821414E+01,  1.457296231520E+02,NaN,  9.999999999918E+00,NaN,  2.033694354243E-06,  3.474445458854E-02,NaN,  3.504050000000E+06,  4.266428405411E-07
  1.631295973661E-04,  3.598874872372E+03,  3.599999999816E+03,  3.670310154344E+02,  6.206662722996E+04,  9.918599818371E+02,  9.305230992583E-01,NaN,NaN,  1.287502980510E-02,  4.084955744027E+15,  6.612802035567E+19,  2.067843814710E+20,  1.136868267440E+18,  1.529980553303E+21,  8.756943016675E+19,  1.057367122129E+13,  2.168763134013E+02,  6.114668821525E+01,  1.457296231525E+02,NaN,  9.999999999907E+00,NaN,  2.033694354243E-06,  3.474445458848E-02,NaN,  3.504050000000E+06,  4.266428405501E-07
  2.149289560161E-04,  3.598835167688E+03,  3.599999999752E+03,  3.844013435113E+02,  6.206244644476E+04,  9.918599818371E+02,  9.305230992311E-01,NaN,NaN,  1.272704882423E-02,  4.084955745658E+15,  6.612802035420E+19,  2.067843814725E+20,  1.136868267918E+18,  1.529980553301E+21,  8.756943016796E+19,  1.057367095287E+13,  2.168763134046E+02,  6.114668821756E+01,  1.457296231535E+02,NaN,  9.999999999883E+00,NaN,  2.033694302615E-06,  3.474445458835E-02,NaN,  3.504050000000E+06,  4.266428405688E-07
  2.964016327600E-04,  3.598772746867E+03,  3.599999999644E+03,  4.121093862062E+02,  6.205587419410E+04,  9.918599818371E+02,  9.305230991859E-01,NaN,NaN,  1.250750853392E-02,  4.084955748377E+15,  6.612802035176E+19,  2.067843814749E+20,  1.136868268714E+18,  1.529980553298E+21,  8.756943017000E+19,  1.057367095287E+13,  2.168763134101E+02,  6.114668822140E+01,  1.457296231552E+02,NaN,  9.999999999845E+00,NaN,  2.033694302615E-06,  3.474445458813E-02,NaN,  3.504050000000E+06,  4.266428405999E-07
  3.778743095040E-04,  3.598710361537E+03,  3.599999999530E+03,  4.402752102545E+02,  6.204930626188E+04,  9.918599818371E+02,  9.305230991375E-01,NaN,NaN,  1.230248590491E-02,  4.084955751288E+15,  6.612802034914E+19,  2.067843814774E+20,  1.136868269567E+18,  1.529980553294E+21,  8.756943017220E+19,  1.057367122129E+13,  2.168763134160E+02,  6.114668822552E+01,  1.457296231570E+02,NaN,  9.999999999808E+00,NaN,  2.033694354243E-06,  3.474445458789E-02,NaN,  3.504050000000E+06,  4.266428406332E-07
