t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
8.2985E-13,3549.000,3550.000,3.1004E+02,8.6198E+05,9.9186E+02,0.907698,NaN,NaN,1.3547E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,3.0606E+02,2.8619E+00,2.9320E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.2395E-02,NaN,3.5041E+06,4.4170E-07
1.7130E-05,3548.820,3550.000,3.8679E+02,8.6169E+05,9.9186E+02,0.907698,NaN,NaN,1.2818E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,3.0606E+02,2.8619E+00,2.9320E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.2395E-02,NaN,3.5041E+06,4.4170E-07
2.8324E-04,3546.027,3550.000,1.9512E+03,8.5732E+05,9.9186E+02,0.907698,NaN,NaN,8.5529E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,3.0606E+02,2.8619E+00,2.9320E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.2395E-02,NaN,3.5041E+06,4.4170E-07
1.2440E-03,3536.115,3550.000,1.0347E+04,8.4195E+05,9.9186E+02,0.907698,NaN,NaN,5.6363E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,3.0606E+02,2.8619E+00,2.9320E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.2395E-02,NaN,3.5041E+06,4.4170E-07
4.5889E-03,3503.921,3550.000,5.1216E+04,7.9360E+05,9.9186E+02,0.907697,NaN,NaN,3.7787E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,3.0606E+02,2.8619E+00,2.9320E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.2395E-02,NaN,3.5041E+06,4.4170E-07
1.5443E-02,3423.322,3549.996,1.9724E+05,6.8275E+05,9.9186E+02,0.907696,NaN,NaN,2.6974E-03,5.4662E-06,6.4891E-02,2.0802E-01,1.5690E+17,1.5485E+20,5.3658E+19,9.4715E+12,3.0606E+02,2.8619E+00,2.9320E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.2395E-02,NaN,3.5041E+06,4.4170E-07
4.6037E-02,3321.912,3549.966,4.3197E+05,5.6212E+05,9.9186E+02,0.907681,NaN,NaN,2.2173E-03,5.4678E-06,6.4890E-02,2.0802E-01,1.5695E+17,1.5485E+20,5.3658E+19,9.4709E+12,3.0606E+02,2.8620E+00,2.9320E+02,NaN,1.0000E+01,NaN,1.8216E-06,4.2395E-02,NaN,3.5041E+06,4.4171E-07
1.3370E-01,3287.163,3549.839,5.2154E+05,5.2514E+05,9.9186E+02,0.907619,NaN,NaN,2.1153E-03,5.4745E-06,6.4884E-02,2.0803E-01,1.5716E+17,1.5485E+20,5.3658E+19,9.4684E+12,3.0607E+02,2.8624E+00,2.9321E+02,NaN,1.0000E+01,NaN,1.8211E-06,4.2395E-02,NaN,3.5045E+06,4.4175E-07
4.2613E-01,3286.178,3549.397,5.2292E+05,5.2400E+05,9.9186E+02,0.907402,NaN,NaN,2.1141E-03,5.4982E-06,6.4862E-02,2.0805E-01,1.5789E+17,1.5485E+20,5.3659E+19,9.4596E+12,3.0611E+02,2.8641E+00,2.9324E+02,NaN,1.0000E+01,NaN,1.8194E-06,4.2395E-02,NaN,3.5056E+06,4.4189E-07
6.4091E+00,3280.096,3540.415,5.1416E+05,5.1524E+05,9.9186E+02,0.902938,NaN,NaN,2.1264E-03,5.9831E-06,6.4428E-02,2.0848E-01,1.7291E+17,1.5481E+20,5.3678E+19,9.2819E+12,3.0675E+02,2.8975E+00,2.9385E+02,NaN,1.0000E+01,NaN,1.7852E-06,4.2395E-02,NaN,3.5280E+06,4.4472E-07
1.6234E+01,3270.290,3525.944,5.0018E+05,5.0126E+05,9.9186E+02,0.895517,NaN,NaN,2.1467E-03,6.7805E-06,6.3712E-02,2.0920E-01,1.9794E+17,1.5475E+20,5.3711E+19,8.9986E+12,3.0781E+02,2.9537E+00,2.9486E+02,NaN,1.0000E+01,NaN,1.7308E-06,4.2396E-02,NaN,3.5640E+06,4.4936E-07
1.6487E+01,3269.974,3525.576,5.0000E+05,5.0108E+05,9.9186E+02,0.895323,NaN,NaN,2.1470E-03,6.7545E-06,6.3736E-02,2.0917E-01,1.9712E+17,1.5475E+20,5.3710E+19,8.9914E+12,3.0778E+02,2.9518E+00,2.9483E+02,NaN,1.0000E+01,NaN,1.7294E-06,4.2396E-02,NaN,3.5649E+06,4.4948E-07
1.7788E+01,3268.660,3523.686,4.9827E+05,4.9947E+05,9.9186E+02,0.894334,NaN,NaN,2.1496E-03,6.8133E-06,6.3683E-02,2.0923E-01,1.9899E+17,1.5475E+20,5.3712E+19,8.9547E+12,3.0786E+02,2.9560E+00,2.9490E+02,NaN,1.0000E+01,NaN,1.7223E-06,4.2396E-02,NaN,3.5695E+06,4.5009E-07
1.9170E+01,3267.266,3521.683,4.9645E+05,4.9752E+05,9.9186E+02,0.893286,NaN,NaN,2.1524E-03,6.9253E-06,6.3582E-02,2.0933E-01,2.0254E+17,1.5474E+20,5.3717E+19,8.9159E+12,3.0801E+02,2.9641E+00,2.9504E+02,NaN,1.0000E+01,NaN,1.7148E-06,4.2396E-02,NaN,3.5745E+06,4.5074E-07
1.9332E+01,3267.040,3521.449,4.9640E+05,4.9747E+05,9.9186E+02,0.893162,NaN,NaN,2.1525E-03,6.8916E-06,6.3613E-02,2.0930E-01,2.0147E+17,1.5474E+20,5.3716E+19,8.9114E+12,3.0796E+02,2.9616E+00,2.9500E+02,NaN,1.0000E+01,NaN,1.7140E-06,4.2396E-02,NaN,3.5751E+06,4.5082E-07
2.0603E+01,3265.745,3519.613,4.9477E+05,4.9591E+05,9.9186E+02,0.892198,NaN,NaN,2.1550E-03,6.9475E-06,6.3562E-02,2.0935E-01,2.0324E+17,1.5474E+20,5.3718E+19,8.8759E+12,3.0804E+02,2.9657E+00,2.9507E+02,NaN,1.0000E+01,NaN,1.7071E-06,4.2396E-02,NaN,3.5796E+06,4.5142E-07
2.1976E+01,3264.384,3517.635,4.9293E+05,4.9401E+05,9.9186E+02,0.891161,NaN,NaN,2.1578E-03,7.0585E-06,6.3463E-02,2.0945E-01,2.0677E+17,1.5473E+20,5.3723E+19,8.8377E+12,3.0819E+02,2.9736E+00,2.9521E+02,NaN,1.0000E+01,NaN,1.6998E-06,4.2396E-02,NaN,3.5845E+06,4.5207E-07
2.2119E+01,3264.177,3517.429,4.9291E+05,4.9399E+05,9.9186E+02,0.891052,NaN,NaN,2.1579E-03,7.0229E-06,6.3495E-02,2.0941E-01,2.0564E+17,1.5474E+20,5.3721E+19,8.8337E+12,3.0814E+02,2.9711E+00,2.9517E+02,NaN,1.0000E+01,NaN,1.6990E-06,4.2396E-02,NaN,3.5850E+06,4.5213E-07
2.3399E+01,3262.923,3515.592,4.9118E+05,4.9247E+05,9.9186E+02,0.890085,NaN,NaN,2.1605E-03,7.0790E-06,6.3444E-02,2.0947E-01,2.0742E+17,1.5473E+20,5.3723E+19,8.7983E+12,3.0821E+02,2.9751E+00,2.9524E+02,NaN,1.0000E+01,NaN,1.6922E-06,4.2396E-02,NaN,3.5895E+06,4.5274E-07
2.4769E+01,3261.529,3513.631,4.8948E+05,4.9055E+05,9.9186E+02,0.889055,NaN,NaN,2.1632E-03,7.1893E-06,6.3345E-02,2.0956E-01,2.1094E+17,1.5472E+20,5.3728E+19,8.7606E+12,3.0836E+02,2.9831E+00,2.9538E+02,NaN,1.0000E+01,NaN,1.6850E-06,4.2396E-02,NaN,3.5943E+06,4.5338E-07
2.4913E+01,3261.323,3513.425,4.8946E+05,4.9053E+05,9.9186E+02,0.888944,NaN,NaN,2.1633E-03,7.1536E-06,6.3377E-02,2.0953E-01,2.0980E+17,1.5473E+20,5.3727E+19,8.7566E+12,3.0831E+02,2.9805E+00,2.9533E+02,NaN,1.0000E+01,NaN,1.6842E-06,4.2396E-02,NaN,3.5948E+06,4.5345E-07
2.6244E+01,3260.031,3511.525,4.8766E+05,4.8897E+05,9.9186E+02,0.887943,NaN,NaN,2.1660E-03,7.2132E-06,6.3324E-02,2.0959E-01,2.1170E+17,1.5472E+20,5.3729E+19,8.7202E+12,3.0839E+02,2.9849E+00,2.9541E+02,NaN,1.0000E+01,NaN,1.6772E-06,4.2397E-02,NaN,3.5995E+06,4.5408E-07
2.6490E+01,3259.724,3511.175,4.8750E+05,4.8857E+05,9.9186E+02,0.887759,NaN,NaN,2.1663E-03,7.2330E-06,6.3306E-02,2.0960E-01,2.1233E+17,1.5472E+20,5.3730E+19,8.7135E+12,3.0842E+02,2.9863E+00,2.9543E+02,NaN,1.0000E+01,NaN,1.6759E-06,4.2397E-02,NaN,3.6004E+06,4.5420E-07
2.7693E+01,3258.526,3509.464,4.8597E+05,4.8717E+05,9.9186E+02,0.886855,NaN,NaN,2.1687E-03,7.2820E-06,6.3262E-02,2.0965E-01,2.1389E+17,1.5472E+20,5.3732E+19,8.6807E+12,3.0848E+02,2.9899E+00,2.9549E+02,NaN,1.0000E+01,NaN,1.6696E-06,4.2397E-02,NaN,3.6045E+06,4.5476E-07
2.9106E+01,3257.129,3507.459,4.8417E+05,4.8524E+05,9.9186E+02,0.885798,NaN,NaN,2.1715E-03,7.3953E-06,6.3160E-02,2.0975E-01,2.1752E+17,1.5471E+20,5.3737E+19,8.6424E+12,3.0864E+02,2.9981E+00,2.9564E+02,NaN,1.0000E+01,NaN,1.6622E-06,4.2397E-02,NaN,3.6095E+06,4.5543E-07
2.9194E+01,3256.978,3507.334,4.8422E+05,4.8530E+05,9.9186E+02,0.885730,NaN,NaN,2.1715E-03,7.3546E-06,6.3196E-02,2.0971E-01,2.1622E+17,1.5471E+20,5.3735E+19,8.6400E+12,3.0858E+02,2.9952E+00,2.9559E+02,NaN,1.0000E+01,NaN,1.6618E-06,4.2397E-02,NaN,3.6098E+06,4.5547E-07
3.0559E+01,3255.662,3505.404,4.8241E+05,4.8372E+05,9.9186E+02,0.884709,NaN,NaN,2.1743E-03,7.4161E-06,6.3141E-02,2.0977E-01,2.1818E+17,1.5471E+20,5.3738E+19,8.6032E+12,3.0866E+02,2.9996E+00,2.9566E+02,NaN,1.0000E+01,NaN,1.6547E-06,4.2397E-02,NaN,3.6145E+06,4.5612E-07
3.1135E+01,3255.041,3504.590,4.8182E+05,4.8289E+05,9.9186E+02,0.884279,NaN,NaN,2.1753E-03,7.4622E-06,6.3100E-02,2.0981E-01,2.1966E+17,1.5470E+20,5.3740E+19,8.5877E+12,3.0873E+02,3.0030E+00,2.9572E+02,NaN,1.0000E+01,NaN,1.6517E-06,4.2397E-02,NaN,3.6165E+06,4.5639E-07
3.2100E+01,3254.048,3503.231,4.8072E+05,4.8179E+05,9.9186E+02,0.883559,NaN,NaN,2.1771E-03,7.4913E-06,6.3073E-02,2.0984E-01,2.2059E+17,1.5470E+20,5.3741E+19,8.5618E+12,3.0877E+02,3.0052E+00,2.9576E+02,NaN,1.0000E+01,NaN,1.6467E-06,4.2397E-02,NaN,3.6198E+06,4.5684E-07
3.3465E+01,3252.739,3501.311,4.7892E+05,4.8023E+05,9.9186E+02,0.882540,NaN,NaN,2.1799E-03,7.5523E-06,6.3018E-02,2.0989E-01,2.2255E+17,1.5470E+20,5.3743E+19,8.5254E+12,3.0885E+02,3.0096E+00,2.9584E+02,NaN,1.0000E+01,NaN,1.6397E-06,4.2397E-02,NaN,3.6245E+06,4.5749E-07
