t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
8.2985E-13,3549.000,3550.000,3.1004E+02,7.0264E+05,9.9186E+02,0.907698,NaN,NaN,1.3547E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,8.6162E+01,2.8619E+00,7.3300E+01,NaN,1.0000E+01,NaN,1.8217E-06,3.8273E-02,NaN,3.5041E+06,4.4170E-07
5.6689E-06,3548.818,3550.000,3.8758E+02,7.0243E+05,9.9186E+02,0.907698,NaN,NaN,1.2812E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,8.6162E+01,2.8619E+00,7.3300E+01,NaN,1.0000E+01,NaN,1.8217E-06,3.8273E-02,NaN,3.5041E+06,4.4170E-07
9.0600E-05,3546.097,3550.000,1.9055E+03,6.9928E+05,9.9186E+02,0.907698,NaN,NaN,8.6038E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,8.6162E+01,2.8619E+00,7.3300E+01,NaN,1.0000E+01,NaN,1.8217E-06,3.8273E-02,NaN,3.5041E+06,4.4170E-07
4.0084E-04,3536.326,3550.000,1.0138E+04,6.8808E+05,9.9186E+02,0.907698,NaN,NaN,5.6651E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,8.6162E+01,2.8619E+00,7.3300E+01,NaN,1.0000E+01,NaN,1.8217E-06,3.8273E-02,NaN,3.5041E+06,4.4170E-07
1.4781E-03,3504.723,3550.000,5.0032E+04,6.5285E+05,9.9186E+02,0.907698,NaN,NaN,3.8008E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,8.6162E+01,2.8619E+00,7.3300E+01,NaN,1.0000E+01,NaN,1.8217E-06,3.8273E-02,NaN,3.5041E+06,4.4170E-07
4.9111E-03,3427.903,3549.999,1.8779E+05,5.7341E+05,9.9186E+02,0.907697,NaN,NaN,2.7307E-03,5.4660E-06,6.4891E-02,2.0802E-01,1.5690E+17,1.5485E+20,5.3658E+19,9.4715E+12,8.6162E+01,2.8619E+00,7.3300E+01,NaN,1.0000E+01,NaN,1.8217E-06,3.8273E-02,NaN,3.5041E+06,4.4170E-07
1.4283E-02,3337.523,3549.990,3.9307E+05,4.9038E+05,9.9186E+02,0.907693,NaN,NaN,2.2703E-03,5.4665E-06,6.4891E-02,2.0802E-01,1.5691E+17,1.5485E+20,5.3658E+19,9.4714E+12,8.6162E+01,2.8619E+00,7.3300E+01,NaN,1.0000E+01,NaN,1.8217E-06,3.8273E-02,NaN,3.5041E+06,4.4171E-07
4.2705E-02,3309.206,3549.953,4.6432E+05,4.6651E+05,9.9186E+02,0.907675,NaN,NaN,2.1777E-03,5.4684E-06,6.4889E-02,2.0802E-01,1.5697E+17,1.5485E+20,5.3658E+19,9.4706E+12,8.6163E+01,2.8620E+00,7.3301E+01,NaN,1.0000E+01,NaN,1.8215E-06,3.8273E-02,NaN,3.5042E+06,4.4172E-07
1.6442E-01,3308.750,3549.790,4.6506E+05,4.6607E+05,9.9186E+02,0.907594,NaN,NaN,2.1769E-03,5.4772E-06,6.4881E-02,2.0803E-01,1.5724E+17,1.5485E+20,5.3658E+19,9.4674E+12,8.6166E+01,2.8626E+00,7.3304E+01,NaN,1.0000E+01,NaN,1.8209E-06,3.8273E-02,NaN,3.5046E+06,4.4177E-07
6.8905E+00,3302.684,3540.817,4.5663E+05,4.5764E+05,9.9186E+02,0.903140,NaN,NaN,2.1903E-03,5.9612E-06,6.4447E-02,2.0846E-01,1.7223E+17,1.5481E+20,5.3677E+19,9.2898E+12,8.6352E+01,2.8960E+00,7.3456E+01,NaN,1.0000E+01,NaN,1.7868E-06,3.8275E-02,NaN,3.5270E+06,4.4459E-07
1.6407E+01,3294.263,3528.362,4.4502E+05,4.4603E+05,9.9186E+02,0.896777,NaN,NaN,2.2094E-03,6.6459E-06,6.3833E-02,2.0908E-01,1.9369E+17,1.5476E+20,5.3705E+19,9.0457E+12,8.6617E+01,2.9441E+00,7.3672E+01,NaN,1.0000E+01,NaN,1.7398E-06,3.8278E-02,NaN,3.5580E+06,4.4858E-07
1.8449E+01,3292.440,3525.725,4.4267E+05,4.4388E+05,9.9186E+02,0.895400,NaN,NaN,2.2134E-03,6.7462E-06,6.3743E-02,2.0917E-01,1.9686E+17,1.5476E+20,5.3709E+19,8.9943E+12,8.6655E+01,2.9512E+00,7.3704E+01,NaN,1.0000E+01,NaN,1.7299E-06,3.8278E-02,NaN,3.5645E+06,4.4943E-07
1.9950E+01,3291.076,3523.795,4.4104E+05,4.4205E+05,9.9186E+02,0.894393,NaN,NaN,2.2162E-03,6.8539E-06,6.3647E-02,2.0926E-01,2.0027E+17,1.5475E+20,5.3714E+19,8.9568E+12,8.6697E+01,2.9589E+00,7.3738E+01,NaN,1.0000E+01,NaN,1.7227E-06,3.8279E-02,NaN,3.5693E+06,4.5005E-07
2.0046E+01,3290.895,3523.671,4.4117E+05,4.4218E+05,9.9186E+02,0.894326,NaN,NaN,2.2161E-03,6.8142E-06,6.3682E-02,2.0923E-01,1.9901E+17,1.5475E+20,5.3712E+19,8.9544E+12,8.6682E+01,2.9561E+00,7.3726E+01,NaN,1.0000E+01,NaN,1.7223E-06,3.8279E-02,NaN,3.5696E+06,4.5009E-07
2.1597E+01,3289.548,3521.683,4.3934E+05,4.4067E+05,9.9186E+02,0.893284,NaN,NaN,2.2192E-03,6.8786E-06,6.3624E-02,2.0929E-01,2.0105E+17,1.5475E+20,5.3715E+19,8.9159E+12,8.6707E+01,2.9607E+00,7.3746E+01,NaN,1.0000E+01,NaN,1.7148E-06,3.8279E-02,NaN,3.5745E+06,4.5074E-07
2.1685E+01,3289.373,3521.570,4.3948E+05,4.4049E+05,9.9186E+02,0.893225,NaN,NaN,2.2190E-03,6.8848E-06,6.3619E-02,2.0929E-01,2.0125E+17,1.5475E+20,5.3715E+19,8.9137E+12,8.6709E+01,2.9611E+00,7.3748E+01,NaN,1.0000E+01,NaN,1.7144E-06,3.8279E-02,NaN,3.5748E+06,4.5078E-07
2.3182E+01,3288.076,3519.655,4.3772E+05,4.3906E+05,9.9186E+02,0.892221,NaN,NaN,2.2220E-03,6.9451E-06,6.3565E-02,2.0934E-01,2.0317E+17,1.5474E+20,5.3718E+19,8.8767E+12,8.6733E+01,2.9655E+00,7.3767E+01,NaN,1.0000E+01,NaN,1.7073E-06,3.8279E-02,NaN,3.5795E+06,4.5140E-07
2.3492E+01,3287.711,3519.260,4.3761E+05,4.3862E+05,9.9186E+02,0.892014,NaN,NaN,2.2223E-03,6.9672E-06,6.3545E-02,2.0936E-01,2.0387E+17,1.5474E+20,5.3719E+19,8.8691E+12,8.6741E+01,2.9671E+00,7.3774E+01,NaN,1.0000E+01,NaN,1.7058E-06,3.8279E-02,NaN,3.5805E+06,4.5153E-07
2.4781E+01,3286.539,3517.618,4.3625E+05,4.3739E+05,9.9186E+02,0.891151,NaN,NaN,2.2247E-03,7.0124E-06,6.3504E-02,2.0941E-01,2.0530E+17,1.5474E+20,5.3721E+19,8.8374E+12,8.6759E+01,2.9703E+00,7.3788E+01,NaN,1.0000E+01,NaN,1.6997E-06,3.8280E-02,NaN,3.5845E+06,4.5207E-07
2.5181E+01,3286.155,3517.109,4.3588E+05,4.3689E+05,9.9186E+02,0.890884,NaN,NaN,2.2254E-03,7.0409E-06,6.3478E-02,2.0943E-01,2.0621E+17,1.5473E+20,5.3722E+19,8.8275E+12,8.6770E+01,2.9724E+00,7.3797E+01,NaN,1.0000E+01,NaN,1.6978E-06,3.8280E-02,NaN,3.5858E+06,4.5224E-07
2.6385E+01,3285.038,3515.580,4.3468E+05,4.3575E+05,9.9186E+02,0.890079,NaN,NaN,2.2275E-03,7.0797E-06,6.3444E-02,2.0947E-01,2.0744E+17,1.5473E+20,5.3723E+19,8.7981E+12,8.6785E+01,2.9752E+00,7.3810E+01,NaN,1.0000E+01,NaN,1.6922E-06,3.8280E-02,NaN,3.5895E+06,4.5274E-07
2.7979E+01,3283.653,3513.561,4.3288E+05,4.3389E+05,9.9186E+02,0.889018,NaN,NaN,2.2307E-03,7.1932E-06,6.3342E-02,2.0957E-01,2.1106E+17,1.5472E+20,5.3728E+19,8.7593E+12,8.6829E+01,2.9834E+00,7.3846E+01,NaN,1.0000E+01,NaN,1.6847E-06,3.8280E-02,NaN,3.5945E+06,4.5341E-07
2.8031E+01,3283.509,3513.496,4.3307E+05,4.3408E+05,9.9186E+02,0.888981,NaN,NaN,2.2305E-03,7.1496E-06,6.3381E-02,2.0953E-01,2.0967E+17,1.5473E+20,5.3726E+19,8.7580E+12,8.6812E+01,2.9802E+00,7.3832E+01,NaN,1.0000E+01,NaN,1.6845E-06,3.8280E-02,NaN,3.5947E+06,4.5343E-07
2.9591E+01,3282.174,3511.526,4.3127E+05,4.3228E+05,9.9186E+02,0.887945,NaN,NaN,2.2336E-03,7.2606E-06,6.3281E-02,2.0963E-01,2.1321E+17,1.5472E+20,5.3731E+19,8.7202E+12,8.6855E+01,2.9883E+00,7.3867E+01,NaN,1.0000E+01,NaN,1.6772E-06,3.8281E-02,NaN,3.5995E+06,4.5408E-07
