t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
8.2985E-13,3549.000,3550.000,3.1004E+02,8.0675E+05,9.9186E+02,0.907698,NaN,NaN,1.3547E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,1.5946E+02,2.8619E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.0910E-02,NaN,3.5041E+06,4.4170E-07
9.0422E-06,3548.826,3550.000,3.8412E+02,8.0650E+05,9.9186E+02,0.907698,NaN,NaN,1.2840E-02,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,1.5946E+02,2.8619E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.0910E-02,NaN,3.5041E+06,4.4170E-07
1.5015E-04,3546.115,3550.000,1.8938E+03,8.0271E+05,9.9186E+02,0.907698,NaN,NaN,8.6170E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,1.5946E+02,2.8619E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.0910E-02,NaN,3.5041E+06,4.4170E-07
6.6589E-04,3536.370,3550.000,1.0094E+04,7.8922E+05,9.9186E+02,0.907698,NaN,NaN,5.6712E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,1.5946E+02,2.8619E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.0910E-02,NaN,3.5041E+06,4.4170E-07
2.4554E-03,3504.782,3550.000,4.9946E+04,7.4677E+05,9.9186E+02,0.907698,NaN,NaN,3.8025E-03,5.4659E-06,6.4891E-02,2.0802E-01,1.5689E+17,1.5485E+20,5.3658E+19,9.4716E+12,1.5946E+02,2.8619E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.0910E-02,NaN,3.5041E+06,4.4170E-07
8.1641E-03,3426.641,3549.998,1.9038E+05,6.4991E+05,9.9186E+02,0.907697,NaN,NaN,2.7213E-03,5.4660E-06,6.4891E-02,2.0802E-01,1.5690E+17,1.5485E+20,5.3658E+19,9.4715E+12,1.5946E+02,2.8619E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.0910E-02,NaN,3.5041E+06,4.4170E-07
2.4245E-02,3327.499,3549.983,4.1797E+05,5.4237E+05,9.9186E+02,0.907689,NaN,NaN,2.2357E-03,5.4669E-06,6.4890E-02,2.0802E-01,1.5692E+17,1.5485E+20,5.3658E+19,9.4712E+12,1.5946E+02,2.8619E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8217E-06,4.0910E-02,NaN,3.5041E+06,4.4171E-07
7.0222E-02,3293.342,3549.918,5.0547E+05,5.0894E+05,9.9186E+02,0.907658,NaN,NaN,2.1319E-03,5.4703E-06,6.4887E-02,2.0802E-01,1.5703E+17,1.5485E+20,5.3658E+19,9.4700E+12,1.5947E+02,2.8622E+00,1.4660E+02,NaN,1.0000E+01,NaN,1.8214E-06,4.0910E-02,NaN,3.5043E+06,4.4173E-07
2.2334E-01,3292.509,3549.694,5.0704E+05,5.0807E+05,9.9186E+02,0.907547,NaN,NaN,2.1304E-03,5.4823E-06,6.4877E-02,2.0803E-01,1.5740E+17,1.5485E+20,5.3658E+19,9.4655E+12,1.5947E+02,2.8630E+00,1.4661E+02,NaN,1.0000E+01,NaN,1.8206E-06,4.0910E-02,NaN,3.5048E+06,4.4180E-07
6.6654E+00,3286.222,3540.323,4.9784E+05,4.9888E+05,9.9186E+02,0.902892,NaN,NaN,2.1437E-03,5.9881E-06,6.4423E-02,2.0849E-01,1.7306E+17,1.5481E+20,5.3678E+19,9.2801E+12,1.5983E+02,2.8978E+00,1.4693E+02,NaN,1.0000E+01,NaN,1.7849E-06,4.0911E-02,NaN,3.5282E+06,4.4475E-07
