t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
  3.996802888651E-06,  3.598991705170E+03,  3.599999999996E+03,  3.171152977232E+02,  2.015059142177E+05,  9.918599818371E+02,  9.305230993342E-01,NaN,NaN,  1.335425411702E-02,  8.169911478927E+15,  1.322560407195E+20,  4.135687629340E+20,  6.117546608188E+17,  8.232904043107E+20,  6.739085429830E+19,  1.052196068052E+13,  3.279247353091E+02,  2.646548698618E+01,  2.914592462992E+02,NaN,  1.000000000000E+01,NaN,  2.023748571684E-06,  4.063127149598E-02,NaN,  3.504050000000E+06,  4.266428404979E-07
  7.993605777301E-06,  3.598983410607E+03,  3.599999999992E+03,  3.205983147892E+02,  2.015029219307E+05,  9.918599818371E+02,  9.305230993324E-01,NaN,NaN,  1.331783486656E-02,  8.169911479141E+15,  1.322560407194E+20,  4.135687629341E+20,  6.117546608357E+17,  8.232904043106E+20,  6.739085429832E+19,  1.052196068052E+13,  3.279247353093E+02,  2.646548698624E+01,  2.914592462994E+02,NaN,  9.999999999998E+00,NaN,  2.023748571684E-06,  4.063127149598E-02,NaN,  3.504050000000E+06,  4.266428404991E-07
  1.199040866595E-05,  3.598975116313E+03,  3.599999999987E+03,  3.240907045642E+02,  2.014999297780E+05,  9.918599818371E+02,  9.305230993306E-01,NaN,NaN,  1.328181083800E-02,  8.169911479359E+15,  1.322560407192E+20,  4.135687629343E+20,  6.117546608528E+17,  8.232904043106E+20,  6.739085429834E+19,  1.052196068052E+13,  3.279247353095E+02,  2.646548698631E+01,  2.914592462995E+02,NaN,  9.999999999994E+00,NaN,  2.023748571684E-06,  4.063127149597E-02,NaN,  3.504050000000E+06,  4.266428405003E-07
  2.572571067992E-05,  3.598946614491E+03,  3.599999999972E+03,  3.361632592250E+02,  2.014896480797E+05,  9.918599818371E+02,  9.305230993242E-01,NaN,NaN,  1.316092374936E-02,  8.169911480123E+15,  1.322560407185E+20,  4.135687629350E+20,  6.117546609131E+17,  8.232904043104E+20,  6.739085429846E+19,  1.052196068052E+13,  3.279247353103E+02,  2.646548698655E+01,  2.914592463000E+02,NaN,  9.999999999990E+00,NaN,  2.023748571684E-06,  4.063127149596E-02,NaN,  3.504050000000E+06,  4.266428405047E-07
  3.946101269388E-05,  3.598918115505E+03,  3.599999999957E+03,  3.483439835960E+02,  2.014793678477E+05,  9.918599818371E+02,  9.305230993177E-01,NaN,NaN,  1.304433236290E-02,  8.169911480912E+15,  1.322560407178E+20,  4.135687629357E+20,  6.117546609753E+17,  8.232904043101E+20,  6.739085429858E+19,  1.052196094895E+13,  3.279247353110E+02,  2.646548698679E+01,  2.914592463005E+02,NaN,  9.999999999986E+00,NaN,  2.023748623312E-06,  4.063127149595E-02,NaN,  3.504050000000E+06,  4.266428405092E-07
  5.319631470785E-05,  3.598889619603E+03,  3.599999999941E+03,  3.606308079881E+02,  2.014690891719E+05,  9.918599818371E+02,  9.305230993109E-01,NaN,NaN,  1.293177763365E-02,  8.169911481729E+15,  1.322560407170E+20,  4.135687629364E+20,  6.117546610397E+17,  8.232904043099E+20,  6.739085429870E+19,  1.052196094895E+13,  3.279247353117E+02,  2.646548698704E+01,  2.914592463010E+02,NaN,  9.999999999981E+00,NaN,  2.023748623312E-06,  4.063127149594E-02,NaN,  3.504050000000E+06,  4.266428405139E-07
  6.693161672182E-05,  3.598861126880E+03,  3.599999999924E+03,  3.730218112778E+02,  2.014588120853E+05,  9.918599818371E+02,  9.305230993038E-01,NaN,NaN,  1.282302171590E-02,  8.169911482573E+15,  1.322560407163E+20,  4.135687629372E+20,  6.117546611063E+17,  8.232904043097E+20,  6.739085429883E+19,  1.052196094895E+13,  3.279247353125E+02,  2.646548698730E+01,  2.914592463015E+02,NaN,  9.999999999977E+00,NaN,  2.023748623312E-06,  4.063127149593E-02,NaN,  3.504050000000E+06,  4.266428405187E-07
  9.521250755794E-05,  3.598802470761E+03,  3.599999999888E+03,  3.988551970069E+02,  2.014376567101E+05,  9.918599818371E+02,  9.305230992886E-01,NaN,NaN,  1.261014616659E-02,  8.169911484403E+15,  1.322560407146E+20,  4.135687629388E+20,  6.117546612505E+17,  8.232904043092E+20,  6.739085429911E+19,  1.052196094895E+13,  3.279247353142E+02,  2.646548698786E+01,  2.914592463026E+02,NaN,  9.999999999969E+00,NaN,  2.023748623312E-06,  4.063127149590E-02,NaN,  3.504050000000E+06,  4.266428405292E-07
  1.400481148731E-04,  3.598709507680E+03,  3.599999999826E+03,  4.406640572529E+02,  2.014041317634E+05,  9.918599818371E+02,  9.305230992624E-01,NaN,NaN,  1.229977104224E-02,  8.169911487559E+15,  1.322560407118E+20,  4.135687629416E+20,  6.117546614993E+17,  8.232904043084E+20,  6.739085429961E+19,  1.052196094895E+13,  3.279247353172E+02,  2.646548698884E+01,  2.914592463046E+02,NaN,  9.999999999955E+00,NaN,  2.023748623312E-06,  4.063127149586E-02,NaN,  3.504050000000E+06,  4.266428405473E-07
  1.848837221883E-04,  3.598616579816E+03,  3.599999999757E+03,  4.834733239539E+02,  2.013706242301E+05,  9.918599818371E+02,  9.305230992335E-01,NaN,NaN,  1.201796141341E-02,  8.169911491033E+15,  1.322560407087E+20,  4.135687629447E+20,  6.117546617732E+17,  8.232904043075E+20,  6.739085430016E+19,  1.052196094895E+13,  3.279247353204E+02,  2.646548698991E+01,  2.914592463068E+02,NaN,  9.999999999941E+00,NaN,  2.023748623312E-06,  4.063127149581E-02,NaN,  3.504050000000E+06,  4.266428405671E-07
