t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
  2.854772412451E-06,  3.598992076570E+03,  3.599999999997E+03,  3.169595637779E+02,  1.038360798745E+05,  9.918599818371E+02,  9.305230993347E-01,NaN,NaN,  1.335589417449E-02,  2.042477869716E+15,  3.306401017990E+19,  1.033921907335E+20,  6.117546608140E+17,  8.232904043107E+20,  6.739085429828E+19,  1.052196068052E+13,  1.093303005847E+02,  2.646548698616E+01,  7.286481157480E+01,NaN,  1.000000000000E+01,NaN,  2.023748571684E-06,  3.387625916558E-02,NaN,  3.504050000000E+06,  4.266428404975E-07
  5.709544824903E-06,  3.598984153500E+03,  3.599999999994E+03,  3.202859758516E+02,  1.038347532675E+05,  9.918599818371E+02,  9.305230993334E-01,NaN,NaN,  1.332108052699E-02,  2.042477869755E+15,  3.306401017986E+19,  1.033921907335E+20,  6.117546608261E+17,  8.232904043106E+20,  6.739085429828E+19,  1.052196068052E+13,  1.093303005848E+02,  2.646548698621E+01,  7.286481157482E+01,NaN,  9.999999999995E+00,NaN,  2.023748571684E-06,  3.387625916557E-02,NaN,  3.504050000000E+06,  4.266428404984E-07
  8.564317237354E-06,  3.598976230788E+03,  3.599999999991E+03,  3.236208958460E+02,  1.038334267348E+05,  9.918599818371E+02,  9.305230993321E-01,NaN,NaN,  1.328662860200E-02,  2.042477869793E+15,  3.306401017983E+19,  1.033921907335E+20,  6.117546608383E+17,  8.232904043106E+20,  6.739085429827E+19,  1.052196068052E+13,  1.093303005848E+02,  2.646548698625E+01,  7.286481157484E+01,NaN,  9.999999999987E+00,NaN,  2.023748571684E-06,  3.387625916557E-02,NaN,  3.504050000000E+06,  4.266428404993E-07
  1.716688411028E-05,  3.598952358686E+03,  3.599999999982E+03,  3.337213206518E+02,  1.038294298135E+05,  9.918599818371E+02,  9.305230993282E-01,NaN,NaN,  1.318493356921E-02,  2.042477869912E+15,  3.306401017972E+19,  1.033921907336E+20,  6.117546608758E+17,  8.232904043105E+20,  6.739085429832E+19,  1.052196068052E+13,  1.093303005850E+02,  2.646548698640E+01,  7.286481157492E+01,NaN,  9.999999999979E+00,NaN,  2.023748571684E-06,  3.387625916556E-02,NaN,  3.504050000000E+06,  4.266428405020E-07
  2.576945098320E-05,  3.598928489506E+03,  3.599999999972E+03,  3.438975098540E+02,  1.038254335090E+05,  9.918599818371E+02,  9.305230993241E-01,NaN,NaN,  1.308629410731E-02,  2.042477870035E+15,  3.306401017961E+19,  1.033921907338E+20,  6.117546609144E+17,  8.232904043103E+20,  6.739085429836E+19,  1.052196068052E+13,  1.093303005853E+02,  2.646548698655E+01,  7.286481157499E+01,NaN,  9.999999999971E+00,NaN,  2.023748571684E-06,  3.387625916554E-02,NaN,  3.504050000000E+06,  4.266428405048E-07
  3.437201785612E-05,  3.598904623508E+03,  3.599999999962E+03,  3.541481761553E+02,  1.038214378647E+05,  9.918599818371E+02,  9.305230993199E-01,NaN,NaN,  1.299055428258E-02,  2.042477870161E+15,  3.306401017950E+19,  1.033921907339E+20,  6.117546609540E+17,  8.232904043102E+20,  6.739085429841E+19,  1.052196068052E+13,  1.093303005855E+02,  2.646548698670E+01,  7.286481157507E+01,NaN,  9.999999999963E+00,NaN,  2.023748571684E-06,  3.387625916553E-02,NaN,  3.504050000000E+06,  4.266428405077E-07
  4.297458472904E-05,  3.598880760789E+03,  3.599999999952E+03,  3.644721415042E+02,  1.038174428966E+05,  9.918599818371E+02,  9.305230993156E-01,NaN,NaN,  1.289756869681E-02,  2.042477870290E+15,  3.306401017938E+19,  1.033921907340E+20,  6.117546609949E+17,  8.232904043100E+20,  6.739085429846E+19,  1.052196068052E+13,  1.093303005857E+02,  2.646548698686E+01,  7.286481157515E+01,NaN,  9.999999999956E+00,NaN,  2.023748571684E-06,  3.387625916552E-02,NaN,  3.504050000000E+06,  4.266428405106E-07
  6.039920376204E-05,  3.598832436769E+03,  3.599999999930E+03,  3.856035168263E+02,  1.038093531390E+05,  9.918599818371E+02,  9.305230993065E-01,NaN,NaN,  1.271711761341E-02,  2.042477870564E+15,  3.306401017913E+19,  1.033921907342E+20,  6.117546610812E+17,  8.232904043097E+20,  6.739085429858E+19,  1.052196068052E+13,  1.093303005862E+02,  2.646548698720E+01,  7.286481157532E+01,NaN,  9.999999999940E+00,NaN,  2.023748571684E-06,  3.387625916549E-02,NaN,  3.504050000000E+06,  4.266428405169E-07
  8.760046984685E-05,  3.598757026735E+03,  3.599999999894E+03,  4.191628730659E+02,  1.037967300484E+05,  9.918599818371E+02,  9.305230992912E-01,NaN,NaN,  1.245455549956E-02,  2.042477871022E+15,  3.306401017872E+19,  1.033921907346E+20,  6.117546612259E+17,  8.232904043092E+20,  6.739085429878E+19,  1.052196094895E+13,  1.093303005870E+02,  2.646548698776E+01,  7.286481157560E+01,NaN,  9.999999999915E+00,NaN,  2.023748623312E-06,  3.387625916544E-02,NaN,  3.504050000000E+06,  4.266428405274E-07
  1.148017359317E-04,  3.598681650902E+03,  3.599999999855E+03,  4.533924800835E+02,  1.037841139531E+05,  9.918599818371E+02,  9.305230992747E-01,NaN,NaN,  1.221252191964E-02,  2.042477871520E+15,  3.306401017827E+19,  1.033921907351E+20,  6.117546613827E+17,  8.232904043087E+20,  6.739085429900E+19,  1.052196094895E+13,  1.093303005879E+02,  2.646548698838E+01,  7.286481157591E+01,NaN,  9.999999999890E+00,NaN,  2.023748623312E-06,  3.387625916539E-02,NaN,  3.504050000000E+06,  4.266428405388E-07
