t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
8.2985E-12,3549.000,3550.000,3.1004E+02,1.3053E+05,9.9186E+02,0.907698,NaN,NaN,1.3547E-02,5.4659E-06,6.4891E-02,2.0802E-01,8.3343E+17,8.2256E+20,6.7897E+19,9.5046E+12,1.8394E+02,2.7336E+01,1.4660E+02,NaN,1.0000E+01,NaN,1.8281E-06,3.7863E-02,NaN,3.5041E+06,4.4170E-07
8.8940E-05,3548.800,3550.000,3.9514E+02,1.3049E+05,9.9186E+02,0.907698,NaN,NaN,1.2750E-02,5.4659E-06,6.4891E-02,2.0802E-01,8.3343E+17,8.2256E+20,6.7897E+19,9.5046E+12,1.8394E+02,2.7336E+01,1.4660E+02,NaN,1.0000E+01,NaN,1.8281E-06,3.7863E-02,NaN,3.5041E+06,4.4170E-07
1.3364E-03,3546.026,3550.000,1.9513E+03,1.2986E+05,9.9186E+02,0.907698,NaN,NaN,8.5528E-03,5.4659E-06,6.4891E-02,2.0802E-01,8.3343E+17,8.2256E+20,6.7897E+19,9.5046E+12,1.8394E+02,2.7336E+01,1.4660E+02,NaN,1.0000E+01,NaN,1.8281E-06,3.7863E-02,NaN,3.5041E+06,4.4170E-07
5.8127E-03,3536.538,3550.000,9.9289E+03,1.2775E+05,9.9186E+02,0.907698,NaN,NaN,5.6946E-03,5.4659E-06,6.4891E-02,2.0802E-01,8.3343E+17,8.2256E+20,6.7897E+19,9.5046E+12,1.8394E+02,2.7336E+01,1.4660E+02,NaN,1.0000E+01,NaN,1.8281E-06,3.7863E-02,NaN,3.5041E+06,4.4170E-07
2.0845E-02,3510.915,3549.999,4.1122E+04,1.2218E+05,9.9186E+02,0.907697,NaN,NaN,3.9918E-03,5.4660E-06,6.4891E-02,2.0802E-01,8.3344E+17,8.2256E+20,6.7897E+19,9.5046E+12,1.8394E+02,2.7336E+01,1.4660E+02,NaN,1.0000E+01,NaN,1.8281E-06,3.7863E-02,NaN,3.5041E+06,4.4170E-07
6.0094E-02,3478.997,3549.991,9.1139E+04,1.1554E+05,9.9186E+02,0.907693,NaN,NaN,3.2716E-03,5.4664E-06,6.4891E-02,2.0802E-01,8.3351E+17,8.2256E+20,6.7898E+19,9.5044E+12,1.8394E+02,2.7336E+01,1.4660E+02,NaN,1.0000E+01,NaN,1.8280E-06,3.7863E-02,NaN,3.5041E+06,4.4171E-07
1.7192E-01,3467.281,3549.956,1.1166E+05,1.1317E+05,9.9186E+02,0.907676,NaN,NaN,3.1097E-03,5.4683E-06,6.4889E-02,2.0802E-01,8.3381E+17,8.2256E+20,6.7898E+19,9.5037E+12,1.8394E+02,2.7338E+01,1.4660E+02,NaN,1.0000E+01,NaN,1.8279E-06,3.7863E-02,NaN,3.5042E+06,4.4172E-07
5.3789E-01,3466.931,3549.838,1.1208E+05,1.1308E+05,9.9186E+02,0.907618,NaN,NaN,3.1069E-03,5.4746E-06,6.4884E-02,2.0803E-01,8.3485E+17,8.2256E+20,6.7901E+19,9.5014E+12,1.8395E+02,2.7342E+01,1.4661E+02,NaN,1.0000E+01,NaN,1.8275E-06,3.7863E-02,NaN,3.5045E+06,4.4175E-07
2.0771E+01,3461.409,3543.332,1.1014E+05,1.1115E+05,9.9186E+02,0.904400,NaN,NaN,3.1241E-03,5.8248E-06,6.4570E-02,2.0834E-01,8.9229E+17,8.2237E+20,6.8033E+19,9.3723E+12,1.8440E+02,2.7569E+01,1.4683E+02,NaN,1.0000E+01,NaN,1.8026E-06,3.7846E-02,NaN,3.5207E+06,4.4380E-07
6.8793E+01,3448.630,3528.293,1.0572E+05,1.0673E+05,9.9186E+02,0.896741,NaN,NaN,3.1647E-03,6.6497E-06,6.3830E-02,2.0908E-01,1.0293E+18,8.2191E+20,6.8350E+19,9.0768E+12,1.8546E+02,2.8115E+01,1.4735E+02,NaN,1.0000E+01,NaN,1.7458E-06,3.7805E-02,NaN,3.5581E+06,4.4860E-07
7.7222E+01,3446.384,3525.709,1.0506E+05,1.0608E+05,9.9186E+02,0.895392,NaN,NaN,3.1711E-03,6.7471E-06,6.3742E-02,2.0917E-01,1.0456E+18,8.2186E+20,6.8388E+19,9.0265E+12,1.8559E+02,2.8180E+01,1.4741E+02,NaN,1.0000E+01,NaN,1.7361E-06,3.7800E-02,NaN,3.5645E+06,4.4943E-07
8.3785E+01,3444.675,3523.707,1.0450E+05,1.0561E+05,9.9186E+02,0.894345,NaN,NaN,3.1766E-03,6.8122E-06,6.3684E-02,2.0923E-01,1.0566E+18,8.2182E+20,6.8414E+19,8.9875E+12,1.8567E+02,2.8224E+01,1.4745E+02,NaN,1.0000E+01,NaN,1.7286E-06,3.7797E-02,NaN,3.5695E+06,4.5008E-07
8.4696E+01,3444.385,3523.430,1.0451E+05,1.0552E+05,9.9186E+02,0.894200,NaN,NaN,3.1766E-03,6.8277E-06,6.3670E-02,2.0924E-01,1.0592E+18,8.2181E+20,6.8420E+19,8.9821E+12,1.8569E+02,2.8235E+01,1.4746E+02,NaN,1.0000E+01,NaN,1.7276E-06,3.7796E-02,NaN,3.5702E+06,4.5017E-07
9.0477E+01,3442.857,3521.674,1.0406E+05,1.0511E+05,9.9186E+02,0.893280,NaN,NaN,3.1810E-03,6.8790E-06,6.3624E-02,2.0929E-01,1.0678E+18,8.2178E+20,6.8440E+19,8.9480E+12,1.8576E+02,2.8269E+01,1.4749E+02,NaN,1.0000E+01,NaN,1.7210E-06,3.7793E-02,NaN,3.5745E+06,4.5074E-07
9.4964E+01,3441.680,3520.315,1.0371E+05,1.0472E+05,9.9186E+02,0.892568,NaN,NaN,3.1845E-03,6.9551E-06,6.3556E-02,2.0935E-01,1.0806E+18,8.2174E+20,6.8470E+19,8.9217E+12,1.8586E+02,2.8321E+01,1.4754E+02,NaN,9.9999E+00,NaN,1.7160E-06,3.7789E-02,NaN,3.5779E+06,4.5119E-07
9.7322E+01,3441.018,3519.603,1.0360E+05,1.0461E+05,9.9186E+02,0.892193,NaN,NaN,3.1857E-03,6.9481E-06,6.3562E-02,2.0935E-01,1.0794E+18,8.2175E+20,6.8467E+19,8.9079E+12,1.8585E+02,2.8316E+01,1.4754E+02,NaN,9.9999E+00,NaN,1.7133E-06,3.7790E-02,NaN,3.5796E+06,4.5142E-07
1.0388E+02,3439.336,3517.626,1.0304E+05,1.0415E+05,9.9186E+02,0.891155,NaN,NaN,3.1912E-03,7.0119E-06,6.3505E-02,2.0940E-01,1.0902E+18,8.2171E+20,6.8493E+19,8.8696E+12,1.8594E+02,2.8360E+01,1.4758E+02,NaN,9.9999E+00,NaN,1.7059E-06,3.7786E-02,NaN,3.5845E+06,4.5207E-07
1.0493E+02,3439.012,3517.311,1.0305E+05,1.0405E+05,9.9186E+02,0.890990,NaN,NaN,3.1914E-03,7.0296E-06,6.3489E-02,2.0942E-01,1.0932E+18,8.2170E+20,6.8500E+19,8.8635E+12,1.8596E+02,2.8372E+01,1.4759E+02,NaN,9.9999E+00,NaN,1.7048E-06,3.7786E-02,NaN,3.5853E+06,4.5217E-07
1.1068E+02,3437.507,3515.586,1.0262E+05,1.0366E+05,9.9186E+02,0.890082,NaN,NaN,3.1957E-03,7.0794E-06,6.3444E-02,2.0947E-01,1.1016E+18,8.2167E+20,6.8519E+19,8.8302E+12,1.8602E+02,2.8406E+01,1.4762E+02,NaN,9.9999E+00,NaN,1.6984E-06,3.7783E-02,NaN,3.5895E+06,4.5274E-07
1.1408E+02,3436.621,3514.568,1.0236E+05,1.0337E+05,9.9186E+02,0.889548,NaN,NaN,3.1983E-03,7.1365E-06,6.3393E-02,2.0952E-01,1.1112E+18,8.2164E+20,6.8542E+19,8.8106E+12,1.8610E+02,2.8445E+01,1.4766E+02,NaN,9.9999E+00,NaN,1.6946E-06,3.7780E-02,NaN,3.5920E+06,4.5307E-07
1.1763E+02,3435.665,3513.510,1.0216E+05,1.0316E+05,9.9186E+02,0.888989,NaN,NaN,3.2005E-03,7.1488E-06,6.3381E-02,2.0953E-01,1.1133E+18,8.2163E+20,6.8547E+19,8.7902E+12,1.8612E+02,2.8453E+01,1.4766E+02,NaN,9.9999E+00,NaN,1.6907E-06,3.7779E-02,NaN,3.5946E+06,4.5342E-07
1.2430E+02,3433.973,3511.525,1.0159E+05,1.0271E+05,9.9186E+02,0.887943,NaN,NaN,3.2061E-03,7.2132E-06,6.3324E-02,2.0959E-01,1.1242E+18,8.2160E+20,6.8573E+19,8.7521E+12,1.8620E+02,2.8497E+01,1.4770E+02,NaN,9.9999E+00,NaN,1.6833E-06,3.7776E-02,NaN,3.5995E+06,4.5408E-07
1.2835E+02,3432.893,3510.322,1.0135E+05,1.0236E+05,9.9186E+02,0.887310,NaN,NaN,3.2087E-03,7.2810E-06,6.3263E-02,2.0965E-01,1.1357E+18,8.2156E+20,6.8600E+19,8.7290E+12,1.8629E+02,2.8544E+01,1.4775E+02,NaN,9.9999E+00,NaN,1.6789E-06,3.7773E-02,NaN,3.6024E+06,4.5448E-07
1.3118E+02,3432.171,3509.485,1.0113E+05,1.0222E+05,9.9186E+02,0.886867,NaN,NaN,3.2109E-03,7.2808E-06,6.3263E-02,2.0965E-01,1.1356E+18,8.2156E+20,6.8599E+19,8.7129E+12,1.8629E+02,2.8543E+01,1.4775E+02,NaN,9.9999E+00,NaN,1.6758E-06,3.7773E-02,NaN,3.6045E+06,4.5476E-07
1.3799E+02,3430.412,3507.476,1.0064E+05,1.0165E+05,9.9186E+02,0.885807,NaN,NaN,3.2160E-03,7.3943E-06,6.3161E-02,2.0975E-01,1.1549E+18,8.2149E+20,6.8645E+19,8.6745E+12,1.8644E+02,2.8622E+01,1.4782E+02,NaN,9.9999E+00,NaN,1.6684E-06,3.7767E-02,NaN,3.6094E+06,4.5542E-07
1.3824E+02,3430.294,3507.402,1.0072E+05,1.0173E+05,9.9186E+02,0.885766,NaN,NaN,3.2154E-03,7.3508E-06,6.3200E-02,2.0971E-01,1.1475E+18,8.2152E+20,6.8628E+19,8.6730E+12,1.8638E+02,2.8592E+01,1.4779E+02,NaN,9.9999E+00,NaN,1.6681E-06,3.7769E-02,NaN,3.6096E+06,4.5545E-07
1.4505E+02,3428.573,3505.401,1.0018E+05,1.0127E+05,9.9186E+02,0.884708,NaN,NaN,3.2209E-03,7.4162E-06,6.3141E-02,2.0977E-01,1.1586E+18,8.2148E+20,6.8654E+19,8.6348E+12,1.8647E+02,2.8637E+01,1.4783E+02,NaN,9.9999E+00,NaN,1.6608E-06,3.7766E-02,NaN,3.6145E+06,4.5612E-07
