t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
  2.518688479840E-05,  3.598929907991E+03,  3.599999999971E+03,  3.432906333835E+02,  3.050958980862E+05,  1.724845362174E+05,  9.305230993239E-01,NaN,NaN,  1.309207383429E-02,  4.084955740081E+15,  6.612802035921E+19,  2.067843814675E+20,  3.437388603420E+17,  4.625986909266E+20,  5.905832702982E+19,  9.970018136750E+15,  1.678757962966E+02,  1.214425555628E+01,  1.457296231500E+02,NaN,  1.000000000000E+01,NaN,  1.917590321475E-03,  3.962770000262E-02,NaN,  3.504050000000E+06,  4.266428405049E-07
  5.037376959680E-05,  3.598859851318E+03,  3.599999999940E+03,  3.735789788985E+02,  3.050594186296E+05,  1.724845362174E+05,  9.305230993108E-01,NaN,NaN,  1.281823787345E-02,  4.084955740869E+15,  6.612802035849E+19,  2.067843814682E+20,  3.437388604118E+17,  4.625986909264E+20,  5.905832702950E+19,  9.970018134603E+15,  1.678757962972E+02,  1.214425555650E+01,  1.457296231505E+02,NaN,  9.999999999914E+00,NaN,  1.917590321062E-03,  3.962770000262E-02,NaN,  3.504050000000E+06,  4.266428405140E-07
  7.556065439521E-05,  3.598789830296E+03,  3.599999999907E+03,  4.044785218996E+02,  3.050229613884E+05,  1.724845362174E+05,  9.305230992966E-01,NaN,NaN,  1.256608717082E-02,  4.084955741722E+15,  6.612802035772E+19,  2.067843814689E+20,  3.437388604875E+17,  4.625986909262E+20,  5.905832702897E+19,  9.970018134603E+15,  1.678757962978E+02,  1.214425555674E+01,  1.457296231510E+02,NaN,  9.999999999786E+00,NaN,  1.917590321062E-03,  3.962770000263E-02,NaN,  3.504050000000E+06,  4.266428405237E-07
  1.394121394060E-04,  3.598612474403E+03,  3.599999999810E+03,  4.853872904074E+02,  3.049306353553E+05,  1.724845362174E+05,  9.305230992558E-01,NaN,NaN,  1.200609662683E-02,  4.084955744174E+15,  6.612802035550E+19,  2.067843814710E+20,  3.437388607048E+17,  4.625986909255E+20,  5.905832702881E+19,  9.970018132455E+15,  1.678757962999E+02,  1.214425555744E+01,  1.457296231525E+02,NaN,  9.999999999678E+00,NaN,  1.917590320649E-03,  3.962770000261E-02,NaN,  3.504050000000E+06,  4.266428405518E-07
  2.032636244169E-04,  3.598435328146E+03,  3.599999999698E+03,  5.697242736029E+02,  3.048384418219E+05,  1.724845362174E+05,  9.305230992084E-01,NaN,NaN,  1.153473850894E-02,  4.084955747023E+15,  6.612802035292E+19,  2.067843814735E+20,  3.437388609573E+17,  4.625986909247E+20,  5.905832702872E+19,  9.970018130308E+15,  1.678757963023E+02,  1.214425555824E+01,  1.457296231542E+02,NaN,  9.999999999569E+00,NaN,  1.917590320236E-03,  3.962770000257E-02,NaN,  3.504050000000E+06,  4.266428405844E-07
  2.671151094277E-04,  3.598258412433E+03,  3.599999999568E+03,  6.571947498840E+02,  3.047463915774E+05,  1.724845362174E+05,  9.305230991536E-01,NaN,NaN,  1.113013451446E-02,  4.084955750317E+15,  6.612802034995E+19,  2.067843814764E+20,  3.437388612493E+17,  4.625986909238E+20,  5.905832702870E+19,  9.970018128160E+15,  1.678757963052E+02,  1.214425555918E+01,  1.457296231562E+02,NaN,  9.999999999460E+00,NaN,  1.917590319823E-03,  3.962770000253E-02,NaN,  3.504050000000E+06,  4.266428406221E-07
  3.673848161102E-04,  3.597981081571E+03,  3.599999999326E+03,  8.003107387866E+02,  3.046021416228E+05,  1.724845362174E+05,  9.305230990515E-01,NaN,NaN,  1.059520278746E-02,  4.084955756457E+15,  6.612802034441E+19,  2.067843814818E+20,  3.437388617936E+17,  4.625986909221E+20,  5.905832702883E+19,  9.970018122792E+15,  1.678757963106E+02,  1.214425556092E+01,  1.457296231600E+02,NaN,  9.999999999290E+00,NaN,  1.917590318791E-03,  3.962770000244E-02,NaN,  3.504050000000E+06,  4.266428406924E-07
  4.676545227927E-04,  3.597704360942E+03,  3.599999999035E+03,  9.498135733269E+02,  3.044582660845E+05,  1.724845362174E+05,  9.305230989289E-01,NaN,NaN,  1.015112887745E-02,  4.084955763825E+15,  6.612802033777E+19,  2.067843814882E+20,  3.437388624466E+17,  4.625986909201E+20,  5.905832702916E+19,  9.970018118497E+15,  1.678757963170E+02,  1.214425556301E+01,  1.457296231646E+02,NaN,  9.999999999120E+00,NaN,  1.917590317964E-03,  3.962770000233E-02,NaN,  3.504050000000E+06,  4.266428407767E-07
  6.370238069463E-04,  3.597238372397E+03,  3.599999998428E+03,  1.215216426473E+03,  3.042161130002E+05,  1.724845362174E+05,  9.305230986726E-01,NaN,NaN,  9.544661408510E-03,  4.084955779236E+15,  6.612802032390E+19,  2.067843815018E+20,  3.437388638124E+17,  4.625986909160E+20,  5.905832703021E+19,  9.970018105613E+15,  1.678757963307E+02,  1.214425556738E+01,  1.457296231742E+02,NaN,  9.999999998832E+00,NaN,  1.917590315486E-03,  3.962770000208E-02,NaN,  3.504050000000E+06,  4.266428409531E-07
  8.063930910999E-04,  3.596774215820E+03,  3.599999997668E+03,  1.494905705424E+03,  3.039750723086E+05,  1.724845362174E+05,  9.305230983519E-01,NaN,NaN,  9.062968795831E-03,  4.084955798522E+15,  6.612802030656E+19,  2.067843815189E+20,  3.437388655216E+17,  4.625986909109E+20,  5.905832703190E+19,  9.970018090581E+15,  1.678757963479E+02,  1.214425557286E+01,  1.457296231862E+02,NaN,  9.999999998544E+00,NaN,  1.917590312595E-03,  3.962770000176E-02,NaN,  3.504050000000E+06,  4.266428411737E-07
  1.146162884261E-03,  3.595848780433E+03,  3.599999995652E+03,  2.092509671884E+03,  3.034949628116E+05,  1.724845362174E+05,  9.305230975012E-01,NaN,NaN,  8.332149739779E-03,  4.084955849674E+15,  6.612802026062E+19,  2.067843815642E+20,  3.437388700548E+17,  4.625986908975E+20,  5.905832703735E+19,  9.970018050854E+15,  1.678757963938E+02,  1.214425558739E+01,  1.457296232182E+02,NaN,  9.999999997966E+00,NaN,  1.917590304954E-03,  3.962770000085E-02,NaN,  3.504050000000E+06,  4.266428417590E-07
  1.485932677422E-03,  3.594931160802E+03,  3.599999992945E+03,  2.730932840774E+03,  3.030195353986E+05,  1.724845362174E+05,  9.305230963590E-01,NaN,NaN,  7.795539561559E-03,  4.084955918364E+15,  6.612802019897E+19,  2.067843816253E+20,  3.437388761420E+17,  4.625986908796E+20,  5.905832704570E+19,  9.970017996095E+15,  1.678757964558E+02,  1.214425560690E+01,  1.457296232612E+02,NaN,  9.999999997389E+00,NaN,  1.917590294422E-03,  3.962769999959E-02,NaN,  3.504050000000E+06,  4.266428425450E-07
  1.825702470584E-03,  3.594021590062E+03,  3.599999989505E+03,  3.403144411641E+03,  3.025488940006E+05,  1.724845362174E+05,  9.305230949075E-01,NaN,NaN,  7.378258052610E-03,  4.084956005650E+15,  6.612802012067E+19,  2.067843817030E+20,  3.437388838772E+17,  4.625986908571E+20,  5.905832705712E+19,  9.970017929526E+15,  1.678757965347E+02,  1.214425563170E+01,  1.457296233159E+02,NaN,  9.999999996812E+00,NaN,  1.917590281619E-03,  3.962769999796E-02,NaN,  3.504050000000E+06,  4.266428435436E-07
  2.469896809782E-03,  3.592319797217E+03,  3.599999980852E+03,  4.752578274746E+03,  3.016699755743E+05,  1.724845362174E+05,  9.305230912564E-01,NaN,NaN,  6.787215149269E-03,  4.084956225222E+15,  6.612801992377E+19,  2.067843818987E+20,  3.437389033351E+17,  4.625986908005E+20,  5.905832708773E+19,  9.970017759881E+15,  1.678757967339E+02,  1.214425569408E+01,  1.457296234538E+02,NaN,  9.999999995717E+00,NaN,  1.917590248990E-03,  3.962769999377E-02,NaN,  3.504050000000E+06,  4.266428460558E-07
  3.114091148981E-03,  3.590648603506E+03,  3.599999969245E+03,  6.179222908416E+03,  3.008089428743E+05,  1.724845362174E+05,  9.305230863590E-01,NaN,NaN,  6.356096338249E-03,  4.084956519749E+15,  6.612801965976E+19,  2.067843821614E+20,  3.437389294350E+17,  4.625986907250E+20,  5.905832713073E+19,  9.970017530109E+15,  1.678757970016E+02,  1.214425577778E+01,  1.457296236390E+02,NaN,  9.999999994622E+00,NaN,  1.917590204796E-03,  3.962769998808E-02,NaN,  3.504050000000E+06,  4.266428494255E-07
  3.758285488179E-03,  3.589008724204E+03,  3.599999954534E+03,  7.664706842962E+03,  2.999660458614E+05,  1.724845362174E+05,  9.305230801517E-01,NaN,NaN,  6.022822311190E-03,  4.084956893052E+15,  6.612801932519E+19,  2.067843824946E+20,  3.437389625157E+17,  4.625986906294E+20,  5.905832718676E+19,  9.970017241283E+15,  1.678757973414E+02,  1.214425588386E+01,  1.457296238738E+02,NaN,  9.999999993527E+00,NaN,  1.917590149245E-03,  3.962769998080E-02,NaN,  3.504050000000E+06,  4.266428536964E-07
  4.402479827377E-03,  3.587400620363E+03,  3.599999936607E+03,  9.195240747320E+03,  2.991414034068E+05,  1.724845362174E+05,  9.305230725877E-01,NaN,NaN,  5.754838799579E-03,  4.084957347952E+15,  6.612801891755E+19,  2.067843829008E+20,  3.437390028269E+17,  4.625986905131E+20,  5.905832725628E+19,  9.970016889109E+15,  1.678757977557E+02,  1.214425601314E+01,  1.457296241601E+02,NaN,  9.999999992432E+00,NaN,  1.917590081509E-03,  3.962769997187E-02,NaN,  3.504050000000E+06,  4.266428589008E-07
  5.046674166576E-03,  3.585824573210E+03,  3.599999915382E+03,  1.075998999648E+04,  2.983350429444E+05,  1.724845362174E+05,  9.305230636320E-01,NaN,NaN,  5.533131270601E-03,  4.084957886555E+15,  6.612801843494E+19,  2.067843833819E+20,  3.437390505554E+17,  4.625986903755E+20,  5.905832733965E+19,  9.970016471439E+15,  1.678757982467E+02,  1.214425616620E+01,  1.457296244991E+02,NaN,  9.999999991337E+00,NaN,  1.917590001176E-03,  3.962769996127E-02,NaN,  3.504050000000E+06,  4.266428650629E-07
  5.690868505774E-03,  3.584280731022E+03,  3.599999890796E+03,  1.235016903178E+04,  2.975469254838E+05,  1.724845362174E+05,  9.305230532582E-01,NaN,NaN,  5.345713964312E-03,  4.084958510439E+15,  6.612801787597E+19,  2.067843839392E+20,  3.437391058409E+17,  4.625986902163E+20,  5.905832743712E+19,  9.970015987200E+15,  1.678757988156E+02,  1.214425634351E+01,  1.457296248919E+02,NaN,  9.999999990242E+00,NaN,  1.917589908040E-03,  3.962769994894E-02,NaN,  3.504050000000E+06,  4.266428722005E-07
  6.335062844973E-03,  3.582769136974E+03,  3.599999862805E+03,  1.395849377992E+04,  2.967769605683E+05,  1.724845362174E+05,  9.305230414473E-01,NaN,NaN,  5.184588654833E-03,  4.084959220759E+15,  6.612801723959E+19,  2.067843845739E+20,  3.437391687859E+17,  4.625986900351E+20,  5.905832754889E+19,  9.970015436391E+15,  1.678757994635E+02,  1.214425654539E+01,  1.457296253392E+02,NaN,  9.999999989147E+00,NaN,  1.917589802100E-03,  3.962769993488E-02,NaN,  3.504050000000E+06,  4.266428803271E-07
  6.979257184171E-03,  3.581289747165E+03,  3.599999831375E+03,  1.557882794709E+04,  2.960250160074E+05,  1.724845362174E+05,  9.305230281859E-01,NaN,NaN,  5.044176233992E-03,  4.084960018316E+15,  6.612801652508E+19,  2.067843852866E+20,  3.437392394614E+17,  4.625986898318E+20,  5.905832767508E+19,  9.970014817939E+15,  1.678758001913E+02,  1.214425677206E+01,  1.457296258415E+02,NaN,  9.999999988053E+00,NaN,  1.917589683149E-03,  3.962769991906E-02,NaN,  3.504050000000E+06,  4.266428894516E-07
