t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
8.1507E-12,3599.000,3600.000,3.1364E+02,3.0513E+05,2.6804E+04,0.930523,NaN,NaN,1.3391E-02,4.0850E-06,6.6128E-02,2.0678E-01,3.4374E+17,4.6260E+20,5.9058E+19,9.9700E+15,1.6788E+02,1.2144E+01,1.4573E+02,NaN,1.0000E+01,NaN,1.9176E-03,3.9628E-02,NaN,3.5041E+06,4.2664E-07
5.6593E-05,3598.669,3600.000,4.5913E+02,3.0496E+05,2.6804E+04,0.930523,NaN,NaN,1.2174E-02,4.0850E-06,6.6128E-02,2.0678E-01,3.4374E+17,4.6260E+20,5.9058E+19,9.9700E+15,1.6788E+02,1.2144E+01,1.4573E+02,NaN,1.0000E+01,NaN,1.9176E-03,3.9628E-02,NaN,3.5041E+06,4.2664E-07
1.1893E-03,3592.140,3600.000,4.9013E+03,3.0158E+05,2.6804E+04,0.930523,NaN,NaN,6.7351E-03,4.0850E-06,6.6128E-02,2.0678E-01,3.4374E+17,4.6260E+20,5.9058E+19,9.9700E+15,1.6788E+02,1.2144E+01,1.4573E+02,NaN,1.0000E+01,NaN,1.9176E-03,3.9628E-02,NaN,3.5041E+06,4.2664E-07
7.9989E-03,3557.626,3600.000,4.6334E+04,2.8421E+05,2.6804E+04,0.930523,NaN,NaN,3.8410E-03,4.0850E-06,6.6128E-02,2.0678E-01,3.4374E+17,4.6260E+20,5.9058E+19,9.9700E+15,1.6788E+02,1.2144E+01,1.4573E+02,NaN,1.0000E+01,NaN,1.9176E-03,3.9628E-02,NaN,3.5041E+06,4.2664E-07
4.0793E-02,3482.801,3599.988,1.7986E+05,2.4942E+05,2.6804E+04,0.930518,NaN,NaN,2.7365E-03,4.0856E-06,6.6127E-02,2.0678E-01,3.4379E+17,4.6260E+20,5.9058E+19,9.9698E+15,1.6788E+02,1.2144E+01,1.4573E+02,NaN,1.0000E+01,NaN,1.9175E-03,3.9628E-02,NaN,3.5041E+06,4.2665E-07
1.7103E-01,3465.855,3599.909,2.1518E+05,2.4204E+05,2.6804E+04,0.930485,NaN,NaN,2.6166E-03,4.0895E-06,6.6124E-02,2.0679E-01,3.4414E+17,4.6260E+20,5.9059E+19,9.9682E+15,1.6788E+02,1.2146E+01,1.4573E+02,NaN,1.0000E+01,NaN,1.9172E-03,3.9628E-02,NaN,3.5043E+06,4.2667E-07
1.5119E+01,3458.847,3590.739,2.1012E+05,2.3695E+05,2.6804E+04,0.926549,NaN,NaN,2.6363E-03,4.5530E-06,6.5709E-02,2.0720E-01,3.8540E+17,4.6248E+20,5.9136E+19,9.7885E+15,1.6831E+02,1.2278E+01,1.4602E+02,NaN,1.0000E+01,NaN,1.8827E-03,3.9618E-02,NaN,3.5279E+06,4.2935E-07
6.6472E+01,3435.906,3560.680,1.9379E+05,2.2062E+05,2.6804E+04,0.912855,NaN,NaN,2.7042E-03,6.1286E-06,6.4294E-02,2.0862E-01,5.2859E+17,4.6206E+20,5.9408E+19,9.2084E+15,1.6977E+02,1.2746E+01,1.4702E+02,NaN,1.0000E+01,NaN,1.7711E-03,3.9584E-02,NaN,3.6043E+06,4.3839E-07
1.2133E+02,3413.109,3530.857,1.7812E+05,2.0494E+05,2.6804E+04,0.898068,NaN,NaN,2.7765E-03,7.7759E-06,6.2809E-02,2.1010E-01,6.8334E+17,4.6161E+20,5.9710E+19,8.6475E+15,1.7133E+02,1.3264E+01,1.4807E+02,NaN,1.0000E+01,NaN,1.6632E-03,3.9546E-02,NaN,3.6789E+06,4.4777E-07
1.3133E+02,3409.055,3525.662,1.7560E+05,2.0242E+05,2.6804E+04,0.895368,NaN,NaN,2.7890E-03,8.0257E-06,6.2584E-02,2.1032E-01,7.0728E+17,4.6154E+20,5.9757E+19,8.5513E+15,1.7157E+02,1.3345E+01,1.4822E+02,NaN,1.0000E+01,NaN,1.6447E-03,3.9540E-02,NaN,3.6918E+06,4.4945E-07
