t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
  2.278910204404E-05,  3.598899054631E+03,  3.599999999972E+03,  3.414490233886E+02,  2.494339157705E+05,  1.895743656680E+03,  9.949136897661E-01,NaN,NaN,  1.354219843113E-02,  2.344875586683E+14,  5.951413673864E+19,  2.134021155563E+20,  2.125103997899E+16,  4.615106890121E+20,  6.043731828311E+19,  1.049792667641E+13,  1.750619030293E+02,  1.457731538636E+01,  1.504845856226E+02,NaN,  1.000000000000E+01,NaN,  2.020349959932E-06,  3.944642893841E-02,NaN,  3.449896500000E+06,  4.266428405049E-07
  4.557820408808E-05,  3.598798144052E+03,  3.599999999940E+03,  3.838027291882E+02,  2.493908811951E+05,  1.895743656680E+03,  9.949136897625E-01,NaN,NaN,  1.315205532845E-02,  2.344875588518E+14,  5.951413673847E+19,  2.134021155564E+20,  2.125103999569E+16,  4.615106890120E+20,  6.043731828288E+19,  1.049792667641E+13,  1.750619030295E+02,  1.457731538642E+01,  1.504845856227E+02,NaN,  9.999999999947E+00,NaN,  2.020349959932E-06,  3.944642893841E-02,NaN,  3.449896500000E+06,  4.266428405142E-07
  6.836730613212E-05,  3.598697268746E+03,  3.599999999904E+03,  4.273443162191E+02,  2.493478678821E+05,  1.895743656680E+03,  9.949136897585E-01,NaN,NaN,  1.280342491246E-02,  2.344875590562E+14,  5.951413673828E+19,  2.134021155566E+20,  2.125104001428E+16,  4.615106890119E+20,  6.043731828251E+19,  1.049792667641E+13,  1.750619030296E+02,  1.457731538650E+01,  1.504845856229E+02,NaN,  9.999999999868E+00,NaN,  2.020349959932E-06,  3.944642893842E-02,NaN,  3.449896500000E+06,  4.266428405245E-07
  1.235578882795E-04,  3.598453110127E+03,  3.599999999803E+03,  5.373418330669E+02,  2.492437841834E+05,  1.895743656680E+03,  9.949136897472E-01,NaN,NaN,  1.209088188906E-02,  2.344875596362E+14,  5.951413673773E+19,  2.134021155571E+20,  2.125104006702E+16,  4.615106890117E+20,  6.043731828230E+19,  1.049792667641E+13,  1.750619030301E+02,  1.457731538671E+01,  1.504845856232E+02,NaN,  9.999999999803E+00,NaN,  2.020349959932E-06,  3.944642893842E-02,NaN,  3.449896500000E+06,  4.266428405539E-07
  1.787484704268E-04,  3.598209143228E+03,  3.599999999681E+03,  6.532096111807E+02,  2.491398185861E+05,  1.895743656680E+03,  9.949136897335E-01,NaN,NaN,  1.151482919704E-02,  2.344875603341E+14,  5.951413673708E+19,  2.134021155577E+20,  2.125104013049E+16,  4.615106890114E+20,  6.043731828211E+19,  1.049792667641E+13,  1.750619030307E+02,  1.457731538697E+01,  1.504845856236E+02,NaN,  9.999999999739E+00,NaN,  2.020349959932E-06,  3.944642893841E-02,NaN,  3.449896500000E+06,  4.266428405892E-07
  2.339390525742E-04,  3.597965388418E+03,  3.599999999537E+03,  7.743668433122E+02,  2.490359796700E+05,  1.895743656680E+03,  9.949136897173E-01,NaN,NaN,  1.103529518326E-02,  2.344875611649E+14,  5.951413673631E+19,  2.134021155584E+20,  2.125104020604E+16,  4.615106890111E+20,  6.043731828196E+19,  1.049792667641E+13,  1.750619030314E+02,  1.457731538728E+01,  1.504845856241E+02,NaN,  9.999999999675E+00,NaN,  2.020349959932E-06,  3.944642893840E-02,NaN,  3.449896500000E+06,  4.266428406312E-07
  3.213630398026E-04,  3.597579732559E+03,  3.599999999256E+03,  9.760135142049E+02,  2.488717653672E+05,  1.895743656680E+03,  9.949136896859E-01,NaN,NaN,  1.041493788485E-02,  2.344875627773E+14,  5.951413673482E+19,  2.134021155598E+20,  2.125104035268E+16,  4.615106890105E+20,  6.043731828178E+19,  1.049792667641E+13,  1.750619030329E+02,  1.457731538788E+01,  1.504845856251E+02,NaN,  9.999999999573E+00,NaN,  2.020349959932E-06,  3.944642893838E-02,NaN,  3.449896500000E+06,  4.266428407128E-07
  4.087870270311E-04,  3.597194655759E+03,  3.599999998909E+03,  1.188373212254E+03,  2.487078881870E+05,  1.895743656680E+03,  9.949136896470E-01,NaN,NaN,  9.914765080784E-03,  2.344875647689E+14,  5.951413673298E+19,  2.134021155615E+20,  2.125104053380E+16,  4.615106890098E+20,  6.043731828168E+19,  1.049792667641E+13,  1.750619030348E+02,  1.457731538862E+01,  1.504845856263E+02,NaN,  9.999999999472E+00,NaN,  2.020349959932E-06,  3.944642893834E-02,NaN,  3.449896500000E+06,  4.266428408135E-07
  5.554660489235E-04,  3.596549923484E+03,  3.599999998169E+03,  1.565823691783E+03,  2.484337118669E+05,  1.895743656680E+03,  9.949136895641E-01,NaN,NaN,  9.254115743375E-03,  2.344875690141E+14,  5.951413672907E+19,  2.134021155652E+20,  2.125104091986E+16,  4.615106890084E+20,  6.043731828171E+19,  1.049792667641E+13,  1.750619030388E+02,  1.457731539020E+01,  1.504845856290E+02,NaN,  9.999999999301E+00,NaN,  2.020349959932E-06,  3.944642893825E-02,NaN,  3.449896500000E+06,  4.266428410283E-07
  7.021450708160E-04,  3.595906927524E+03,  3.599999997221E+03,  1.966544225629E+03,  2.481605262624E+05,  1.895743656680E+03,  9.949136894580E-01,NaN,NaN,  8.741676136912E-03,  2.344875744523E+14,  5.951413672407E+19,  2.134021155701E+20,  2.125104141441E+16,  4.615106890066E+20,  6.043731828200E+19,  1.049792667641E+13,  1.750619030441E+02,  1.457731539222E+01,  1.504845856324E+02,NaN,  9.999999999130E+00,NaN,  2.020349959932E-06,  3.944642893813E-02,NaN,  3.449896500000E+06,  4.266428413034E-07
  9.355260125601E-04,  3.594887572056E+03,  3.599999995256E+03,  2.645293878668E+03,  2.477279551391E+05,  1.895743656680E+03,  9.949136892379E-01,NaN,NaN,  8.117123626552E-03,  2.344875857302E+14,  5.951413671371E+19,  2.134021155802E+20,  2.125104244003E+16,  4.615106890029E+20,  6.043731828304E+19,  1.049792640798E+13,  1.750619030551E+02,  1.457731539642E+01,  1.504845856395E+02,NaN,  9.999999998859E+00,NaN,  2.020349908273E-06,  3.944642893786E-02,NaN,  3.449896500000E+06,  4.266428418739E-07
  1.436924008081E-03,  3.592713714682E+03,  3.599999988981E+03,  4.242731539233E+03,  2.468075729449E+05,  1.895743656680E+03,  9.949136885349E-01,NaN,NaN,  7.212889095102E-03,  2.344876217458E+14,  5.951413668071E+19,  2.134021156126E+20,  2.125104571529E+16,  4.615106889913E+20,  6.043731828781E+19,  1.049792640798E+13,  1.750619030908E+02,  1.457731540984E+01,  1.504845856624E+02,NaN,  9.999999998276E+00,NaN,  2.020349908273E-06,  3.944642893693E-02,NaN,  3.449896500000E+06,  4.266428436958E-07
