t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
0.0,3434.3434343,3500.0,1500000.0,0.0,0.0,0.0,nan,1e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.992000000000004,9.999999999999999e-18,0.0,0.0,0.0,0.0,0.0,9.999999999999999e-18,0.0,NaN,3500000.0,0.0015111691826463977
8.195638656616211e-08,3376.4396213587224,3499.9999999380484,194564.35360791298,194960.07957316728,396.1002973085807,0.999985397483554,nan,1.6458824724534855,0.002667259343296598,0.0,1.4854114824375278e+19,1.2114588517562455e+20,0.0,1.5886584472226667e+21,1.1341552777332847e+19,3.3074377347159864e+20,89.21595213868399,28.90024088453757,26.549905976710033,29.5231524395025,2.596770361457156,4.023254018636344e-09,1.6458824724534853,0.02967689129669246,NaN,3500000.0,0.0015111691827153014
8.717179298400879e-07,3376.4394764031745,3499.9999993185334,194564.65661671825,194959.99243109202,396.1002973085807,0.9999853974793643,nan,1.6458817387531985,0.002667258305123827,0.0,1.4854116571010736e+19,1.2114588342898937e+20,0.0,1.5886584475426625e+21,1.1341552457335697e+19,3.307437727483807e+20,89.2159516008289,28.900241064232475,26.549909091592227,29.523149728284693,2.596769973943047,4.023253193962365e-09,1.6458817387531985,0.02967689184713665,NaN,3500000.0,0.0015111691834043392
8.799135684967041e-06,3376.439534670695,3499.999993123379,194564.52097942616,194960.02745942742,396.1002973085807,0.9999853974374668,nan,1.6458820336776332,0.0026672587730223896,0.0,1.4854115868919601e+19,1.2114588413108013e+20,0.0,1.5886584474140156e+21,1.1341552585963895e+19,3.3074377303909106e+20,89.2159518170294,28.900240992000295,26.54990783951002,29.523150818107084,2.5967701297111203,4.0232535254537566e-09,1.6458820336776336,0.029676891625875945,NaN,3500000.0,0.0015111691902947163
8.807331323623657e-05,3376.439513745711,3499.9999311718843,194564.43188574477,194960.0148801009,396.1002973085807,0.9999853970184928,nan,1.6458819277673853,0.0026672591087700797,0.0,1.4854116121061638e+19,1.21145883878938e+20,0.0,1.5886584474600286e+21,1.1341552539766544e+19,3.3074377293469725e+20,89.21595173938664,28.900241017934885,26.549908289170563,29.523150426721404,2.596770073769142,4.023253406395846e-09,1.6458819277673857,0.029676891705338364,NaN,3500000.0,0.001511169259198444
0.0008808150887489319,3376.4390414763225,3499.999311657806,194564.0931693269,194959.730969061,396.1002973085807,0.9999853928287585,nan,1.6458795373786506,0.002667260573669123,0.0,1.4854121811725036e+19,1.2114587818827458e+20,0.0,1.5886584485007854e+21,1.134155149716351e+19,3.307437705785013e+20,89.21594998703021,28.90024160333422,26.549918437680958,29.523141593401668,2.5967688112114664,4.023250719460212e-09,1.6458795373786503,0.02967689349873508,NaN,3500000.0,0.0015111699482351138
0.00880827009677887,3376.4344201655445,3499.9931165564053,194560.49324515354,194956.95282914216,396.1002973085807,0.9999853509316823,nan,1.6458561467725277,0.002667275951997734,0.0,1.485417749679404e+19,1.2114582250320575e+20,0.0,1.5886584586845471e+21,1.134154129495195e+19,3.307437475231152e+20,89.21593283978417,28.900247331640955,26.55001774429256,29.523055156359675,2.5967564566952346,4.023224427006147e-09,1.6458561467725281,0.029676911047736475,NaN,3500000.0,0.001511176838594074
0.08808274567127228,3376.3853482290288,3499.9311708784003,194530.50857474658,194927.45532271205,396.1002973085807,0.9999849319970054,nan,1.645607784734422,0.002667409132526792,0.0,1.4854768800046756e+19,1.2114523119995355e+20,0.0,1.5886585668320182e+21,1.1341432962967577e+19,3.307435027903552e+20,89.21575077517124,28.90030815793441,26.551072251672142,29.52213730449255,2.5966252723147636,4.022945251522341e-09,1.6456077847344224,0.02967709739586507,NaN,3500000.0,0.0015112457398545624
0.8808275461196899,3375.8927637709166,3499.312234268442,194235.78308436892,194631.61244426036,396.1002973085807,0.9999804208646385,nan,1.643116147517816,0.0026687244124551897,0.0,1.4860704832593678e+19,1.2113929516740618e+20,0.0,1.58865965230839e+21,1.1340345641578275e+19,3.307410546638597e+20,89.21392476728316,28.900918658802755,26.561658332199237,29.51292284236317,2.5953087823800347,4.020144231028075e-09,1.6431161475178162,0.029678968180543015,NaN,3500000.0,0.0015119345340502968
8.808275543153286,3371.0062192152623,3493.174387518016,191325.33371506073,191721.5958796614,396.1002973085807,0.9999036710593979,nan,1.6185385620512824,0.002681852407667719,0.0,1.4919643144829356e+19,1.210803568551708e+20,0.0,1.5886704089090768e+21,1.1329570600982122e+19,3.307176042082193e+20,89.19596349728523,28.906967654763196,26.666765487801353,29.42140944986512,2.582282338811798,3.992489580005015e-09,1.6185385620512822,0.029697548417510163,NaN,3500000.0,0.0015188007580613644
88.08275549858809,3325.346527337136,3436.4585316514904,166197.91403795013,166593.10633418182,396.1002973085807,0.9963977902982535,nan,1.4010216466185081,0.0028079198275239884,0.0,1.5474647593341735e+19,1.2052535240665868e+20,0.0,1.5887698805654094e+21,1.1229915551731704e+19,3.305699813569298e+20,89.04127170518336,28.962847919788484,27.656433483079287,28.557508117027538,2.4634605349241676,3.745380732714693e-09,1.4010216466185086,0.029872961330626245,NaN,3500000.0,0.0015854524271974233
188.1827555000782,3274.6919646646775,3374.7768907646355,142234.03353829164,142629.76557898306,396.1002973085807,0.9866904480542823,nan,1.1846401142258487,0.0029553875339312302,0.0,1.6098369066520148e+19,1.1990163093347987e+20,0.0,1.588877938575527e+21,1.112162846831948e+19,3.305492219619322e+20,88.89608836914219,29.023485524951518,28.768425947041724,27.581928812375775,2.337607967053427,3.493909798737935e-09,1.1846401142258487,0.03007093090262117,NaN,3500000.0,0.001665137520771465
288.2827555015683,3230.1658468727414,3321.523808697983,124091.3420524633,124487.25833143671,396.1002973085807,0.9732005197264236,nan,1.0151161903635093,0.003092104842445757,0.0,1.6652228334060505e+19,1.1934777166593981e+20,0.0,1.5889708056992235e+21,1.1028534908902005e+19,3.3064489212601395e+20,88.78972847600791,29.07560944327163,29.75567194747946,26.7113500364816,2.2319808551205096,3.291194135840914e-09,1.0151161903635095,0.03024732385130797,NaN,3500000.0,0.0017407931036135197
388.38275550305843,3190.4859717580603,3274.753056539775,109915.54940593426,110311.95563651367,396.1002973085807,0.9573443653258361,nan,0.8795216723722316,0.0032199425649606446,0.0,1.7149135885747155e+19,1.1885086411425299e+20,0.0,1.589051803141531e+21,1.0947313690883752e+19,3.3081181789482785e+20,88.71036331048312,29.12113185325084,30.641240682114617,25.926812957253322,2.1416561423680545,3.124054321424175e-09,0.8795216723722314,0.030405957566619214,NaN,3500000.0,0.0018131781127600094
488.48275550454855,3154.7280907082773,3233.1112484530995,98556.80293419464,98952.60707782807,396.1002973085807,0.9400122321039819,nan,0.7691832779946626,0.003340299733018563,0.0,1.759880304724626e+19,1.1840119695275349e+20,0.0,1.5891233072051884e+21,1.0875588362558302e+19,3.310221617332259e+20,88.650301426536,29.161405180989487,31.442482264607875,25.213993401462723,2.06323729849753,2.9837254244269543e-09,0.7691832779946627,0.030549754433171327,NaN,3500000.0,0.001882856382193208
588.5827554985881,3122.2342058824493,3195.626861773124,89228.1892729891,89624.03901472664,396.1002973085807,0.9217838466424989,nan,0.6781604669562701,0.003454616273762554,0.0,1.8008342935370152e+19,1.179916570646295e+20,0.0,1.5891870142497683e+21,1.0811662004320623e+19,3.312580559751732e+20,88.60440321215346,29.197385778332105,32.172104919619095,24.562395001013993,1.994357043367758,2.8642455133012004e-09,0.6781604669562701,0.030680878125238436,NaN,3500000.0,0.0019502494782390346
688.6827555000782,3092.4785226832396,3161.587247336921,81451.60947446695,81847.97638344794,396.1002973085807,0.9030513393387971,nan,0.602133303469942,0.0035635470608650116,0.0,1.838365566175461e+19,1.17616344338245e+20,0.0,1.589244256739842e+21,1.075420074005249e+19,3.315080146719663e+20,88.56906180446194,29.229819052859146,32.84064706141867,23.96324322325058,1.9332191607023437,2.761253607902352e-09,0.602133303469942,0.030801146780269434,NaN,3500000.0,0.0020156656596739767
788.7827555015683,3065.039555894261,3130.434997311884,74888.37347879798,75284.01691591331,396.1002973085807,0.8840749037235452,nan,0.5379178090540836,0.003667603410184604,0.0,1.872960731377981e+19,1.1727039268621982e+20,0.0,1.589296088381588e+21,1.0702150776227615e+19,3.317646188576963e+20,88.5417068808981,29.259290198281317,33.45679841523507,23.409255119894393,1.8784453357617275,2.6715073781720627e-09,0.5379178090540837,0.030912073758450377,NaN,3500000.0,0.0020793744436387257
888.8827555030584,3039.593482683061,3101.7352384684273,69277.81436598243,69673.74325369798,396.1002973085807,0.8650321864420261,nan,0.48316684738049487,0.003767373100423537,0.0,1.905000858680974e+19,1.1694999141318989e+20,0.0,1.5893433182261032e+21,1.065470304345723e+19,3.3202289624575646e+20,88.5204899790853,29.286245823079636,34.02736382499939,22.894717629648813,1.8289958513843734,2.5926056397549914e-09,0.4831668473804949,0.031014850725951733,NaN,3500000.0,0.0021415959666803075
988.9827555045485,3015.87778580446,3075.143215258491,64430.45681273598,64826.30397323469,396.1002973085807,0.8460458086718416,nan,0.436093959292152,0.003863309621261724,0.0,1.9348009360773992e+19,1.1665199063922663e+20,0.0,1.5893865963449415e+21,1.0611207451832107e+19,3.322795616728667e+20,88.5040456068329,29.31104314638556,34.55796742890876,22.414888802349427,1.7840522673743056,2.522700991543957e-09,0.436093959292152,0.031110468037237046,NaN,3500000.0,0.0022025110986556426
1000.1005128249526,3013.3411752911547,3072.3071647652773,63932.09168634253,64328.45286755492,396.1002973085807,0.8439444925741,nan,0.4312770757605066,0.003873753372662145,0.0,1.9379838793952928e+19,1.1662016120604683e+20,0.0,1.5893911825241976e+21,1.0606597143481663e+19,3.323078628379455e+20,88.50246677950585,29.31367685259744,34.61463698335485,22.363566298562848,1.7793095667147854,2.5154272286886397e-09,0.4312770757605066,0.031120681998555895,NaN,3500000.0,0.0022092029550761076
1011.2182701528072,3010.822455942793,3069.4932943887916,63441.91164259524,63837.93980209904,396.1002973085807,0.8418450347995492,nan,0.42653500775532904,0.003884144016047391,0.0,1.9411434215537713e+19,1.1658856578446205e+20,0.0,1.5893957281199444e+21,1.060202742352092e+19,3.323361200242857e+20,88.50093244916324,29.31628842577154,34.67088909460546,22.31260737405037,1.7746125444722984,2.5082431846343366e-09,0.42653500775532904,0.03113082103423198,NaN,3500000.0,0.002215880778554381
1111.3182701542974,2992.2368886884283,3048.5803126534847,59655.79430338262,60052.18376588517,396.1002973085807,0.8260554672193194,0.49022006303083104,0.39298534458044626,0.003966796241950615,6.423123284515732e+16,1.942060545320345e+19,1.1651516331395118e+20,5.372196875284815e+18,1.5838852787501046e+21,1.0740062422669806e+19,3.3420454145378484e+20,88.8732687123685,29.744712674437455,35.05774721698197,21.913676754254507,1.7641467195933065,2.5208002231123832e-09,0.3929853445804462,0.03113857699080567,NaN,3552291.6359269693,0.002266736498009317
1211.418270148337,2974.890490576628,3029.1153197243048,56278.29863971468,56674.684031893295,396.1002973085807,0.8111668456208458,0.4539115588474534,0.3635410550822257,0.004046751375307687,1.334100462899494e+17,1.9393676800687657e+19,1.1647291315302279e+20,1.1148514874585145e+19,1.577952564253848e+21,1.0896240402636677e+19,3.362187396827001e+20,89.28319142167094,30.209777645717352,35.41224818578968,21.539692779506144,1.7579317530321779,2.543359865304369e-09,0.3635410550822257,0.031134844310374683,NaN,3606349.6324497047,0.0023160924137705543
1311.518270149827,2958.364504191493,3010.6279603216076,53209.596784377085,53605.6666781084,396.1002973085807,0.7968595168306697,0.42100034013665116,0.3371036586019626,0.00412531815709852,2.009660496715093e+17,1.9359019145471775e+19,1.1644001480485659e+20,1.6777420485396113e+19,1.5721671064465097e+21,1.105257310951005e+19,3.38216264357347e+20,89.69173611633406,30.67089914253783,35.746942162088814,21.184079754352485,1.752711396185045,2.567909892379997e-09,0.3371036586019626,0.03112814556512942,NaN,3657112.026092943,0.0023648771958864044
1411.6182701513171,2942.5880550180127,2993.032163705562,50413.75276620192,50809.78105500677,396.1002973085807,0.7830955426098201,0.39127347268693263,0.31328150152061235,0.004202528970026316,2.669359898779168e+17,1.931770177673367e+19,1.1641536223338871e+20,2.226503841356046e+19,1.5665228701889468e+21,1.1208970958752266e+19,3.401967155154111e+20,90.0985953073831,31.12816503770758,36.063461561693394,20.845320715265213,1.7483664886020625,2.5942472198349326e-09,0.31328150152061235,0.03111880476799863,NaN,3704909.7053055386,0.002413130024948446
1511.7182701528072,2927.481048032396,2976.25225464661,47883.15888882808,48279.4704001134,396.1002973085807,0.7698400087148898,0.3643738724026604,0.2917198809587106,0.004277893784227566,3.3136168179338355e+17,1.927084333557081e+19,1.1639779498263544e+20,2.76174343185546e+19,1.5610138896557288e+21,1.1365333828262068e+19,3.4216019554185426e+20,90.50354568612914,31.58169918259467,36.36364490343755,20.521717785591047,1.7447639309250018,2.622156264721504e-09,0.29171988095871054,0.03110717212790004,NaN,3750029.0054660523,0.0024608866763368284
1611.8182701542974,2912.9373814474516,2960.198878615392,45626.291293456394,46022.68823284069,396.1002973085807,0.7570427940483385,0.3399369176957996,0.2720759758521162,0.004350524280587713,3.943793438583709e+17,1.9219490504551096e+19,1.1638613015159017e+20,3.284794371981217e+19,1.555626711880326e+21,1.1521779135088153e+19,3.441099881605243e+20,90.90701427991029,32.03229444738222,36.64984788828373,20.21103718364652,1.7417587820942209,2.651460936811632e-09,0.2720759758521162,0.0310935880750104,NaN,3792778.751141323,0.002508247502850644
1711.918270148337,2898.9623420823277,2944.808166908906,43542.81158232785,43939.19993394874,396.1002973085807,0.7446702503231777,0.31767248599473497,0.2541936548132175,0.0044221412737109,4.560600603471709e+17,1.9163578912865874e+19,1.1638036102678713e+20,3.796427093335446e+19,1.5503534850011824e+21,1.167845447708141e+19,3.46046372304279e+20,91.3090821274575,32.48021755416733,36.92200672086817,19.91327868179703,1.7393855131295228,2.6822169591594327e-09,0.2541936548132175,0.03107802483480246,NaN,3833387.2771948283,0.0025552638560317753
