t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.824634e+03,3.559977e+05,3.562047e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.970418e-03,0.000000e+00,6.180600e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843461e+20,1.530077e+02,1.098853e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.112063e-03
2.043499e+00,3.997502e+03,3.823094e+03,3.546366e+05,3.548436e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.972810e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.113485e-03
4.096415e+00,3.995004e+03,3.821168e+03,3.529422e+05,3.531492e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.975805e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.114911e-03
6.159188e+00,3.992507e+03,3.819240e+03,3.512551e+05,3.514621e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.978807e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.116341e-03
8.231870e+00,3.990009e+03,3.817310e+03,3.495754e+05,3.497824e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.981816e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.117775e-03
1.031451e+01,3.987511e+03,3.815379e+03,3.479029e+05,3.481099e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.984832e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.119214e-03
1.240717e+01,3.985014e+03,3.813446e+03,3.462377e+05,3.464447e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.987854e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.120657e-03
1.450989e+01,3.982516e+03,3.811511e+03,3.445797e+05,3.447867e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.990883e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.122104e-03
1.662274e+01,3.980019e+03,3.809575e+03,3.429289e+05,3.431359e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.993918e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.123555e-03
1.874575e+01,3.977521e+03,3.807637e+03,3.412854e+05,3.414924e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.996961e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668103e+20,2.740360e+18,5.843463e+20,1.530076e+02,1.098853e+01,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.125011e-03
