t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.890483e+03,1.900333e+05,1.902403e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.305222e-03,0.000000e+00,1.168229e+20,4.291471e+20,0.000000e+00,1.548825e+21,1.634379e+19,1.272998e+21,3.293957e+02,6.095761e+01,2.684381e+02,NaN,NaN,NaN,NaN,3.918894e-02,NaN,3.507955e+06,1.112063e-03
3.828621e+00,3.997502e+03,3.888802e+03,1.892343e+05,1.894413e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.308241e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.113485e-03
7.676646e+00,3.995005e+03,3.886700e+03,1.882406e+05,1.884476e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.312021e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.114911e-03
1.154498e+01,3.992507e+03,3.884597e+03,1.872522e+05,1.874592e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.315807e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.116341e-03
1.543374e+01,3.990010e+03,3.882492e+03,1.862689e+05,1.864759e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.319602e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.117775e-03
1.934302e+01,3.987513e+03,3.880386e+03,1.852908e+05,1.854978e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.323403e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.119213e-03
2.327294e+01,3.985015e+03,3.878278e+03,1.843179e+05,1.845249e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.327213e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.120656e-03
2.722361e+01,3.982518e+03,3.876169e+03,1.833500e+05,1.835570e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.331029e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.122103e-03
3.119513e+01,3.980021e+03,3.874058e+03,1.823872e+05,1.825942e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.334854e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.123554e-03
3.518761e+01,3.977523e+03,3.871946e+03,1.814294e+05,1.816364e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.338686e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.125010e-03
3.920118e+01,3.975026e+03,3.869832e+03,1.804767e+05,1.806837e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.342525e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.126470e-03
4.323593e+01,3.972528e+03,3.867717e+03,1.795289e+05,1.797359e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.346373e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.127934e-03
4.729198e+01,3.970031e+03,3.865601e+03,1.785860e+05,1.787930e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.350228e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.129403e-03
5.136945e+01,3.967534e+03,3.863483e+03,1.776481e+05,1.778551e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.354090e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.130876e-03
5.546844e+01,3.965036e+03,3.861364e+03,1.767150e+05,1.769220e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.357961e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.132353e-03
5.958908e+01,3.962539e+03,3.859243e+03,1.757868e+05,1.759938e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.361839e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.133835e-03
6.373148e+01,3.960042e+03,3.857121e+03,1.748634e+05,1.750704e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.365726e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.135322e-03
6.789575e+01,3.957544e+03,3.854998e+03,1.739448e+05,1.741518e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.369620e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.136812e-03
7.208202e+01,3.955047e+03,3.852873e+03,1.730310e+05,1.732380e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.373522e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.138308e-03
7.629039e+01,3.952549e+03,3.850747e+03,1.721219e+05,1.723289e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.377432e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.139807e-03
8.052099e+01,3.950052e+03,3.848619e+03,1.712175e+05,1.714245e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.381350e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.141312e-03
8.477394e+01,3.947555e+03,3.846490e+03,1.703178e+05,1.705248e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.385276e-03,0.000000e+00,1.168221e+20,4.291495e+20,0.000000e+00,1.548825e+21,1.634399e+19,1.273006e+21,3.293939e+02,6.095760e+01,2.684363e+02,NaN,NaN,NaN,NaN,3.918844e-02,NaN,3.507955e+06,1.142820e-03
