t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.926254e+03,1.121593e+05,1.123663e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.630034e-03,0.000000e+00,2.373786e+19,1.127535e+20,0.000000e+00,1.544127e+21,2.104156e+19,4.673944e+20,1.152390e+02,6.069366e+01,5.454538e+01,NaN,NaN,NaN,NaN,3.030773e-02,NaN,3.507955e+06,1.112063e-03
6.485794e+00,3.997502e+03,3.924437e+03,1.117540e+05,1.119610e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.633088e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.113485e-03
1.299971e+01,3.995004e+03,3.922163e+03,1.112524e+05,1.114594e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.636894e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.114911e-03
1.954297e+01,3.992506e+03,3.919889e+03,1.107538e+05,1.109608e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.640703e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.116341e-03
2.611567e+01,3.990009e+03,3.917613e+03,1.102582e+05,1.104652e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.644514e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.117776e-03
3.271790e+01,3.987511e+03,3.915337e+03,1.097655e+05,1.099725e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.648328e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.119214e-03
3.934975e+01,3.985013e+03,3.913059e+03,1.092756e+05,1.094826e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.652145e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.120657e-03
4.601131e+01,3.982515e+03,3.910780e+03,1.087886e+05,1.089956e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.655965e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.122105e-03
5.270269e+01,3.980017e+03,3.908500e+03,1.083043e+05,1.085113e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.659788e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.123556e-03
5.942397e+01,3.977520e+03,3.906220e+03,1.078227e+05,1.080297e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.663615e-03,0.000000e+00,2.373716e+19,1.127557e+20,0.000000e+00,1.544126e+21,2.104258e+19,4.674084e+20,1.152374e+02,6.069360e+01,5.454377e+01,NaN,NaN,NaN,NaN,3.030623e-02,NaN,3.507955e+06,1.125012e-03
