t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.901923e+03,1.640364e+05,1.642434e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.391581e-03,0.000000e+00,5.392542e+19,2.190538e+20,0.000000e+00,1.547124e+21,1.804471e+19,7.267980e+20,1.847730e+02,6.086201e+01,1.239110e+02,NaN,NaN,NaN,NaN,3.543924e-02,NaN,3.507955e+06,1.112063e-03
4.435100e+00,3.997502e+03,3.900191e+03,1.633869e+05,1.635939e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.394566e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.113485e-03
8.891282e+00,3.995004e+03,3.898024e+03,1.625828e+05,1.627898e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.398289e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.114911e-03
1.336950e+01,3.992507e+03,3.895855e+03,1.617828e+05,1.619898e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.402017e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.116341e-03
1.786986e+01,3.990009e+03,3.893685e+03,1.609871e+05,1.611941e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.405752e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.117775e-03
2.239246e+01,3.987512e+03,3.891514e+03,1.601955e+05,1.604025e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.409492e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.119214e-03
2.693741e+01,3.985014e+03,3.889341e+03,1.594081e+05,1.596151e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.413239e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.120657e-03
3.150481e+01,3.982517e+03,3.887168e+03,1.586247e+05,1.588317e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.416993e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.122104e-03
3.609476e+01,3.980019e+03,3.884993e+03,1.578454e+05,1.580524e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.420752e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.123555e-03
4.070736e+01,3.977522e+03,3.882816e+03,1.570701e+05,1.572771e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.424518e-03,0.000000e+00,5.392224e+19,2.190636e+20,0.000000e+00,1.547122e+21,1.804654e+19,7.268383e+20,1.847656e+02,6.086190e+01,1.239037e+02,NaN,NaN,NaN,NaN,3.543558e-02,NaN,3.507955e+06,1.125011e-03
