t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.836270e+03,3.248563e+05,3.250633e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.016032e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.112063e-03
2.239545e+00,3.997502e+03,3.834727e+03,3.235416e+05,3.237486e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.018592e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.113485e-03
4.490015e+00,3.995005e+03,3.832797e+03,3.219056e+05,3.221126e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.021799e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.114911e-03
6.751925e+00,3.992507e+03,3.830865e+03,3.202772e+05,3.204842e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.025012e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.116341e-03
9.025337e+00,3.990010e+03,3.828932e+03,3.186563e+05,3.188633e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.028233e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.117775e-03
1.131031e+01,3.987512e+03,3.826997e+03,3.170429e+05,3.172499e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.031462e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.119214e-03
1.360692e+01,3.985015e+03,3.825059e+03,3.154370e+05,3.156440e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.034697e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.120656e-03
1.591522e+01,3.982517e+03,3.823121e+03,3.138387e+05,3.140457e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.037940e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.122103e-03
1.823528e+01,3.980020e+03,3.821180e+03,3.122477e+05,3.124547e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.041190e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.123555e-03
2.056717e+01,3.977522e+03,3.819238e+03,3.106642e+05,3.108712e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.044448e-03,0.000000e+00,1.273572e+20,4.186144e+20,0.000000e+00,1.559663e+20,5.505792e+17,1.119583e+21,2.949392e+02,2.295001e+00,2.926442e+02,NaN,NaN,NaN,NaN,4.379769e-02,NaN,3.507955e+06,1.125010e-03
