t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.770778e+03,5.087790e+05,5.089860e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.802137e-03,0.000000e+00,3.150576e+19,1.049871e+20,0.000000e+00,1.559587e+20,5.581425e+17,2.841218e+20,7.468946e+01,2.294842e+00,7.239462e+01,NaN,NaN,NaN,NaN,4.320120e-02,NaN,3.507955e+06,1.112063e-03
1.429706e+00,3.997502e+03,3.769318e+03,5.070110e+05,5.072180e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.804167e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.113485e-03
2.865398e+00,3.995004e+03,3.767493e+03,5.048088e+05,5.050158e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.806710e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.114911e-03
4.307355e+00,3.992506e+03,3.765666e+03,5.026148e+05,5.028218e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.809258e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.116341e-03
5.755608e+00,3.990008e+03,3.763837e+03,5.004290e+05,5.006360e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.811811e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.117776e-03
7.210187e+00,3.987510e+03,3.762007e+03,4.982515e+05,4.984585e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.814371e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.119215e-03
8.671126e+00,3.985013e+03,3.760175e+03,4.960821e+05,4.962891e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.816936e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.120658e-03
1.013845e+01,3.982515e+03,3.758341e+03,4.939209e+05,4.941279e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.819507e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.122105e-03
1.161220e+01,3.980017e+03,3.756506e+03,4.917678e+05,4.919748e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.822084e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.123556e-03
1.309241e+01,3.977519e+03,3.754669e+03,4.896228e+05,4.898298e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.824667e-03,0.000000e+00,3.150574e+19,1.049872e+20,0.000000e+00,1.559587e+20,5.581432e+17,2.841220e+20,7.468942e+01,2.294842e+00,7.239458e+01,NaN,NaN,NaN,NaN,4.320115e-02,NaN,3.507955e+06,1.125012e-03
