t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.803740e+03,4.136450e+05,4.138520e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.897856e-03,0.000000e+00,6.345478e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530994e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359712e-02,NaN,3.507955e+06,1.112063e-03
1.758670e+00,3.997502e+03,3.802244e+03,4.120937e+05,4.123007e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.900125e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.113485e-03
3.525288e+00,3.995004e+03,3.800372e+03,4.101623e+05,4.103693e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.902966e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.114911e-03
5.300227e+00,3.992507e+03,3.798499e+03,4.082390e+05,4.084460e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.905814e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.116341e-03
7.083529e+00,3.990009e+03,3.796624e+03,4.063236e+05,4.065306e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.908669e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.117776e-03
8.875240e+00,3.987511e+03,3.794747e+03,4.044162e+05,4.046232e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.911530e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.119214e-03
1.067540e+01,3.985014e+03,3.792869e+03,4.025169e+05,4.027239e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.914397e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.120657e-03
1.248406e+01,3.982516e+03,3.790989e+03,4.006254e+05,4.008324e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.917271e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.122104e-03
1.430126e+01,3.980018e+03,3.789107e+03,3.987419e+05,3.989489e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.920151e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.123556e-03
1.612705e+01,3.977521e+03,3.787223e+03,3.968663e+05,3.970733e+05,2.070000e+02,1.000000e+00,NaN,NaN,1.923038e-03,0.000000e+00,6.345477e+19,2.095310e+20,0.000000e+00,1.559638e+20,5.530995e+17,5.625929e+20,1.481027e+02,2.294948e+00,1.458078e+02,NaN,NaN,NaN,NaN,4.359711e-02,NaN,3.507955e+06,1.125011e-03
