t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.860793e+03,2.616585e+05,2.618655e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.128073e-03,0.000000e+00,1.230377e+20,4.229338e+20,0.000000e+00,8.322039e+20,6.296786e+18,1.176699e+21,3.078168e+02,2.509796e+01,2.827188e+02,NaN,NaN,NaN,NaN,4.188010e-02,NaN,3.507955e+06,1.112063e-03
2.780532e+00,3.997502e+03,3.859191e+03,2.605765e+05,2.607835e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.130823e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.113485e-03
5.574924e+00,3.995005e+03,3.857188e+03,2.592303e+05,2.594373e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.134266e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.114911e-03
8.383829e+00,3.992507e+03,3.855182e+03,2.578907e+05,2.580977e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.137717e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.116341e-03
1.120733e+01,3.990010e+03,3.853176e+03,2.565577e+05,2.567647e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.141176e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.117775e-03
1.404550e+01,3.987512e+03,3.851167e+03,2.552312e+05,2.554382e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.144641e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.119213e-03
1.689842e+01,3.985015e+03,3.849157e+03,2.539111e+05,2.541181e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.148115e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.120656e-03
1.976617e+01,3.982518e+03,3.847145e+03,2.525975e+05,2.528045e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.151596e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.122103e-03
2.264884e+01,3.980020e+03,3.845132e+03,2.512904e+05,2.514974e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.155085e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.123555e-03
2.554651e+01,3.977523e+03,3.843117e+03,2.499897e+05,2.501967e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.158581e-03,0.000000e+00,1.230377e+20,4.229339e+20,0.000000e+00,8.322039e+20,6.296789e+18,1.176700e+21,3.078167e+02,2.509796e+01,2.827187e+02,NaN,NaN,NaN,NaN,4.188008e-02,NaN,3.507955e+06,1.125010e-03
