t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.852639e+03,2.822897e+05,2.824967e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.088077e-03,0.000000e+00,5.930932e+19,2.136761e+20,0.000000e+00,8.319044e+20,6.596211e+18,6.216013e+20,1.613673e+02,2.508506e+01,1.362822e+02,NaN,NaN,NaN,NaN,3.995847e-02,NaN,3.507955e+06,1.112063e-03
2.577131e+00,3.997502e+03,3.851034e+03,2.811894e+05,2.813964e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.090651e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.113485e-03
5.166369e+00,3.995004e+03,3.849027e+03,2.798199e+05,2.800269e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.093873e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.114911e-03
7.768281e+00,3.992507e+03,3.847018e+03,2.784568e+05,2.786638e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.097103e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.116341e-03
1.038293e+01,3.990009e+03,3.845008e+03,2.770998e+05,2.773068e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.100339e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.117775e-03
1.301039e+01,3.987512e+03,3.842996e+03,2.757491e+05,2.759561e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.103583e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.119214e-03
1.565071e+01,3.985014e+03,3.840983e+03,2.744046e+05,2.746116e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.106833e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.120657e-03
1.830398e+01,3.982517e+03,3.838968e+03,2.730662e+05,2.732732e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.110090e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.122104e-03
2.097025e+01,3.980019e+03,3.836951e+03,2.717339e+05,2.719409e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.113355e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.123555e-03
2.364960e+01,3.977521e+03,3.834933e+03,2.704078e+05,2.706148e+05,2.070000e+02,1.000000e+00,NaN,NaN,2.116626e-03,0.000000e+00,5.930910e+19,2.136767e+20,0.000000e+00,8.319044e+20,6.596254e+18,6.216034e+20,1.613668e+02,2.508506e+01,1.362817e+02,NaN,NaN,NaN,NaN,3.995820e-02,NaN,3.507955e+06,1.125011e-03
