t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.811226e+03,3.927447e+05,4.011225e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.922616e-03,0.000000e+00,6.180600e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740358e+18,5.843461e+20,1.467137e+02,4.694525e+00,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.112063e-03
3.701194e-01,3.999500e+03,3.810925e+03,3.924429e+05,4.008207e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.923084e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.112347e-03
7.405804e-01,3.999000e+03,3.810549e+03,3.920660e+05,4.004437e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.923669e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.112632e-03
1.111398e+00,3.998500e+03,3.810173e+03,3.916893e+05,4.000671e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.924254e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.112916e-03
1.482571e+00,3.998000e+03,3.809797e+03,3.913130e+05,3.996908e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.924840e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.113201e-03
1.854102e+00,3.997500e+03,3.809420e+03,3.909370e+05,3.993148e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.925426e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.113486e-03
2.225990e+00,3.997001e+03,3.809044e+03,3.905613e+05,3.989391e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.926012e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.113771e-03
2.598236e+00,3.996501e+03,3.808668e+03,3.901860e+05,3.985637e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.926598e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.114056e-03
2.970840e+00,3.996001e+03,3.808291e+03,3.898109e+05,3.981887e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.927185e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843463e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.114342e-03
3.343802e+00,3.995501e+03,3.807915e+03,3.894362e+05,3.978140e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.927772e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843462e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.114627e-03
3.717124e+00,3.995001e+03,3.807538e+03,3.890618e+05,3.974395e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.928359e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843462e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.114913e-03
4.090804e+00,3.994501e+03,3.807162e+03,3.886876e+05,3.970654e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.928946e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843462e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.115199e-03
4.464845e+00,3.994001e+03,3.806785e+03,3.883139e+05,3.966916e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.929534e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843462e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.115485e-03
4.839245e+00,3.993501e+03,3.806408e+03,3.879404e+05,3.963181e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.930122e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740359e+18,5.843462e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.115771e-03
5.214006e+00,3.993001e+03,3.806031e+03,3.875672e+05,3.959450e+05,8.377773e+03,1.000000e+00,NaN,NaN,1.930710e-03,0.000000e+00,6.180599e+19,2.111798e+20,0.000000e+00,4.668101e+20,2.740358e+18,5.843462e+20,1.467136e+02,4.694526e+00,1.420191e+02,NaN,NaN,NaN,NaN,4.213276e-02,NaN,3.507955e+06,1.116058e-03
