t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.824939e+03,3.551721e+05,3.564762e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.971562e-03,0.000000e+00,6.180600e+19,2.111798e+20,0.000000e+00,4.668063e+20,2.740326e+18,5.843459e+20,1.530076e+02,1.098839e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.112063e-03
3.273901e-01,3.999600e+03,3.824708e+03,3.549677e+05,3.562717e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.971922e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668063e+20,2.740317e+18,5.843459e+20,1.530076e+02,1.098836e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.112291e-03
7.369620e-01,3.999100e+03,3.824323e+03,3.546268e+05,3.559308e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.972521e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668062e+20,2.740317e+18,5.843458e+20,1.530076e+02,1.098836e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.112575e-03
1.146928e+00,3.998600e+03,3.823938e+03,3.542862e+05,3.555902e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.973121e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668062e+20,2.740317e+18,5.843458e+20,1.530076e+02,1.098836e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.112859e-03
1.557287e+00,3.998100e+03,3.823553e+03,3.539459e+05,3.552499e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.973722e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668062e+20,2.740316e+18,5.843458e+20,1.530076e+02,1.098836e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213278e-02,NaN,3.507955e+06,1.113144e-03
1.968042e+00,3.997600e+03,3.823167e+03,3.536059e+05,3.549100e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.974322e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668061e+20,2.740316e+18,5.843458e+20,1.530076e+02,1.098835e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213279e-02,NaN,3.507955e+06,1.113429e-03
2.379191e+00,3.997101e+03,3.822782e+03,3.532662e+05,3.545703e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.974923e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668061e+20,2.740316e+18,5.843458e+20,1.530076e+02,1.098835e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213279e-02,NaN,3.507955e+06,1.113714e-03
2.790735e+00,3.996601e+03,3.822397e+03,3.529268e+05,3.542309e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.975524e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668060e+20,2.740315e+18,5.843458e+20,1.530076e+02,1.098835e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213279e-02,NaN,3.507955e+06,1.113999e-03
3.202676e+00,3.996101e+03,3.822011e+03,3.525877e+05,3.538918e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.976125e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668060e+20,2.740315e+18,5.843458e+20,1.530076e+02,1.098835e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213279e-02,NaN,3.507955e+06,1.114285e-03
3.615012e+00,3.995601e+03,3.821626e+03,3.522489e+05,3.535529e+05,1.304033e+03,1.000000e+00,NaN,NaN,1.976727e-03,0.000000e+00,6.180601e+19,2.111798e+20,0.000000e+00,4.668060e+20,2.740315e+18,5.843458e+20,1.530076e+02,1.098835e+01,1.420192e+02,NaN,NaN,NaN,NaN,4.213279e-02,NaN,3.507955e+06,1.114570e-03
