t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.834765e+03,3.178712e+05,3.186288e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.079270e-03,0.000000e+00,5.439665e+19,2.184936e+20,0.000000e+00,4.664838e+20,3.437631e+18,6.093650e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177011e-02,NaN,3.332557e+06,1.112063e-03
2.110862e+00,3.997502e+03,3.833206e+03,3.166354e+05,3.173930e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.081828e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.113485e-03
4.231614e+00,3.995004e+03,3.831257e+03,3.150972e+05,3.158547e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.085031e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.114911e-03
6.362721e+00,3.992507e+03,3.829306e+03,3.135658e+05,3.143233e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.088241e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.116341e-03
8.504238e+00,3.990009e+03,3.827354e+03,3.120412e+05,3.127988e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.091458e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.117775e-03
1.065622e+01,3.987512e+03,3.825399e+03,3.105234e+05,3.112810e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.094682e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.119214e-03
1.281872e+01,3.985014e+03,3.823443e+03,3.090124e+05,3.097700e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.097913e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.120657e-03
1.499180e+01,3.982517e+03,3.821486e+03,3.075081e+05,3.082657e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.101152e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.122104e-03
1.717551e+01,3.980019e+03,3.819527e+03,3.060106e+05,3.067682e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.104397e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.123555e-03
1.936991e+01,3.977521e+03,3.817566e+03,3.045198e+05,3.052773e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.107650e-03,0.000000e+00,5.439663e+19,2.184937e+20,0.000000e+00,4.664838e+20,3.437634e+18,6.093653e+20,1.594630e+02,1.367651e+01,1.457865e+02,NaN,NaN,NaN,NaN,4.177008e-02,NaN,3.332557e+06,1.125011e-03
