t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.902937e+03,1.563826e+05,1.571402e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.482714e-03,0.000000e+00,1.015384e+20,4.443236e+20,0.000000e+00,1.545681e+21,2.073594e+19,1.348291e+21,3.478540e+02,7.572459e+01,2.721294e+02,NaN,NaN,NaN,NaN,3.834096e-02,NaN,3.332557e+06,1.112063e-03
4.291146e+00,3.997502e+03,3.901225e+03,1.557150e+05,1.564726e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.486006e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.113485e-03
8.604367e+00,3.995005e+03,3.899083e+03,1.548852e+05,1.556427e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.490125e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.114911e-03
1.294070e+01,3.992507e+03,3.896941e+03,1.540599e+05,1.548175e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.494252e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.116341e-03
1.730025e+01,3.990010e+03,3.894797e+03,1.532392e+05,1.539967e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.498386e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.117775e-03
2.168316e+01,3.987513e+03,3.892652e+03,1.524229e+05,1.531805e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.502529e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.119213e-03
2.608953e+01,3.985015e+03,3.890505e+03,1.516111e+05,1.523687e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.506679e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.120656e-03
3.051950e+01,3.982518e+03,3.888357e+03,1.508037e+05,1.515613e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.510837e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.122103e-03
3.497318e+01,3.980021e+03,3.886207e+03,1.500007e+05,1.507583e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.515003e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.123554e-03
3.945071e+01,3.977523e+03,3.884056e+03,1.492021e+05,1.499597e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.519176e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.125010e-03
4.395220e+01,3.975026e+03,3.881904e+03,1.484078e+05,1.491654e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.523358e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.126470e-03
4.847778e+01,3.972529e+03,3.879751e+03,1.476178e+05,1.483754e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.527548e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.127934e-03
5.302758e+01,3.970031e+03,3.877596e+03,1.468321e+05,1.475897e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.531745e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.129403e-03
5.760172e+01,3.967534e+03,3.875439e+03,1.460506e+05,1.468082e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.535951e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.130876e-03
6.220034e+01,3.965037e+03,3.873282e+03,1.452734e+05,1.460309e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.540165e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.132353e-03
6.682357e+01,3.962539e+03,3.871123e+03,1.445003e+05,1.452578e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.544387e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.133835e-03
7.147153e+01,3.960042e+03,3.868963e+03,1.437313e+05,1.444889e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.548618e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.135321e-03
7.614435e+01,3.957545e+03,3.866801e+03,1.429665e+05,1.437241e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.552857e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.136812e-03
8.084217e+01,3.955047e+03,3.864638e+03,1.422058e+05,1.429633e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.557104e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.138307e-03
8.556512e+01,3.952550e+03,3.862474e+03,1.414491e+05,1.422067e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.561359e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.139807e-03
9.031334e+01,3.950053e+03,3.860309e+03,1.406965e+05,1.414541e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.565623e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.141311e-03
9.508696e+01,3.947555e+03,3.858142e+03,1.399479e+05,1.407055e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.569896e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.142820e-03
9.988611e+01,3.945058e+03,3.855974e+03,1.392033e+05,1.399608e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.574177e-03,0.000000e+00,1.015369e+20,4.443285e+20,0.000000e+00,1.545680e+21,2.073646e+19,1.348307e+21,3.478500e+02,7.572455e+01,2.721254e+02,NaN,NaN,NaN,NaN,3.833998e-02,NaN,3.332557e+06,1.144333e-03
