t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.942311e+03,7.814555e+04,7.890312e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.952893e-03,0.000000e+00,1.999990e+19,1.164431e+20,0.000000e+00,1.538998e+21,2.741903e+19,5.278435e+20,1.288583e+02,7.525731e+01,5.360103e+01,NaN,NaN,NaN,NaN,2.881684e-02,NaN,3.332557e+06,1.112063e-03
8.585810e+00,3.997502e+03,3.940456e+03,7.786063e+04,7.861819e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.956346e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.113485e-03
1.720910e+01,3.995004e+03,3.938134e+03,7.750920e+04,7.826677e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.960638e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.114911e-03
2.587144e+01,3.992506e+03,3.935812e+03,7.716021e+04,7.791777e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.964930e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.116341e-03
3.457293e+01,3.990009e+03,3.933489e+03,7.681361e+04,7.757117e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.969221e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.117776e-03
4.331364e+01,3.987511e+03,3.931165e+03,7.646934e+04,7.722690e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.973513e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.119214e-03
5.209367e+01,3.985013e+03,3.928840e+03,7.612736e+04,7.688492e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.977806e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.120657e-03
6.091311e+01,3.982515e+03,3.926513e+03,7.578762e+04,7.654519e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.982099e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.122105e-03
6.977206e+01,3.980018e+03,3.924186e+03,7.545009e+04,7.620765e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.986393e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.123556e-03
7.867060e+01,3.977520e+03,3.921858e+03,7.511470e+04,7.587227e+04,7.575627e+02,1.000000e+00,NaN,NaN,2.990689e-03,0.000000e+00,1.999909e+19,1.164461e+20,0.000000e+00,1.538996e+21,2.742078e+19,5.278652e+20,1.288560e+02,7.525717e+01,5.359886e+01,NaN,NaN,NaN,NaN,2.881494e-02,NaN,3.332557e+06,1.125012e-03
