t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.917957e+03,1.249794e+05,1.257370e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.625815e-03,0.000000e+00,4.613998e+19,2.267491e+20,0.000000e+00,1.543183e+21,2.323375e+19,7.884854e+20,1.992079e+02,7.554984e+01,1.236581e+02,NaN,NaN,NaN,NaN,3.414003e-02,NaN,3.332557e+06,1.112063e-03
5.368923e+00,3.997502e+03,3.916183e+03,1.244809e+05,1.252385e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.629112e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.113485e-03
1.076363e+01,3.995004e+03,3.913965e+03,1.238618e+05,1.246193e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.633233e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.114911e-03
1.618529e+01,3.992507e+03,3.911745e+03,1.232462e+05,1.240038e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.637360e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.116341e-03
2.163402e+01,3.990009e+03,3.909525e+03,1.226341e+05,1.233916e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.641492e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.117775e-03
2.710994e+01,3.987512e+03,3.907303e+03,1.220254e+05,1.227830e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.645630e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.119214e-03
3.261317e+01,3.985014e+03,3.905080e+03,1.214202e+05,1.221777e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.649774e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.120657e-03
3.814383e+01,3.982517e+03,3.902856e+03,1.208183e+05,1.215759e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.653923e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.122104e-03
4.370203e+01,3.980019e+03,3.900631e+03,1.202197e+05,1.209773e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.658079e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.123555e-03
4.928790e+01,3.977522e+03,3.898404e+03,1.196245e+05,1.203820e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.662241e-03,0.000000e+00,4.613948e+19,2.267508e+20,0.000000e+00,1.543182e+21,2.323416e+19,7.884933e+20,1.992066e+02,7.554981e+01,1.236568e+02,NaN,NaN,NaN,NaN,3.413941e-02,NaN,3.332557e+06,1.125011e-03
