t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.841815e+03,2.999181e+05,3.006756e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.109711e-03,0.000000e+00,1.129147e+20,4.329507e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.112063e-03
2.237362e+00,3.997502e+03,3.840263e+03,2.986882e+05,2.994458e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.112420e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.113485e-03
4.485784e+00,3.995005e+03,3.838322e+03,2.971578e+05,2.979153e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.115811e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.114911e-03
6.745788e+00,3.992507e+03,3.836379e+03,2.956346e+05,2.963921e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.119210e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.116341e-03
9.017438e+00,3.990010e+03,3.834434e+03,2.941186e+05,2.948761e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.122616e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.117775e-03
1.130080e+01,3.987512e+03,3.832488e+03,2.926098e+05,2.933673e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.126030e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.119214e-03
1.359594e+01,3.985015e+03,3.830539e+03,2.911081e+05,2.918656e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.129452e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.120656e-03
1.590291e+01,3.982517e+03,3.828589e+03,2.896135e+05,2.903711e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.132882e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.122103e-03
1.822180e+01,3.980020e+03,3.826637e+03,2.881260e+05,2.888836e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.136319e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.123555e-03
2.055266e+01,3.977523e+03,3.824684e+03,2.866456e+05,2.874032e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.139765e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.125010e-03
2.289555e+01,3.975025e+03,3.822744e+03,2.851723e+05,2.860163e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.142993e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.126470e-03
2.525056e+01,3.972528e+03,3.820771e+03,2.837060e+05,2.844636e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.146678e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.127935e-03
2.761774e+01,3.970030e+03,3.818812e+03,2.822467e+05,2.830042e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.150147e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.129403e-03
2.999716e+01,3.967533e+03,3.816851e+03,2.807943e+05,2.815518e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.153623e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.130876e-03
3.238889e+01,3.965036e+03,3.814889e+03,2.793489e+05,2.801064e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.157108e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.132354e-03
3.479299e+01,3.962538e+03,3.812924e+03,2.779104e+05,2.786679e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.160600e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.133836e-03
3.720954e+01,3.960041e+03,3.810958e+03,2.764787e+05,2.772363e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.164100e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.135322e-03
3.963861e+01,3.957543e+03,3.808990e+03,2.750540e+05,2.758116e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.167607e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.136813e-03
4.208026e+01,3.955046e+03,3.807021e+03,2.736361e+05,2.743937e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.171123e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.138308e-03
4.453456e+01,3.952548e+03,3.805050e+03,2.722250e+05,2.729826e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.174646e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.139808e-03
4.700159e+01,3.950051e+03,3.803077e+03,2.708207e+05,2.715783e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.178178e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.141312e-03
4.948141e+01,3.947554e+03,3.801102e+03,2.694232e+05,2.701808e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.181717e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.142821e-03
5.197410e+01,3.945056e+03,3.799125e+03,2.680324e+05,2.687900e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.185265e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.144335e-03
5.447972e+01,3.942559e+03,3.797147e+03,2.666484e+05,2.674059e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.188820e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.145853e-03
5.699835e+01,3.940061e+03,3.795167e+03,2.652710e+05,2.660286e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.192383e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.147375e-03
5.953006e+01,3.937564e+03,3.793185e+03,2.639003e+05,2.646579e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.195954e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.148902e-03
6.207492e+01,3.935067e+03,3.791202e+03,2.625363e+05,2.632938e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.199533e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.150434e-03
6.463300e+01,3.932569e+03,3.789216e+03,2.611788e+05,2.619364e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.203120e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.151971e-03
6.720438e+01,3.930072e+03,3.787230e+03,2.598280e+05,2.605855e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.206716e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.153512e-03
6.978913e+01,3.927574e+03,3.785241e+03,2.584837e+05,2.592413e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.210319e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.155058e-03
7.238733e+01,3.925077e+03,3.783251e+03,2.571460e+05,2.579035e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.213930e-03,0.000000e+00,1.129146e+20,4.329508e+20,0.000000e+00,1.559660e+20,6.860524e+17,1.158852e+21,3.054778e+02,2.859247e+00,3.026186e+02,NaN,NaN,NaN,NaN,4.375664e-02,NaN,3.332557e+06,1.156608e-03
