t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.810409e+03,3.818318e+05,3.825894e+05,7.575627e+02,1.000000e+00,NaN,NaN,1.986121e-03,0.000000e+00,5.620171e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898275e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351568e-02,NaN,3.332557e+06,1.112063e-03
1.757227e+00,3.997502e+03,3.808903e+03,3.803791e+05,3.811367e+05,7.575627e+02,1.000000e+00,NaN,NaN,1.988523e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.113485e-03
3.522511e+00,3.995004e+03,3.807020e+03,3.785706e+05,3.793282e+05,7.575627e+02,1.000000e+00,NaN,NaN,1.991530e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.114911e-03
5.296230e+00,3.992507e+03,3.805135e+03,3.767698e+05,3.775274e+05,7.575627e+02,1.000000e+00,NaN,NaN,1.994544e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.116341e-03
7.078428e+00,3.990009e+03,3.803248e+03,3.749767e+05,3.757342e+05,7.575627e+02,1.000000e+00,NaN,NaN,1.997566e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.117775e-03
8.869151e+00,3.987511e+03,3.801360e+03,3.731912e+05,3.739487e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.000594e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.119214e-03
1.066844e+01,3.985014e+03,3.799470e+03,3.714133e+05,3.721708e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.003628e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.120657e-03
1.247635e+01,3.982516e+03,3.797578e+03,3.696430e+05,3.704005e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.006670e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.122104e-03
1.429292e+01,3.980019e+03,3.795684e+03,3.678802e+05,3.686378e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.009719e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.123555e-03
1.611819e+01,3.977521e+03,3.793789e+03,3.661251e+05,3.668826e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.012774e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.125011e-03
1.795221e+01,3.975023e+03,3.791892e+03,3.643774e+05,3.651350e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.015837e-03,0.000000e+00,5.620170e+19,2.166886e+20,0.000000e+00,1.559622e+20,6.898277e+17,5.827463e+20,1.534833e+02,2.859148e+00,1.506242e+02,NaN,NaN,NaN,NaN,4.351566e-02,NaN,3.332557e+06,1.126471e-03
