t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.878777e+03,2.103275e+05,2.110851e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.305418e-03,0.000000e+00,2.381508e+19,1.126263e+20,0.000000e+00,8.299451e+20,9.217804e+18,3.732072e+20,9.497336e+01,3.114742e+01,6.382594e+01,NaN,NaN,NaN,NaN,3.547679e-02,NaN,3.332557e+06,1.112063e-03
3.190061e+00,3.997502e+03,3.877087e+03,2.095419e+05,2.102995e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.308166e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.113485e-03
6.394420e+00,3.995004e+03,3.874972e+03,2.085692e+05,2.093268e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.311591e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.114911e-03
9.613722e+00,3.992507e+03,3.872856e+03,2.076010e+05,2.083586e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.315023e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.116341e-03
1.284804e+01,3.990009e+03,3.870738e+03,2.066374e+05,2.073949e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.318462e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.117776e-03
1.609744e+01,3.987511e+03,3.868619e+03,2.056782e+05,2.064357e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.321906e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.119214e-03
1.936199e+01,3.985013e+03,3.866499e+03,2.047234e+05,2.054810e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.325357e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.120657e-03
2.264177e+01,3.982516e+03,3.864378e+03,2.037731e+05,2.045306e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.328815e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.122104e-03
2.593684e+01,3.980018e+03,3.862255e+03,2.028271e+05,2.035846e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.332279e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.123556e-03
2.924729e+01,3.977520e+03,3.860132e+03,2.018854e+05,2.026430e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.335749e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.125011e-03
3.257317e+01,3.975023e+03,3.858007e+03,2.009480e+05,2.017056e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.339227e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.126472e-03
3.591457e+01,3.972525e+03,3.855880e+03,2.000150e+05,2.007725e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.342711e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.127936e-03
3.927156e+01,3.970027e+03,3.853753e+03,1.990861e+05,1.998437e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.346201e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.129405e-03
4.264421e+01,3.967530e+03,3.851624e+03,1.981615e+05,1.989190e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.349699e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.130878e-03
4.603260e+01,3.965032e+03,3.849495e+03,1.972410e+05,1.979986e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.353203e-03,0.000000e+00,2.381345e+19,1.126317e+20,0.000000e+00,8.299440e+20,9.218857e+18,3.732300e+20,9.496895e+01,3.114736e+01,6.382159e+01,NaN,NaN,NaN,NaN,3.547267e-02,NaN,3.332557e+06,1.132356e-03
