t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s)
3.170979e-08,4.000000e+03,3.866263e+03,2.397632e+05,2.405207e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.231147e-03,0.000000e+00,5.170834e+19,2.211810e+20,0.000000e+00,8.308131e+20,8.349786e+18,6.555136e+20,1.697757e+02,3.119397e+01,1.385817e+02,NaN,NaN,NaN,NaN,3.922337e-02,NaN,3.332557e+06,1.112063e-03
2.798586e+00,3.997502e+03,3.864628e+03,2.388128e+05,2.395704e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.233934e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.113485e-03
5.610540e+00,3.995004e+03,3.862584e+03,2.376304e+05,2.383879e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.237423e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.114911e-03
8.436488e+00,3.992507e+03,3.860538e+03,2.364535e+05,2.372111e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.240920e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.116341e-03
1.127650e+01,3.990009e+03,3.858491e+03,2.352823e+05,2.360399e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.244423e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.117775e-03
1.413065e+01,3.987512e+03,3.856442e+03,2.341166e+05,2.348742e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.247934e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.119214e-03
1.699902e+01,3.985014e+03,3.854391e+03,2.329565e+05,2.337140e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.251453e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.120657e-03
1.988167e+01,3.982517e+03,3.852339e+03,2.318018e+05,2.325594e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.254978e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.122104e-03
2.277868e+01,3.980019e+03,3.850286e+03,2.306527e+05,2.314102e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.258511e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.123555e-03
2.569013e+01,3.977522e+03,3.848231e+03,2.295090e+05,2.302665e+05,7.575627e+02,1.000000e+00,NaN,NaN,2.262051e-03,0.000000e+00,5.170793e+19,2.211824e+20,0.000000e+00,8.308129e+20,8.349902e+18,6.555181e+20,1.697746e+02,3.119396e+01,1.385806e+02,NaN,NaN,NaN,NaN,3.922282e-02,NaN,3.332557e+06,1.125011e-03
