t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_N2(bar),p_S2(bar),p_SO2(bar),p_H2S(bar),p_NH3(bar)
0.0000000000e+00,3.1261701141e+03,3.9074685703e+03,1.0000000000e+03,1.4519913421e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892201e+19,2.1718110779e+20,0.0000000000e+00,4.6888436192e+20,1.1156380811e+18,7.9391547630e+20,2.5766331074e+02,3.8247502218e+00,9.7558838472e+01,3.1829816496e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7193363141e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1252429574e+03,3.9074685703e+03,1.4499560000e+05,1.4300627576e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838475e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7179978919e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1252266256e+03,3.9074685703e+03,1.4280270000e+05,1.4133652737e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380811e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838474e+01,3.1829816497e+01,1.3516714511e-01,2.6421246232e-12,1.2431473840e+02,3.5830640210e-02,6.7168104822e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1248748548e+03,3.9074685703e+03,1.4113300000e+05,1.4085011300e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838474e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7164810532e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.1248669783e+03,3.9074685703e+03,1.4064660000e+05,1.4047473222e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838475e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7161865222e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.1248604307e+03,3.9074685703e+03,1.4027120000e+05,1.4015480014e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838475e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7159283170e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.1248724186e+03,3.9074685703e+03,1.3995130000e+05,1.3985968147e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818880650e+19,2.1718106455e+20,0.0000000000e+00,4.6888436162e+20,1.1156380937e+18,7.9391537886e+20,2.5766328334e+02,3.8247502170e+00,9.7558817820e+01,3.1829809758e+01,1.3516714494e-01,2.6421240571e-12,1.2431473840e+02,3.5830639759e-02,6.7156818699e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.1248849420e+03,3.9074685703e+03,1.3965610000e+05,1.3961630119e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818869105e+19,2.1718102133e+20,0.0000000000e+00,4.6888436133e+20,1.1156381063e+18,7.9391528148e+20,2.5766325597e+02,3.8247502122e+00,9.7558797181e+01,3.1829803024e+01,1.3516714477e-01,2.6421234915e-12,1.2431473840e+02,3.5830639308e-02,6.7154886225e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.1249182422e+03,3.9074685703e+03,1.3941280000e+05,1.3941756963e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818857568e+19,2.1718097815e+20,0.0000000000e+00,4.6888436104e+20,1.1156381189e+18,7.9391518417e+20,2.5766322861e+02,3.8247502074e+00,9.7558776555e+01,3.1829796295e+01,1.3516714460e-01,2.6421229263e-12,1.2431473840e+02,3.5830638858e-02,6.7153335015e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.1249647928e+03,3.9074685703e+03,1.3921400000e+05,1.3925668669e+05,3.1048813757e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818742273e+19,2.1718054656e+20,0.0000000000e+00,4.6888435810e+20,1.1156382450e+18,7.9391421169e+20,2.5766295519e+02,3.8247501595e+00,9.7558570436e+01,3.1829729046e+01,1.3516714291e-01,2.6421172779e-12,1.2431473840e+02,3.5830634360e-02,6.7152063201e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
