t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
0.0000000000e+00,3.3895767424e+03,3.8799654737e+03,1.0000000000e+03,8.6318416662e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835929637e+20,4.3564070626e+20,0.0000000000e+00,1.5870228428e+21,1.2977158008e+19,1.3993752955e+21,4.2543499702e+02,4.3837383241e+01,1.9282276738e+02,6.2910889450e+01,1.5492185367e+00,6.8600625617e-10,1.2431473840e+02,3.5302871644e-02,6.7852399716e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.3895655267e+03,3.8799654737e+03,8.6112490000e+04,8.6287754194e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835929582e+20,4.3564070418e+20,0.0000000000e+00,1.5870228420e+21,1.2977158000e+19,1.3993752907e+21,4.2543499565e+02,4.3837383198e+01,1.9282276639e+02,6.2910889127e+01,1.5492185352e+00,6.8600625129e-10,1.2431473840e+02,3.5302871631e-02,6.7851426699e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.3895535410e+03,3.8799654737e+03,8.6081830000e+04,8.6290898455e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835929583e+20,4.3564070418e+20,0.0000000000e+00,1.5870228420e+21,1.2977157999e+19,1.3993752907e+21,4.2543499565e+02,4.3837383198e+01,1.9282276639e+02,6.2910889127e+01,1.5492185352e+00,6.8600625128e-10,1.2431473840e+02,3.5302871631e-02,6.7851542476e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.3895661759e+03,3.8799654737e+03,8.6084970000e+04,8.6291542396e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835929582e+20,4.3564070418e+20,0.0000000000e+00,1.5870228420e+21,1.2977158000e+19,1.3993752907e+21,4.2543499565e+02,4.3837383198e+01,1.9282276639e+02,6.2910889127e+01,1.5492185352e+00,6.8600625129e-10,1.2431473840e+02,3.5302871631e-02,6.7851427858e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.3895660904e+03,3.8799654737e+03,8.6085610000e+04,8.6291256292e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835929582e+20,4.3564070418e+20,0.0000000000e+00,1.5870228420e+21,1.2977158000e+19,1.3993752907e+21,4.2543499565e+02,4.3837383198e+01,1.9282276639e+02,6.2910889127e+01,1.5492185352e+00,6.8600625129e-10,1.2431473840e+02,3.5302871631e-02,6.7851399019e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.3895660530e+03,3.8799654737e+03,8.6085330000e+04,8.6291251679e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835929582e+20,4.3564070418e+20,0.0000000000e+00,1.5870228420e+21,1.2977158000e+19,1.3993752907e+21,4.2543499565e+02,4.3837383198e+01,1.9282276639e+02,6.2910889127e+01,1.5492185352e+00,6.8600625129e-10,1.2431473840e+02,3.5302871631e-02,6.7851390591e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.3895660415e+03,3.8799654737e+03,8.6085320000e+04,8.6291256506e+04,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835928435e+20,4.3564066049e+20,0.0000000000e+00,1.5870228403e+21,1.2977158085e+19,1.3993751917e+21,4.2543496767e+02,4.3837383103e+01,1.9282274537e+02,6.2910882268e+01,1.5492185318e+00,6.8600617351e-10,1.2431473840e+02,3.5302871322e-02,6.7851388835e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.3895660363e+03,3.8799654737e+03,8.6085330000e+04,8.6291259684e+04,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835927288e+20,4.3564061680e+20,0.0000000000e+00,1.5870228385e+21,1.2977158170e+19,1.3993750928e+21,4.2543493969e+02,4.3837383007e+01,1.9282272434e+02,6.2910875408e+01,1.5492185284e+00,6.8600609572e-10,1.2431473840e+02,3.5302871014e-02,6.7851388702e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.3895660299e+03,3.8799654737e+03,8.6085330000e+04,8.6291260953e+04,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835926141e+20,4.3564057311e+20,0.0000000000e+00,1.5870228368e+21,1.2977158255e+19,1.3993749938e+21,4.2543491171e+02,4.3837382912e+01,1.9282270332e+02,6.2910868549e+01,1.5492185251e+00,6.8600601794e-10,1.2431473840e+02,3.5302870705e-02,6.7851388667e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.3895659657e+03,3.8799654737e+03,8.6085330000e+04,8.6291274125e+04,3.1048813757e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.0835914668e+20,4.3564013621e+20,0.0000000000e+00,1.5870228195e+21,1.2977159107e+19,1.3993740042e+21,4.2543463190e+02,4.3837381957e+01,1.9282249309e+02,6.2910799959e+01,1.5492184913e+00,6.8600524012e-10,1.2431473840e+02,3.5302867620e-02,6.7851388343e+06,3.4717298617e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
