z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
5.5074245709e+05,1.0357952478e-04,4.0216444091e+02,1.1952647807e-05,6.7374277907e-05,2.4252626671e-05,5.7137618098e-19,2.1395215125e-65,3.3467983061e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4491329244e+05,1.6947619799e-04,4.4839897361e+02,1.9556850750e-05,1.1023738994e-04,3.9682002487e-05,6.6601521635e-19,2.5859254005e-65,3.8458990868e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4071049509e+05,2.4090613178e-04,4.5959736508e+02,2.7799569026e-05,1.5669966345e-04,5.6406963536e-05,7.6960784744e-19,3.3195302093e-65,4.4228041087e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.3644259902e+05,3.4244197720e-04,4.6331216122e+02,3.9516384713e-05,2.2274461085e-04,8.0181072928e-05,9.0727944867e-19,4.5483149129e-65,5.2049583687e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.3213196187e+05,4.8677261504e-04,4.6995545975e+02,5.6171542060e-05,3.1662583425e-04,1.1397536852e-04,1.0588762251e-18,6.0309794451e-65,6.0547839645e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.2775690851e+05,6.9193496864e-04,4.7849448823e+02,7.9846427258e-05,4.5007562037e-04,1.6201310552e-04,1.2254589166e-18,7.7808185025e-65,6.9753931498e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.2330464462e+05,9.8356806862e-04,4.8851841626e+02,1.1349967817e-04,6.3977111831e-04,2.3029753448e-04,1.4060353383e-18,9.7592876718e-65,7.9561947524e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1875651445e+05,1.3981171489e-03,5.0031269137e+02,1.6133692370e-04,9.0941847382e-04,3.2736212427e-04,1.5943349641e-18,1.1779815339e-64,8.9524468403e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1409140186e+05,1.9873881885e-03,5.1550537656e+02,2.2933635913e-04,1.2927153742e-03,4.6533698527e-04,1.7674935703e-18,1.3209701431e-64,9.8144345311e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0927151465e+05,2.8250220768e-03,5.3650150772e+02,3.2599583783e-04,1.8375622298e-03,6.6146476274e-04,1.8788393395e-18,1.2916876823e-64,1.0250261381e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0419386173e+05,4.0156974771e-03,5.7422135868e+02,4.6339484366e-04,2.6120482635e-03,9.4025544112e-04,1.7790086076e-18,8.6615248053e-65,9.3675097100e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9876055466e+05,5.7082124632e-03,6.1626889880e+02,6.5870405757e-04,3.7129605846e-03,1.3365493437e-03,1.7512409076e-18,6.5922510810e-65,8.9531807173e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9294209568e+05,8.1140797360e-03,6.6141440323e+02,9.3633116846e-04,5.2778796224e-03,1.8998711095e-03,2.5153998103e-18,1.7200467479e-64,1.3234193378e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8670725955e+05,1.1533959254e-02,7.0960827762e+02,1.3309710889e-03,7.5023724796e-03,2.7006187609e-03,9.1728562221e-18,9.3520014476e-63,5.7298820674e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8003328099e+05,1.6395231547e-02,7.6076332806e+02,1.8919417584e-03,1.0664432850e-02,3.8388613063e-03,1.0223346353e-16,1.9267087888e-59,8.9750565002e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7289901751e+05,2.3305407240e-02,8.1472538438e+02,2.6893473617e-03,1.5159221734e-02,5.4568442999e-03,1.9386948932e-15,2.2111034395e-55,2.5786298459e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6527669347e+05,3.3128047325e-02,8.7148411775e+02,3.8228390987e-03,2.1548450471e-02,7.7567661271e-03,3.3434097178e-14,1.8355878976e-51,6.5970420456e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5714779842e+05,4.7090681930e-02,9.3103471094e+02,5.4340679830e-03,3.0630577331e-02,1.1026046300e-02,4.2748763925e-13,5.6934152563e-48,1.1896463164e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4849227635e+05,6.6938214103e-02,9.9343098015e+02,7.7243846257e-03,4.3540589721e-02,1.5673242788e-02,4.1603320840e-12,7.2128047963e-45,1.5607451453e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3928267807e+05,9.5150979421e-02,1.0588222439e+03,1.0979993545e-02,6.1891840275e-02,2.2279104392e-02,3.2867959358e-11,4.6115644285e-42,1.6054666860e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2950091107e+05,1.3525471222e-01,1.1272839029e+03,1.5607691938e-02,8.7977657116e-02,3.1669130298e-02,2.2034146841e-10,1.7210146516e-39,1.3632130173e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1912411052e+05,1.9226115472e-01,1.1989935074e+03,2.2185619974e-02,1.2505790704e-01,4.5016682397e-02,1.2904602355e-09,4.1258827573e-37,9.8836393068e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0812388930e+05,2.7329437186e-01,1.2739610471e+03,3.1535264472e-02,1.7776627000e-01,6.3989482185e-02,6.7043800409e-09,6.6853129882e-35,6.2296585022e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9648339379e+05,3.8848104183e-01,1.3521934385e+03,4.4823470854e-02,2.5268894762e-01,9.0957679782e-02,3.1240671711e-08,7.5962315073e-33,3.4583469275e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8417808660e+05,5.5221598173e-01,1.4338146508e+03,6.3706645043e-02,3.5918656218e-01,1.2928925833e-01,1.3198511887e-07,6.2746555290e-31,1.7126466356e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
