z(m),p_tot(bar),T(K)
3.1574775982e+05,1.2042292544e-04,1.4568961082e+02
3.1531575570e+05,1.7463348462e-04,1.2356300137e+02
3.1492488039e+05,2.5324790807e-04,1.2177488399e+02
3.1453514537e+05,3.6725203692e-04,1.2316636039e+02
3.1413718475e+05,5.3257718751e-04,1.2721832010e+02
3.1372489698e+05,7.7232644653e-04,1.3231320275e+02
3.1329445716e+05,1.1200031733e-03,1.3878564473e+02
3.1284252592e+05,1.6241928704e-03,1.4593376998e+02
3.1236628454e+05,2.3553526841e-03,1.5424346703e+02
3.1186150928e+05,3.4156573198e-03,1.6411626383e+02
3.1132348092e+05,4.9532772755e-03,1.7549363362e+02
3.1074821261e+05,7.1830846807e-03,1.8799667896e+02
3.1013238229e+05,1.0416680242e-02,2.0183116731e+02
3.0947303074e+05,1.5105937364e-02,2.1675950405e+02
3.0876990811e+05,2.1906148442e-02,2.3140092666e+02
3.0802445993e+05,3.1767597599e-02,2.4640031454e+02
3.0723695818e+05,4.6068356557e-02,2.6171925037e+02
3.0641049339e+05,6.6806860962e-02,2.7521174190e+02
3.0555176929e+05,9.6881178430e-02,2.8658231099e+02
3.0465565512e+05,1.4049399416e-01,3.0483448929e+02
3.0369448346e+05,2.0373990816e-01,3.3337187845e+02
3.0067037081e+05,2.9545711490e-01,3.6421147737e+02
2.9500136692e+05,4.2846248208e-01,3.9746852499e+02
2.8883251360e+05,6.2134262228e-01,4.3324557649e+02
2.8212802401e+05,9.0105124816e-01,4.7164082016e+02
2.7484971943e+05,1.3066757739e+00,5.1276011068e+02
2.6695481804e+05,1.8948995204e+00,5.5672171003e+02
2.5839683128e+05,2.7479228316e+00,6.0365076304e+02
2.4915157875e+05,3.9849500235e+00,6.5367024607e+02
2.3918906462e+05,5.7788473924e+00,7.0687621762e+02
2.2845387299e+05,8.3803001260e+00,7.6333922406e+02
2.1691166738e+05,1.2152843886e+01,8.2312702344e+02
2.0452190084e+05,1.7623666492e+01,8.8630880815e+02
1.9124315603e+05,2.5557278900e+01,9.5295533046e+02
1.7701011148e+05,3.7062350507e+01,1.0231402493e+03
1.6175261995e+05,5.3746638307e+01,1.0969409562e+03
1.4544993519e+05,7.7941660195e+01,1.1744437040e+03
1.2808572721e+05,1.1302850905e+02,1.2557479499e+03
1.0961004811e+05,1.6391033787e+02,1.3409711365e+03
8.9966325398e+04,2.3769754276e+02,1.4302497762e+03
6.9088416912e+04,3.4470139325e+02,1.5237361599e+03
4.6890836348e+04,4.9987496349e+02,1.6216014013e+03
2.3277133298e+04,7.2490272456e+02,1.7240398924e+03
5.1892529676e+03,9.3935186947e+02,1.7751161837e+03
0.0000000000e+00,1.0117377998e+03,1.7898522622e+03
