t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
0.0000000000e+00,3.4042387068e+03,3.8799684131e+03,1.0000000000e+03,8.3427400274e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157925087e+19,1.1084211855e+20,0.0000000000e+00,1.5853223526e+21,1.4677651751e+19,6.9125035419e+20,2.2699578727e+02,4.3737449461e+01,4.3277934062e+01,1.4119978477e+01,1.5456868646e+00,1.5326886759e-10,1.2431473840e+02,3.1142287671e-02,6.8615400233e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4042339823e+03,3.8799684131e+03,8.3221400000e+04,8.3364475704e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157916790e+19,1.1084208392e+20,0.0000000000e+00,1.5853223478e+21,1.4677652013e+19,6.9125028293e+20,2.2699576770e+02,4.3737449199e+01,4.3277919509e+01,1.4119973730e+01,1.5456868553e+00,1.5326881422e-10,1.2431473840e+02,3.1142286928e-02,6.8613349967e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4042331506e+03,3.8799684131e+03,8.3158480000e+04,8.3359218374e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157915983e+19,1.1084208055e+20,0.0000000000e+00,1.5853223473e+21,1.4677652038e+19,6.9125027599e+20,2.2699576579e+02,4.3737449173e+01,4.3277918093e+01,1.4119973267e+01,1.5456868544e+00,1.5326880902e-10,1.2431473840e+02,3.1142286855e-02,6.8612941538e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.4042330087e+03,3.8799684131e+03,8.3153220000e+04,8.3358048582e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157916646e+19,1.1084208332e+20,0.0000000000e+00,1.5853223480e+21,1.4677652023e+19,6.9125028175e+20,2.2699576737e+02,4.3737449209e+01,4.3277919257e+01,1.4119973647e+01,1.5456868557e+00,1.5326881339e-10,1.2431473840e+02,3.1142286914e-02,6.8612855084e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.4042329442e+03,3.8799684131e+03,8.3152050000e+04,8.3357729543e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157916652e+19,1.1084208335e+20,0.0000000000e+00,1.5853223480e+21,1.4677652022e+19,6.9125028180e+20,2.2699576739e+02,4.3737449208e+01,4.3277919267e+01,1.4119973650e+01,1.5456868556e+00,1.5326881343e-10,1.2431473840e+02,3.1142286914e-02,6.8612824919e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.4042329603e+03,3.8799684131e+03,8.3151730000e+04,8.3357791135e+04,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157916652e+19,1.1084208335e+20,0.0000000000e+00,1.5853223480e+21,1.4677652022e+19,6.9125028180e+20,2.2699576739e+02,4.3737449208e+01,4.3277919267e+01,1.4119973650e+01,1.5456868556e+00,1.5326881343e-10,1.2431473840e+02,3.1142286914e-02,6.8612826733e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.4042329485e+03,3.8799684131e+03,8.3151790000e+04,8.3357792308e+04,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157906604e+19,1.1084204140e+20,0.0000000000e+00,1.5853223408e+21,1.4677652311e+19,6.9125019518e+20,2.2699574360e+02,4.3737448812e+01,4.3277901643e+01,1.4119967900e+01,1.5456868417e+00,1.5326874823e-10,1.2431473840e+02,3.1142286019e-02,6.8612826676e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.4042329381e+03,3.8799684131e+03,8.3151790000e+04,8.3357794376e+04,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157896556e+19,1.1084199944e+20,0.0000000000e+00,1.5853223336e+21,1.4677652600e+19,6.9125010857e+20,2.2699571982e+02,4.3737448417e+01,4.3277884019e+01,1.4119962150e+01,1.5456868277e+00,1.5326868304e-10,1.2431473840e+02,3.1142285124e-02,6.8612826614e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.4042329277e+03,3.8799684131e+03,8.3151790000e+04,8.3357796454e+04,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157886509e+19,1.1084195749e+20,0.0000000000e+00,1.5853223265e+21,1.4677652889e+19,6.9125002196e+20,2.2699569603e+02,4.3737448021e+01,4.3277866395e+01,1.4119956400e+01,1.5456868137e+00,1.5326861785e-10,1.2431473840e+02,3.1142284229e-02,6.8612826557e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.4042328230e+03,3.8799684131e+03,8.3151800000e+04,8.3357817450e+04,3.1048813757e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.5157786031e+19,1.1084153796e+20,0.0000000000e+00,1.5853222547e+21,1.4677655779e+19,6.9124915584e+20,2.2699545819e+02,4.3737444062e+01,4.3277690154e+01,1.4119898899e+01,1.5456866738e+00,1.5326796595e-10,1.2431473840e+02,3.1142275279e-02,6.8612825952e+06,3.4718061662e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
