z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.3191649642e+05,1.0325835321e-04,2.3706739665e+02,4.6492385761e-05,5.1889969072e-05,7.6649848394e-30,4.3624720583e-06,3.4405859340e-15,5.1365647982e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2888190439e+05,1.6176252520e-04,2.3200069201e+02,7.2834451750e-05,8.1289820052e-05,7.6780236650e-30,6.8333818243e-06,1.3214535467e-14,8.0467802075e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2761388192e+05,2.2291015976e-04,2.3186785505e+02,1.0036591357e-04,1.1201790020e-04,7.6761320428e-30,9.4177328038e-06,3.4597249178e-14,1.1090111163e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2634570877e+05,3.0717212940e-04,2.3229240192e+02,1.3830534429e-04,1.5436173276e-04,7.6757838373e-30,1.2977253895e-05,9.0521816317e-14,1.5281564416e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2506536353e+05,4.2328585283e-04,2.3683834080e+02,1.9058827314e-04,2.1271340638e-04,7.6651110036e-30,1.7883775832e-05,2.3703335939e-13,2.1057114027e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2375519017e+05,5.8329156868e-04,2.4357076000e+02,2.6262793259e-04,2.9311920950e-04,7.6485633298e-30,2.4644206919e-05,6.2077108802e-13,2.9012746869e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2189352232e+05,8.0378082994e-04,2.5043880247e+02,3.6190351735e-04,4.0392164512e-04,7.6305880161e-30,3.3959525663e-05,1.6257354034e-12,3.9972142184e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1937403701e+05,1.1076169402e-03,2.5802081644e+02,4.9870526082e-04,5.5660865059e-04,7.6080823072e-30,4.6797230228e-05,4.2589671335e-12,5.5070674966e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1677196160e+05,1.5263057299e-03,2.6764455932e+02,6.8721674921e-04,7.6701326083e-04,7.5751632568e-30,6.4491482766e-05,1.1165035542e-11,7.5869340057e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1406231716e+05,2.1032625058e-03,2.8039785639e+02,9.4699508669e-04,1.0569599142e-03,7.5256889568e-30,8.8870776089e-05,2.9287776065e-11,1.0449770220e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1120597321e+05,2.8983139363e-03,2.9814625857e+02,1.3049459564e-03,1.4565055018e-03,7.4390992984e-30,1.2247733967e-04,7.6994633132e-11,1.4389140482e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0815154268e+05,3.9939016887e-03,3.2145333534e+02,1.7981977049e-03,2.0071029397e-03,7.2892726288e-30,1.6880581651e-04,2.0312503337e-10,1.9802259943e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0486325485e+05,5.5036310937e-03,3.4622763873e+02,2.4779141606e-03,2.7658791642e-03,7.0725733448e-30,2.3267050175e-04,5.3792491215e-10,2.7232924334e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0132718880e+05,7.5840512801e-03,3.7251896556e+02,3.4144252978e-03,3.8114918867e-03,6.7579665401e-30,3.2073301373e-04,1.4332515746e-09,3.7414289212e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9752920321e+05,1.0450888303e-02,4.0038730350e+02,4.7048755174e-03,5.2525053377e-03,6.3065813319e-30,4.4220390762e-04,3.8546339186e-09,5.1320676553e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9345441710e+05,1.4401414532e-02,4.2989218934e+02,6.4828933783e-03,7.2384998841e-03,5.6747611813e-30,6.0980683362e-04,1.0515281542e-08,7.0219724368e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8908738375e+05,1.9845273867e-02,4.6111472886e+02,8.9324685953e-03,9.9757498471e-03,4.8288870630e-30,8.4133387019e-04,2.9332349062e-08,9.5727570379e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
