z(m),p_tot(bar),T(K)
3.5708325922e+05,1.2035446584e-04,1.6513465604e+02
3.5701466941e+05,1.7433582014e-04,1.3056102139e+02
3.5695511719e+05,2.5252887770e-04,1.2883194466e+02
3.5689605831e+05,3.6579306547e-04,1.2847725417e+02
3.5683653267e+05,5.2985847784e-04,1.3110509988e+02
3.5677534584e+05,7.6751046709e-04,1.3601711633e+02
3.5671152740e+05,1.1117540659e-03,1.4270777850e+02
3.5664431331e+05,1.6103977158e-03,1.5097183622e+02
3.5657282857e+05,2.3326928883e-03,1.6144901545e+02
3.5649611550e+05,3.3789517072e-03,1.7386619471e+02
3.5641361557e+05,4.8944782645e-03,1.8679033784e+02
3.5632532423e+05,7.0897484066e-03,1.9899229725e+02
3.5623149814e+05,1.0269640552e-02,2.1094490103e+02
3.5613232256e+05,1.4875777112e-02,2.2232736061e+02
3.5602790268e+05,2.1547856866e-02,2.3402947478e+02
3.5591787588e+05,3.1212496128e-02,2.4759427509e+02
3.5580177899e+05,4.5211916925e-02,2.6174475258e+02
3.5568032287e+05,6.5490354365e-02,2.7354960439e+02
3.5555565398e+05,9.4864071390e-02,2.8075593053e+02
3.5542977457e+05,1.3741248048e-01,2.8820080868e+02
3.5530294629e+05,1.9904469115e-01,3.0036148427e+02
3.5517336707e+05,2.8832016523e-01,3.2432303963e+02
3.5202254523e+05,4.1763745215e-01,3.5522411590e+02
3.4496017010e+05,6.0495609560e-01,3.8881913798e+02
3.3725481495e+05,8.7629084920e-01,4.2524964164e+02
3.2885603299e+05,1.2693245972e+00,4.6465033898e+02
3.1970874517e+05,1.8386417416e+00,5.0715452530e+02
3.0975128877e+05,2.6633088663e+00,5.5290892158e+02
2.9892033214e+05,3.8578554793e+00,6.0205148320e+02
2.8721343177e+05,5.5881798343e+00,6.5469050956e+02
2.7459705163e+05,8.0945888274e+00,7.1091058585e+02
2.6096116373e+05,1.1725171742e+01,7.7078434898e+02
2.4625571417e+05,1.6984142780e+01,8.3437157083e+02
2.3043574978e+05,2.4601866165e+01,9.0171696725e+02
2.1345018730e+05,3.5636288898e+01,9.7285544384e+02
1.9515868682e+05,5.1619868099e+01,1.0478228936e+03
1.7547878400e+05,7.4772398165e+01,1.1266618271e+03
1.5445244246e+05,1.0830929511e+02,1.2094273092e+03
1.3203701691e+05,1.5688815250e+02,1.2961942140e+03
1.0819748196e+05,2.2725558662e+02,1.3870631364e+03
8.2900546886e+04,3.2918420434e+02,1.4821597801e+03
5.6098216686e+04,4.7682981965e+02,1.5816353572e+03
2.7740623066e+04,6.9069740866e+02,1.6856677244e+03
6.1534252465e+03,8.9431807638e+02,1.7333258427e+03
0.0000000000e+00,9.6301529156e+02,1.7453692466e+03
