t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,3.3993666673e+03,3.8799809908e+03,1.0000000000e+03,2.3536531191e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426687971e+19,2.2057331203e+20,0.0,1.5861848129e+21,1.3815187090e+19,9.2207269335e+20,2.9103217375e+02,4.3759262550e+01,9.1544238561e+01,2.9867476492e+01,1.5464577418e+00,3.2452751638e-10,1.2431473840e+02,3.3105790285e-02,6.9003470619e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
0.0000000000e+00,3.3982165178e+03,3.8799809908e+03,2.3515940000e+05,1.9880993690e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426688013e+19,2.2057331219e+20,0.0,1.5861848128e+21,1.3815187087e+19,9.2207269368e+20,2.9103217384e+02,4.3759262544e+01,9.1544238635e+01,2.9867476516e+01,1.5464577416e+00,3.2452751655e-10,1.2431473840e+02,3.3105790288e-02,6.8872527337e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
0.0000000000e+00,3.3979565678e+03,3.8799809908e+03,1.9860400000e+05,1.9026336223e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426692019e+19,2.2057332787e+20,0.0,1.5861848108e+21,1.3815186955e+19,9.2207272718e+20,2.9103218322e+02,4.3759262435e+01,9.1544245788e+01,2.9867478850e+01,1.5464577378e+00,3.2452754029e-10,1.2431473840e+02,3.3105790521e-02,6.8839566218e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
0.0000000000e+00,3.3978589004e+03,3.8799809908e+03,1.9005740000e+05,1.8627413547e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426685434e+19,2.2057330196e+20,0.0,1.5861848073e+21,1.3815187045e+19,9.2207267062e+20,2.9103216742e+02,4.3759262239e+01,9.1544234032e+01,2.9867475014e+01,1.5464577308e+00,3.2452749570e-10,1.2431473840e+02,3.3105790159e-02,6.8823486708e+06,NaN,NaN,5.9038216688e-10,0.0,0.0,0.0,0.0
1.0000000000e+00,3.3977836011e+03,3.8799809908e+03,1.8606820000e+05,1.8249071627e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426687971e+19,2.2057331203e+20,0.0,1.5861848129e+21,1.3815187090e+19,9.2207269335e+20,2.9103217375e+02,4.3759262550e+01,9.1544238561e+01,2.9867476492e+01,1.5464577418e+00,3.2452751638e-10,1.2431473840e+02,3.3105790285e-02,6.8807625837e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
2.0000000000e+00,3.3977208148e+03,3.8799809908e+03,1.8228480000e+05,1.7941809341e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426687971e+19,2.2057331203e+20,0.0,1.5861848129e+21,1.3815187090e+19,9.2207269335e+20,2.9103217375e+02,4.3759262550e+01,9.1544238561e+01,2.9867476492e+01,1.5464577418e+00,3.2452751638e-10,1.2431473840e+02,3.3105790285e-02,6.8794556476e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
3.2000000000e+01,3.3976502766e+03,3.8799809908e+03,1.7921210000e+05,1.7564105720e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426676231e+19,2.2057326589e+20,0.0,1.5861848091e+21,1.3815187296e+19,9.2207259306e+20,2.9103214573e+02,4.3759262339e+01,9.1544217603e+01,2.9867469654e+01,1.5464577344e+00,3.2452743894e-10,1.2431473840e+02,3.3105789632e-02,6.8778193482e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
6.2000000000e+01,3.3975795375e+03,3.8799809908e+03,1.7543510000e+05,1.7206586481e+05,3.1048810640e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426664508e+19,2.2057321980e+20,0.0,1.5861848053e+21,1.3815187502e+19,9.2207249291e+20,2.9103211776e+02,4.3759262128e+01,9.1544196673e+01,2.9867462826e+01,1.5464577269e+00,3.2452736162e-10,1.2431473840e+02,3.3105788979e-02,6.8762074105e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
9.2000000000e+01,3.3975301533e+03,3.8799809908e+03,1.7185990000e+05,1.6986123960e+05,3.1048811976e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426652800e+19,2.2057317379e+20,0.0,1.5861848014e+21,1.3815187708e+19,9.2207239290e+20,2.9103208982e+02,4.3759261917e+01,9.1544175771e+01,2.9867456006e+01,1.5464577195e+00,3.2452728439e-10,1.2431473840e+02,3.3105788327e-02,6.8751933201e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
1.0920000000e+03,3.3974693106e+03,3.8799809908e+03,1.6965530000e+05,1.6642602616e+05,3.1048856514e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.2426262874e+19,2.2057164116e+20,0.0,1.5861846742e+21,1.3815194553e+19,9.2206906190e+20,2.9103115930e+02,4.3759254895e+01,9.1543479643e+01,2.9867228885e+01,1.5464574713e+00,3.2452471245e-10,1.2431473840e+02,3.3105766612e-02,6.8735364158e+06,NaN,NaN,0.0000000000e+00,0.0,0.0,0.0,0.0
