z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.0271130469e+05,1.0337700447e-04,2.3476793665e+02,2.6261316514e-05,7.0949461092e-05,2.0219950448e-30,4.7993201562e-06,2.1592748653e-14,1.3679598798e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9956468357e+05,1.6457321505e-04,2.4254916329e+02,4.1806962505e-05,1.1295000708e-04,2.0169590765e-30,7.6407272416e-06,8.7213745840e-14,2.1774782628e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9743046747e+05,2.2940273380e-04,2.4113403060e+02,5.8275294098e-05,1.5744166564e-04,2.0178749183e-30,1.0650537660e-05,2.3616752935e-13,3.0353130233e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9555270623e+05,3.1977022665e-04,2.4089804599e+02,8.1231096379e-05,2.1946184571e-04,2.0179334118e-30,1.4846318802e-05,6.3967778241e-13,4.2311133129e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9370287900e+05,4.4573574235e-04,2.4556711880e+02,1.1322901713e-04,3.0591383750e-04,2.0146379962e-30,2.0695648853e-05,1.7338682210e-12,5.8975138644e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9151838280e+05,6.2132223533e-04,2.5094248954e+02,1.5783479552e-04,4.2642623591e-04,2.0109838881e-30,2.8847420113e-05,4.6988037586e-12,8.2192767338e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8928556093e+05,8.6607665356e-04,2.5694712536e+02,2.2000838380e-04,5.9440867543e-04,2.0061567984e-30,4.0212855256e-05,1.2739667340e-11,1.1455644632e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8699800046e+05,1.2072459783e-03,2.6381338565e+02,3.0667261130e-04,8.2856493289e-04,2.0001435878e-30,5.6056549046e-05,3.4549169709e-11,1.5965796554e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8464538530e+05,1.6828104605e-03,2.7223630439e+02,4.2747371655e-04,1.1549639172e-03,1.9919324008e-30,7.8143834965e-05,9.3739039022e-11,2.2250233960e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8220254049e+05,2.3457117247e-03,2.8510630591e+02,5.9584699315e-04,1.6099227070e-03,1.9773366718e-30,1.0893980205e-04,2.5468768216e-10,3.1002948018e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7962740546e+05,3.2697464298e-03,3.0324640721e+02,8.3053206060e-04,2.2441421148e-03,1.9519173666e-30,1.5188705622e-04,6.9365659564e-10,4.3186416491e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7687282224e+05,4.5577815905e-03,3.2721120481e+02,1.1576455450e-03,3.1282736966e-03,1.9078531955e-30,2.1178075008e-04,1.8966534710e-09,6.0118760681e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7390646405e+05,6.3532061193e-03,3.5259019183e+02,1.6135183346e-03,4.3607470687e-03,1.8435516665e-30,2.9535757782e-04,5.2121125509e-09,8.3642668909e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7071542740e+05,8.8558934195e-03,3.7942688047e+02,2.2488055467e-03,6.0789030860e-03,1.7506503965e-30,4.1201675342e-04,1.4428393549e-08,1.1625672598e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6728687690e+05,1.2344452043e-02,4.0778245579e+02,3.1339717050e-03,8.4741477551e-03,1.6183207010e-30,5.7495822246e-04,4.0392529083e-08,1.6133816083e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6360744688e+05,1.7207241440e-02,4.3772013189e+02,4.3671134167e-03,1.1813878435e-02,1.4355067822e-30,8.0277253186e-04,1.1504459538e-07,2.2337113784e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5966326731e+05,2.3985605594e-02,4.6932195086e+02,6.0846920644e-03,1.6471162949e-02,1.1971212066e-30,1.1215424121e-03,3.3599154022e-07,3.0808094561e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5544205362e+05,3.3434137466e-02,5.0263653514e+02,8.4760953361e-03,2.2966719748e-02,9.1455893256e-31,1.5681040135e-03,1.0165228786e-06,4.2257832640e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5093187189e+05,4.6604683117e-02,5.3765115276e+02,1.1805476663e-02,3.2028054523e-02,6.2836672470e-31,2.1927823679e-03,3.2009671197e-06,5.7518821175e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4611903020e+05,6.4963437166e-02,5.7435565659e+02,1.6445111784e-02,4.4672976930e-02,3.9976204836e-31,3.0593736072e-03,1.0293569758e-05,7.7625121844e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.4099004004e+05,9.0554165079e-02,6.1277605571e+02,2.2928226722e-02,6.2314211306e-02,2.8113889925e-31,4.2361957732e-03,3.1083839823e-05,1.0454921507e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3553151517e+05,1.2622572282e-01,6.5294491653e+02,3.2025095217e-02,8.6881664088e-02,3.5146181690e-31,5.7987102252e-03,7.2895607600e-05,1.4488223446e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2972871785e+05,1.7594920220e-01,6.9491595514e+02,4.4823670166e-02,1.2092394062e-01,1.6523401033e-30,7.8980930099e-03,1.0258198295e-04,2.2010535142e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2356559364e+05,2.4526000772e-01,7.3876695392e+02,6.2983101106e-02,1.6784866798e-01,4.7700746852e-29,1.0610143129e-02,6.9735789774e-05,3.7510340842e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1702845828e+05,3.4187407864e-01,7.8458858408e+02,8.9049362683e-02,2.3250204429e-01,5.4862354950e-27,1.3636287699e-02,2.4129377071e-05,6.6656683520e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1010340141e+05,4.7654685626e-01,8.3247939474e+02,1.2631537639e-01,3.2182362325e-01,9.2117740000e-25,1.6858799973e-02,6.2881016091e-06,1.1546484205e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0277425489e+05,6.6427062009e-01,8.8252775109e+02,1.7908425374e-01,4.4555987203e-01,1.1643526557e-22,2.0498388412e-02,1.7089706851e-06,1.9126531742e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9502471340e+05,9.2594348471e-01,9.3479339974e+02,2.5339283181e-01,6.1730138526e-01,9.3506129973e-21,2.4811664862e-02,5.3965226039e-07,3.0431794796e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8683653295e+05,1.2906958564e+00,9.8934820811e+02,3.5776438748e-01,8.5592507342e-01,4.9987735306e-19,3.0033950403e-02,1.9797705261e-07,4.6969420398e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7819387858e+05,1.7991333394e+00,1.0462755134e+03,5.0413860120e-01,1.1876561570e+00,1.9278103364e-17,3.6424224915e-02,8.2461490119e-08,7.0914283908e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6908258500e+05,2.5078571042e+00,1.1056647849e+03,7.0920643774e-01,1.6490316618e+00,5.7045703074e-16,4.4298068562e-02,3.8240118495e-08,1.0532083844e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.5948736957e+05,3.4957649428e+00,1.1676108377e+03,9.9626286108e-01,2.2909875834e+00,1.3476169941e-14,5.4073717478e-02,1.9517130784e-08,1.5447278419e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
