z(m),p_tot(bar),T(K)
3.4181963980e+05,1.2032137475e-04,1.5182430994e+02
3.4156161090e+05,1.7419206037e-04,1.2641639998e+02
3.4133085116e+05,2.5218190831e-04,1.2434751236e+02
3.4110145969e+05,3.6508963007e-04,1.2519990524e+02
3.4086843286e+05,5.2854877211e-04,1.2854714216e+02
3.4062781470e+05,7.6519238424e-04,1.3366643069e+02
3.4037648827e+05,1.1077868605e-03,1.4035531678e+02
3.4011216013e+05,1.6037688739e-03,1.4792525590e+02
3.3983265485e+05,2.3218136020e-03,1.5701711171e+02
3.3953510756e+05,3.3613437011e-03,1.6774203453e+02
3.3921713962e+05,4.8662956697e-03,1.7943331700e+02
3.3887754647e+05,7.0450497332e-03,1.9145967288e+02
3.3851538737e+05,1.0199282804e-02,2.0443502686e+02
3.3812941119e+05,1.4765739584e-02,2.1811351228e+02
3.3771953153e+05,2.1376705563e-02,2.3176978376e+02
3.3728602045e+05,3.0947555193e-02,2.4632986577e+02
3.3682891311e+05,4.4803497415e-02,2.6134094624e+02
3.3635098649e+05,6.4863068119e-02,2.7428685307e+02
3.3585890268e+05,9.3903776457e-02,2.8302560358e+02
3.3535547745e+05,1.3594668721e-01,2.9440689669e+02
3.3483035645e+05,1.9681318963e-01,3.1691517757e+02
3.3185874582e+05,2.8493104473e-01,3.4674493022e+02
3.2572451952e+05,4.1250131864e-01,3.7907711578e+02
3.1903828878e+05,5.9718777938e-01,4.1403478589e+02
3.1175827401e+05,8.6456267587e-01,4.5173871468e+02
3.0383976488e+05,1.2516475493e+00,4.9230139660e+02
2.9523390277e+05,1.8120393481e+00,5.3585128160e+02
2.8588597211e+05,2.6233316248e+00,5.8252210794e+02
2.7574048796e+05,3.7978583748e+00,6.3244367497e+02
2.6478628048e+05,5.4982481431e+00,6.8571635982e+02
2.5299239219e+05,7.9599420674e+00,7.4241160087e+02
2.4028107761e+05,1.1523793773e+01,8.0259447393e+02
2.2661492415e+05,1.6683265005e+01,8.6632497039e+02
2.1194700011e+05,2.4152751836e+01,9.3365873440e+02
1.9622402133e+05,3.4966502125e+01,1.0046486390e+03
1.7933633110e+05,5.0621820618e+01,1.0793503023e+03
1.6122258250e+05,7.3286390316e+01,1.1578292316e+03
1.4190468100e+05,1.0609841645e+02,1.2401645172e+03
1.2134534337e+05,1.5360115193e+02,1.3264538412e+03
9.9499404280e+04,2.2237196995e+02,1.4168174029e+03
7.6310652552e+04,3.2193308708e+02,1.5113957801e+03
5.1715201281e+04,4.6607003831e+02,1.6103513101e+03
2.5635819532e+04,6.7474046419e+02,1.7138710789e+03
5.7120513215e+03,8.7332200108e+02,1.7713761706e+03
0.0000000000e+00,9.4030326657e+02,1.7877454641e+03
