t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
0.0000000000e+00,2.9095517815e+03,3.8799758813e+03,1.0000000000e+03,3.5577592220e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362145955e+20,4.3037854045e+20,0.0000000000e+00,1.5987604895e+20,1.2395097766e+17,1.2720954379e+21,3.9307954786e+02,4.4466483513e-01,2.0230111029e+02,6.6003319825e+01,1.5714510180e-02,7.4053290168e-14,1.2431473840e+02,3.7493720257e-02,6.7326589841e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.9067160327e+03,3.8799758813e+03,3.5557670000e+05,3.4018465437e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362145955e+20,4.3037854044e+20,0.0000000000e+00,1.5987604907e+20,1.2395097784e+17,1.2720954379e+21,3.9307954786e+02,4.4466483578e-01,2.0230111028e+02,6.6003319823e+01,1.5714510203e-02,7.4053290384e-14,1.2431473840e+02,3.7493720257e-02,6.7284843238e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.9136204834e-09,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.9056711658e+03,3.8799758813e+03,3.3998540000e+05,3.2779132784e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362145955e+20,4.3037854045e+20,0.0000000000e+00,1.5987604906e+20,1.2395097782e+17,1.2720954379e+21,3.9307954786e+02,4.4466483572e-01,2.0230111029e+02,6.6003319825e+01,1.5714510201e-02,7.4053290366e-14,1.2431473840e+02,3.7493720257e-02,6.7249200357e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.9051117382e+03,3.8799758813e+03,3.2759210000e+05,3.2170805210e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362145955e+20,4.3037854045e+20,0.0000000000e+00,1.5987604916e+20,1.2395097799e+17,1.2720954379e+21,3.9307954786e+02,4.4466483632e-01,2.0230111029e+02,6.6003319825e+01,1.5714510222e-02,7.4053290566e-14,1.2431473840e+02,3.7493720257e-02,6.7231336067e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,2.9046443989e+03,3.8799758813e+03,3.2150880000e+05,3.1589844576e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362145955e+20,4.3037854045e+20,0.0000000000e+00,1.5987604902e+20,1.2395097777e+17,1.2720954379e+21,3.9307954786e+02,4.4466483553e-01,2.0230111029e+02,6.6003319825e+01,1.5714510194e-02,7.4053290304e-14,1.2431473840e+02,3.7493720257e-02,6.7213758808e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,2.9041873400e+03,3.8799758813e+03,3.1569920000e+05,3.1022594859e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362145955e+20,4.3037854045e+20,0.0000000000e+00,1.5987604902e+20,1.2395097777e+17,1.2720954379e+21,3.9307954786e+02,4.4466483553e-01,2.0230111029e+02,6.6003319825e+01,1.5714510194e-02,7.4053290304e-14,1.2431473840e+02,3.7493720257e-02,6.7196216317e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,2.9037563018e+03,3.8799758813e+03,3.1002670000e+05,3.0480985212e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362144748e+20,4.3037849556e+20,0.0000000000e+00,1.5987604901e+20,1.2395097838e+17,1.2720953344e+21,3.9307951850e+02,4.4466483544e-01,2.0230108815e+02,6.6003312601e+01,1.5714510191e-02,7.4053282167e-14,1.2431473840e+02,3.7493720064e-02,6.7178929959e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,2.9036293832e+03,3.8799758813e+03,3.0461060000e+05,3.0401944818e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362143543e+20,4.3037845072e+20,0.0000000000e+00,1.5987604899e+20,1.2395097899e+17,1.2720952310e+21,3.9307948917e+02,4.4466483535e-01,2.0230106603e+02,6.6003305386e+01,1.5714510188e-02,7.4053274041e-14,1.2431473840e+02,3.7493719872e-02,6.7176405410e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,2.9032692984e+03,3.8799758813e+03,3.0382020000e+05,2.9864928181e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362142338e+20,4.3037840590e+20,0.0000000000e+00,1.5987604897e+20,1.2395097960e+17,1.2720951276e+21,3.9307945985e+02,4.4466483525e-01,2.0230104393e+02,6.6003298173e+01,1.5714510184e-02,7.4053265917e-14,1.2431473840e+02,3.7493719679e-02,6.7158701149e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,2.9028543174e+03,3.8799758813e+03,2.9845010000e+05,2.9336108466e+05,3.1048813757e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362130306e+20,4.3037795830e+20,0.0000000000e+00,1.5987604880e+20,1.2395098569e+17,1.2720940955e+21,3.9307916705e+02,4.4466483431e-01,2.0230082316e+02,6.6003226145e+01,1.5714510151e-02,7.4053184789e-14,1.2431473840e+02,3.7493717757e-02,6.7140901508e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9200000000e+02,2.9024616706e+03,3.8799758813e+03,2.9316190000e+05,2.8834333046e+05,3.1048820884e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362111083e+20,4.3037724316e+20,0.0000000000e+00,1.5987604853e+20,1.2395099542e+17,1.2720924465e+21,3.9307869925e+02,4.4466483280e-01,2.0230047044e+02,6.6003111065e+01,1.5714510098e-02,7.4053055172e-14,1.2431473840e+02,3.7493714687e-02,6.7123406813e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,2.9020924922e+03,3.8799758813e+03,2.8814410000e+05,2.8358225235e+05,3.1048832285e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362080369e+20,4.3037610054e+20,0.0000000000e+00,1.5987604810e+20,1.2395101097e+17,1.2720898118e+21,3.9307795182e+02,4.4466483039e-01,2.0229990687e+02,6.6002927196e+01,1.5714510012e-02,7.4052848075e-14,1.2431473840e+02,3.7493709781e-02,6.7106187293e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,2.9018522631e+03,3.8799758813e+03,2.8338300000e+05,2.8086184824e+05,3.1048850546e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1362031246e+20,4.3037427310e+20,0.0000000000e+00,1.5987604740e+20,1.2395103584e+17,1.2720855980e+21,3.9307675640e+02,4.4466482654e-01,2.0229900554e+02,6.6002633124e+01,1.5714509876e-02,7.4052516854e-14,1.2431473840e+02,3.7493701934e-02,6.7096066014e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,2.9015275384e+03,3.8799758813e+03,2.8066260000e+05,2.7617396220e+05,3.1048879763e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1361952713e+20,4.3037135154e+20,0.0000000000e+00,1.5987604630e+20,1.2395107559e+17,1.2720788613e+21,3.9307484528e+02,4.4466482038e-01,2.0229756456e+02,6.6002162987e+01,1.5714509659e-02,7.4051987326e-14,1.2431473840e+02,3.7493689389e-02,6.7078400064e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,2.9011758977e+03,3.8799758813e+03,2.7597480000e+05,2.7151745163e+05,3.1048926484e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,1.1361827308e+20,4.3036668625e+20,0.0000000000e+00,1.5987604453e+20,1.2395113908e+17,1.2720681038e+21,3.9307179352e+02,4.4466481054e-01,2.0229526355e+02,6.6001412251e+01,1.5714509311e-02,7.4051141751e-14,1.2431473840e+02,3.7493669356e-02,6.7060495699e+06,3.4720004664e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
