z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.4847930717e+05,1.0348704401e-04,3.5035969106e+02,6.3674526523e-08,8.8568859686e-05,2.4535490074e-32,1.0120576457e-07,9.3590997240e-16,1.4754554203e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4422013243e+05,1.6722058165e-04,3.8924900915e+02,1.0252025125e-07,1.4311544266e-04,2.2464177132e-32,1.6390338484e-07,4.1284641170e-15,2.3840838061e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4112953817e+05,2.3558603861e-04,4.0438725107e+02,1.4414760638e-07,2.0162602111e-04,2.1399423815e-32,2.3119891332e-07,1.1830879680e-14,3.3587572673e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3797381005e+05,3.3190161784e-04,4.0558885656e+02,2.0304536835e-07,2.8405803908e-04,2.1308336162e-32,3.2575588702e-07,3.3153455143e-14,4.7319088220e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3481762794e+05,4.6759427926e-04,4.0563657382e+02,2.8605408531e-07,4.0019005105e-04,2.1304531952e-32,4.5893851257e-07,9.2715056368e-14,6.6665000596e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3165168184e+05,6.5876271232e-04,4.0900318402e+02,4.0279822988e-07,5.6380086405e-04,2.1043302083e-32,6.4677181280e-07,2.6087764147e-13,9.3920030584e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2845316172e+05,9.2808729790e-04,4.1462448496e+02,5.6697211683e-07,7.9430359811e-04,2.0589502390e-32,9.1169818525e-07,7.3755089365e-13,1.3231663776e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2520800667e+05,1.3075209274e-03,4.2215692175e+02,7.9773048414e-07,1.1190418211e-03,1.9946576784e-32,1.2854674159e-06,2.0956877322e-12,1.8641165516e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2190549221e+05,1.8420799200e-03,4.3071270823e+02,1.1220430456e-06,1.5765489315e-03,1.9168757984e-32,1.8128334418e-06,5.9788548103e-12,2.6261988161e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1853898780e+05,2.5951847964e-03,4.3927956254e+02,1.5778994253e-06,2.2210966464e-03,1.8339900160e-32,2.5568353104e-06,1.7095495954e-11,3.6998583488e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1509813141e+05,3.6561845414e-03,4.5075517050e+02,2.2168960719e-06,3.1291607715e-03,1.7156832526e-32,3.6082065391e-06,4.9438278168e-11,5.2124332351e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1155258110e+05,5.1509570414e-03,4.6810897820e+02,3.1079305698e-06,4.4084837563e-03,1.5233807164e-32,5.0985181181e-06,1.4677748812e-10,7.3432977820e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0785802274e+05,7.2568433409e-03,4.9115347246e+02,4.3430620010e-06,6.2108640450e-03,1.2523719854e-32,7.2179754937e-06,4.5296953372e-10,1.0345099939e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0395179221e+05,1.0223687530e-02,5.2457739590e+02,6.0247397743e-06,8.7501754553e-03,8.6619023111e-33,1.0261075199e-05,1.5245432270e-09,1.4573561155e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9978390113e+05,1.4403478456e-02,5.6024181885e+02,8.3129801652e-06,1.2327715545e-02,5.3210172554e-33,1.4624440019e-05,5.4422767462e-09,2.0529982250e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9534208990e+05,2.0292109967e-02,5.9787047612e+02,1.1457354227e-05,1.7367975573e-02,3.2361933410e-33,2.0834026356e-05,1.9497738540e-08,2.8920662338e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9061149257e+05,2.8588214172e-02,6.3745747962e+02,1.6035979022e-05,2.4468783804e-02,2.8650358531e-33,2.9396664491e-05,5.7793549874e-08,4.0742828230e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
