z(m),p_tot(bar),T(K)
2.1422244071e+05,1.1893481626e-04,2.3114860908e+02
2.1248818267e+05,1.6823913157e-04,2.5168510720e+02
2.1065492650e+05,2.3798250404e-04,2.5782017955e+02
2.0879255200e+05,3.3663792544e-04,2.6016727123e+02
2.0692108034e+05,4.7619085824e-04,2.6091394501e+02
2.0504719553e+05,6.7359532701e-04,2.6146233812e+02
2.0316712808e+05,9.5283363114e-04,2.6335136757e+02
2.0127054985e+05,1.3478299095e-03,2.6676004966e+02
1.9934595643e+05,1.9065715205e-03,2.7181660949e+02
1.9737816334e+05,2.6969389366e-03,2.7954349236e+02
1.9534875348e+05,3.8149524155e-03,2.8974952071e+02
1.9324181427e+05,5.3964373222e-03,3.0188575406e+02
1.9104271591e+05,7.6335252973e-03,3.1644656738e+02
1.8873629548e+05,1.0797995971e-02,3.3312459205e+02
1.8631199633e+05,1.5274294963e-02,3.5032130245e+02
1.8376953577e+05,2.1606239457e-02,3.6643344362e+02
1.8109989507e+05,3.0563085538e-02,3.8714614955e+02
1.7826298017e+05,4.3232983669e-02,4.1536790964e+02
1.7522302125e+05,6.1155176057e-02,4.4498465455e+02
1.7197113743e+05,8.6506996305e-02,4.7601697885e+02
1.6850026317e+05,1.2236838960e-01,5.0847289163e+02
1.6479896564e+05,1.7309608948e-01,5.4240480237e+02
1.6085545985e+05,2.4485290925e-01,5.7788556942e+02
1.5665933745e+05,3.4635645062e-01,6.1500211164e+02
1.5219389726e+05,4.8993818882e-01,6.5382609604e+02
1.4744005222e+05,6.9304160045e-01,6.9438218335e+02
1.4239386089e+05,9.8034133880e-01,7.3667771764e+02
1.3705326054e+05,1.3867409113e+00,7.8076878335e+02
1.3140295768e+05,1.9616130412e+00,8.2675090115e+02
1.2543155428e+05,2.7747978674e+00,8.7471689605e+02
1.1913070417e+05,3.9250876924e+00,9.2474899497e+02
1.1248454620e+05,5.5522290736e+00,9.7693207411e+02
1.0547637127e+05,7.8539003716e+00,1.0313601570e+03
9.8096113773e+04,1.1109727324e+01,1.0881346803e+03
9.0329573627e+04,1.5715254252e+01,1.1473641394e+03
8.2152486230e+04,2.2229998001e+01,1.2091634471e+03
7.3550956164e+04,3.1445422595e+01,1.2736509262e+03
6.4510908081e+04,4.4481092716e+01,1.3409611992e+03
5.4999920782e+04,6.2920687526e+01,1.4112388680e+03
4.4989626705e+04,8.9004398881e+01,1.4846283902e+03
3.4451544275e+04,1.2590108805e+02,1.5612742443e+03
2.3336956619e+04,1.7809326472e+02,1.6413347750e+03
1.1580422654e+04,2.5192165874e+02,1.7249980551e+03
2.5996155719e+03,3.2083635268e+02,1.7857659876e+03
0.0000000000e+00,3.4385034567e+02,1.8201597795e+03
