t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
0.0000000000e+00,2.8969028514e+03,3.8799788810e+03,1.0000000000e+03,3.4284537881e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409495206e+19,1.0859050479e+20,0.0000000000e+00,1.5986594981e+20,1.3405019456e+17,5.4207272891e+20,1.8735516785e+02,4.4454726449e-01,4.7185349260e+01,1.5394822568e+01,1.5710355219e-02,1.7263290503e-14,1.2431473840e+02,3.4660500179e-02,6.7551478208e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.8901263171e+03,3.8799788810e+03,3.4264650000e+05,2.7150022341e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409495206e+19,1.0859050479e+20,0.0000000000e+00,1.5986594981e+20,1.3405019456e+17,5.4207272891e+20,1.8735516785e+02,4.4454726449e-01,4.7185349260e+01,1.5394822568e+01,1.5710355219e-02,1.7263290503e-14,1.2431473840e+02,3.4660500179e-02,6.7305135779e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.8888114585e+03,3.8799788810e+03,2.7130130000e+05,2.6143038562e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409495206e+19,1.0859050479e+20,0.0000000000e+00,1.5986594981e+20,1.3405019456e+17,5.4207272891e+20,1.8735516785e+02,4.4454726449e-01,4.7185349260e+01,1.5394822568e+01,1.5710355219e-02,1.7263290503e-14,1.2431473840e+02,3.4660500179e-02,6.7263194076e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.8884821720e+03,3.8799788810e+03,2.6123150000e+05,2.5697073183e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409495222e+19,1.0859050485e+20,0.0000000000e+00,1.5986594973e+20,1.3405019443e+17,5.4207272904e+20,1.8735516789e+02,4.4454726408e-01,4.7185349287e+01,1.5394822577e+01,1.5710355205e-02,1.7263290481e-14,1.2431473840e+02,3.4660500180e-02,6.7243458069e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,2.8882908784e+03,3.8799788810e+03,2.5677180000e+05,2.5267973433e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409495206e+19,1.0859050479e+20,0.0000000000e+00,1.5986594981e+20,1.3405019456e+17,5.4207272891e+20,1.8735516785e+02,4.4454726449e-01,4.7185349260e+01,1.5394822568e+01,1.5710355219e-02,1.7263290503e-14,1.2431473840e+02,3.4660500179e-02,6.7223979856e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,2.8881090126e+03,3.8799788810e+03,2.5248080000e+05,2.4833610575e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409495206e+19,1.0859050479e+20,0.0000000000e+00,1.5986594981e+20,1.3405019456e+17,5.4207272891e+20,1.8735516785e+02,4.4454726449e-01,4.7185349260e+01,1.5394822568e+01,1.5710355219e-02,1.7263290503e-14,1.2431473840e+02,3.4660500179e-02,6.7204065536e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,2.8879663595e+03,3.8799788810e+03,2.4813720000e+05,2.4747040669e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409483451e+19,1.0859045978e+20,0.0000000000e+00,1.5986594973e+20,1.3405019750e+17,5.4207263031e+20,1.8735514048e+02,4.4454726408e-01,4.7185328621e+01,1.5394815835e+01,1.5710355205e-02,1.7263282920e-14,1.2431473840e+02,3.4660499388e-02,6.7200136032e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,2.8878919104e+03,3.8799788810e+03,2.4727150000e+05,2.4331989277e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409471700e+19,1.0859041477e+20,0.0000000000e+00,1.5986594966e+20,1.3405020043e+17,5.4207253174e+20,1.8735511312e+02,4.4454726368e-01,4.7185307990e+01,1.5394809103e+01,1.5710355190e-02,1.7263275341e-14,1.2431473840e+02,3.4660498598e-02,6.7180303800e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,2.8877199487e+03,3.8799788810e+03,2.4312100000e+05,2.3938827708e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409459970e+19,1.0859036985e+20,0.0000000000e+00,1.5986594959e+20,1.3405020336e+17,5.4207243335e+20,1.8735508580e+02,4.4454726327e-01,4.7185287395e+01,1.5394802384e+01,1.5710355176e-02,1.7263267774e-14,1.2431473840e+02,3.4660497808e-02,6.7160830790e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,2.8875626836e+03,3.8799788810e+03,2.3918940000e+05,2.3568657862e+05,3.1048813757e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,2.7409342873e+19,1.0858992140e+20,0.0000000000e+00,1.5986594886e+20,1.3405023261e+17,5.4207145113e+20,1.8735481313e+02,4.4454725923e-01,4.7185081806e+01,1.5394735308e+01,1.5710355033e-02,1.7263192243e-14,1.2431473840e+02,3.4660489930e-02,6.7141835399e+06,3.4720767489e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
