z(m),p_tot(bar),T(K)
3.1487902249e+05,1.1683984517e-04,4.6753845748e+02
3.1163290490e+05,1.5950449205e-04,5.0093421996e+02
3.0816803313e+05,2.1774834559e-04,5.3205731709e+02
3.0456430436e+05,2.9726023009e-04,5.4031898748e+02
3.0091335617e+05,4.0580627215e-04,5.4692405887e+02
2.9722205609e+05,5.5398843790e-04,5.5334482561e+02
2.9348956031e+05,7.5628005379e-04,5.6025294871e+02
2.8971452836e+05,1.0324394529e-03,5.6702439897e+02
2.8589947084e+05,1.4094398215e-03,5.7319674662e+02
2.8204426034e+05,1.9241037377e-03,5.8013246320e+02
2.7814355475e+05,2.6266997263e-03,5.8797379996e+02
2.7419234603e+05,3.5858521124e-03,5.9665216501e+02
2.7018626762e+05,4.8952437324e-03,6.0599906622e+02
2.6611636976e+05,6.6827661733e-03,6.1753384497e+02
2.6195576523e+05,9.1230112675e-03,6.3533834819e+02
2.5763830374e+05,1.2454323917e-02,6.6756976591e+02
2.5309673101e+05,1.7002081845e-02,7.0523107475e+02
2.4830729709e+05,2.3210476054e-02,7.4467953927e+02
2.4325956196e+05,3.1685896090e-02,7.8582306553e+02
2.3794329121e+05,4.3256157637e-02,8.2873409583e+02
2.3234790336e+05,5.9051357369e-02,8.7348431014e+02
2.2646264983e+05,8.0614252342e-02,9.2009552043e+02
2.2027660503e+05,1.1005094498e-01,9.6864519561e+02
2.1377836494e+05,1.5023659140e-01,1.0192425436e+03
2.0695621244e+05,2.0509622522e-01,1.0719213152e+03
1.9979839157e+05,2.7998812543e-01,1.1267337309e+03
1.9229299666e+05,3.8222717312e-01,1.1837248245e+03
1.8442807979e+05,5.2179931434e-01,1.2429018384e+03
1.7619178957e+05,7.1233691268e-01,1.3042984274e+03
1.6757225215e+05,9.7245025668e-01,1.3679685874e+03
1.5855719264e+05,1.3275452737e+00,1.4340614147e+03
1.4913399529e+05,1.8123049911e+00,1.5025746065e+03
1.3928967032e+05,2.4740771149e+00,1.5737087617e+03
1.2901043761e+05,3.3774986002e+00,1.6475805671e+03
1.1828194856e+05,4.6108089055e+00,1.7243245515e+03
1.0708927625e+05,6.2944685638e+00,1.8040793855e+03
9.5418956265e+04,8.5929248669e+00,1.8869814250e+03
8.3257013552e+04,1.1730673848e+01,1.9731822875e+03
7.0585991819e+04,1.6014187376e+01,2.0628401502e+03
5.7386816504e+04,2.1861847038e+01,2.1561218953e+03
4.3637552773e+04,2.9844808524e+01,2.2533273442e+03
2.9319023312e+04,4.0742787848e+01,2.3522071427e+03
1.4412253110e+04,5.5620218180e+01,2.4536625183e+03
3.2210820085e+03,6.9101581920e+01,2.5304368775e+03
0.0000000000e+00,7.3535264744e+01,2.6030646498e+03
