z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.0318444837e+05,1.0322250352e-04,2.1952884577e+02,8.2435511070e-06,9.0973860682e-05,1.3458622679e-30,1.8502218359e-06,6.1975719142e-15,2.1548571564e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0092176108e+05,1.6092214802e-04,2.4136105758e+02,1.2850983202e-05,1.4182800652e-04,1.3371871247e-30,2.8850859644e-06,2.3556955424e-14,3.3587582124e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9922548855e+05,2.2098342565e-04,2.3955292345e+02,1.7647291829e-05,1.9476204764e-04,1.3379004103e-30,3.9619386546e-06,6.0993418545e-14,4.6126152905e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9760597847e+05,3.0346148750e-04,2.3723679480e+02,2.4234391142e-05,2.6745335677e-04,1.3391963756e-30,5.4400897900e-06,1.5783289864e-13,6.3337210822e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9606116749e+05,4.1672299235e-04,2.3955577451e+02,3.3278729449e-05,3.6727487073e-04,1.3379504907e-30,7.4711638130e-06,4.0899187862e-13,8.6981313110e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9449775458e+05,5.7225730285e-04,2.4332026107e+02,4.5699311502e-05,5.0435633601e-04,1.3362794040e-30,1.0259902523e-05,1.0597101998e-12,1.1943854590e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9291182194e+05,7.8584197819e-04,2.4671499382e+02,6.2754248404e-05,6.9259410072e-04,1.3344618564e-30,1.4090402385e-05,2.7464171753e-12,1.6401906487e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9130288362e+05,1.0791432658e-03,2.5071614996e+02,8.6176058118e-05,9.5109586971e-04,1.3325443462e-30,1.9349631174e-05,7.1162146413e-12,2.2521568511e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8966296772e+05,1.4819139477e-03,2.5607404930e+02,1.1833662958e-04,1.3060740429e-03,1.3294746285e-30,2.6574387635e-05,1.8450916193e-11,3.0926604073e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8791600339e+05,2.0350114928e-03,2.6309339072e+02,1.6250096777e-04,1.7935456896e-03,1.3253701225e-30,3.6495346830e-05,4.7847080839e-11,4.2463629432e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8603811744e+05,2.7945426806e-03,2.7235331129e+02,2.2313521397e-04,2.4629398427e-03,1.3186739808e-30,5.0131282015e-05,1.2426673725e-10,5.8314070033e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8408189550e+05,3.8375551301e-03,2.8607746468e+02,3.0640725552e-04,3.3822409053e-03,1.3082161423e-30,6.8853028854e-05,3.2293843716e-10,8.0048828892e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8200980889e+05,5.2698530885e-03,3.0659590312e+02,4.2072147605e-04,4.6446611629e-03,1.2878305439e-30,9.4597793490e-05,8.4263966810e-10,1.0987121980e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7979037307e+05,7.2367303224e-03,3.2906125434e+02,5.7764606726e-04,6.3783013040e-03,1.2580115848e-30,1.3000486737e-04,2.2071742249e-09,1.5077496181e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7741168325e+05,9.9377088660e-03,3.5263930436e+02,7.9304328948e-04,8.7591312755e-03,1.2162009639e-30,1.7872295500e-04,5.8104331951e-09,2.0684014454e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7486621287e+05,1.3646778739e-02,3.7736081877e+02,1.0886218037e-03,1.2028672885e-02,1.1577233534e-30,2.4582013745e-04,1.5411490936e-08,2.8362102317e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.7214619977e+05,1.8740191775e-02,4.0327519540e+02,1.4941253860e-03,1.6519111344e-02,1.0771819519e-30,3.3834220558e-04,4.1327171520e-08,3.8861733682e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6924355977e+05,2.5734628991e-02,4.3044241405e+02,2.0501379627e-03,2.2686404402e-02,9.6888305838e-31,4.6616614858e-04,1.1263588425e-07,5.3190384816e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6614988889e+05,3.5339613236e-02,4.5891183796e+02,2.8119980459e-03,3.1157335286e-02,8.2971960862e-31,6.4317398558e-04,3.1419433477e-07,7.2678724855e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6285659269e+05,4.8529483915e-02,4.8870630178e+02,3.8549455214e-03,4.2794079548e-02,6.6362620456e-31,8.8894657105e-04,9.0466893306e-07,9.9053545931e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
