t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_SO2(bar),p_NH3(bar),p_N2(bar),p_H2S(bar),p_S2(bar)
0.0000000000e+00,2.8993366069e+03,3.8799779047e+03,1.0000000000e+03,3.3642307953e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144530798e+19,2.1685546920e+20,0.0000000000e+00,1.5987126490e+20,1.2873510319e+17,7.8355585883e+20,2.5492213929e+02,4.4459714283e-01,9.8130698492e+01,3.2016393128e+01,1.5712117926e-02,3.5910276200e-14,1.2431473840e+02,3.6095333924e-02,6.7375604265e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.8957984157e+03,3.8799779047e+03,3.3622410000e+05,3.1058913832e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144530798e+19,2.1685546920e+20,0.0000000000e+00,1.5987126490e+20,1.2873510318e+17,7.8355585883e+20,2.5492213929e+02,4.4459714281e-01,9.8130698492e+01,3.2016393128e+01,1.5712117925e-02,3.5910276195e-14,1.2431473840e+02,3.6095333924e-02,6.7297856075e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.8941184911e+03,3.8799779047e+03,3.1039020000e+05,2.8717125348e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144530798e+19,2.1685546920e+20,0.0000000000e+00,1.5987126490e+20,1.2873510319e+17,7.8355585883e+20,2.5492213929e+02,4.4459714281e-01,9.8130698492e+01,3.2016393128e+01,1.5712117925e-02,3.5910276196e-14,1.2431473840e+02,3.6095333924e-02,6.7218691377e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,2.8935038072e+03,3.8799779047e+03,2.8697230000e+05,2.8223842019e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144530799e+19,2.1685546920e+20,0.0000000000e+00,1.5987126494e+20,1.2873510325e+17,7.8355585883e+20,2.5492213929e+02,4.4459714304e-01,9.8130698493e+01,3.2016393128e+01,1.5712117933e-02,3.5910276233e-14,1.2431473840e+02,3.6095333924e-02,6.7200643117e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,2.8931927284e+03,3.8799779047e+03,2.8203940000e+05,2.7745928346e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144530798e+19,2.1685546920e+20,0.0000000000e+00,1.5987126490e+20,1.2873510319e+17,7.8355585883e+20,2.5492213929e+02,4.4459714281e-01,9.8130698492e+01,3.2016393128e+01,1.5712117925e-02,3.5910276196e-14,1.2431473840e+02,3.6095333924e-02,6.7182432607e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,2.8928977237e+03,3.8799779047e+03,2.7726030000e+05,2.7291970043e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144530798e+19,2.1685546920e+20,0.0000000000e+00,1.5987126490e+20,1.2873510319e+17,7.8355585883e+20,2.5492213929e+02,4.4459714281e-01,9.8130698492e+01,3.2016393128e+01,1.5712117925e-02,3.5910276196e-14,1.2431473840e+02,3.6095333924e-02,6.7164509143e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,2.8927627525e+03,3.8799779047e+03,2.7272070000e+05,2.7197442995e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144518799e+19,2.1685542446e+20,0.0000000000e+00,1.5987126486e+20,1.2873510471e+17,7.8355575771e+20,2.5492211083e+02,4.4459714261e-01,9.8130677040e+01,3.2016386129e+01,1.5712117918e-02,3.5910268314e-14,1.2431473840e+02,3.6095333480e-02,6.7160776697e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,2.8925492339e+03,3.8799779047e+03,2.7177550000e+05,2.6747385784e+05,3.1048808413e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144506805e+19,2.1685537974e+20,0.0000000000e+00,1.5987126483e+20,1.2873510624e+17,7.8355565662e+20,2.5492208239e+02,4.4459714242e-01,9.8130655594e+01,3.2016379132e+01,1.5712117911e-02,3.5910260434e-14,1.2431473840e+02,3.6095333036e-02,6.7142357344e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,2.8922704251e+03,3.8799779047e+03,2.6727490000e+05,2.6308843603e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144494828e+19,2.1685533508e+20,0.0000000000e+00,1.5987126479e+20,1.2873510776e+17,7.8355555568e+20,2.5492205399e+02,4.4459714222e-01,9.8130634181e+01,3.2016372146e+01,1.5712117904e-02,3.5910252567e-14,1.2431473840e+02,3.6095332593e-02,6.7124244748e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,2.8919999818e+03,3.8799779047e+03,2.6288950000e+05,2.5867716902e+05,3.1048813757e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144375239e+19,2.1685488918e+20,0.0000000000e+00,1.5987126444e+20,1.2873512298e+17,7.8355454782e+20,2.5492177042e+02,4.4459714027e-01,9.8130420370e+01,3.2016302387e+01,1.5712117835e-02,3.5910174009e-14,1.2431473840e+02,3.6095328167e-02,6.7105692048e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9200000000e+02,2.8917788304e+03,3.8799779047e+03,2.5847820000e+05,2.5552671777e+05,3.1048820884e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6144184196e+19,2.1685417684e+20,0.0000000000e+00,1.5987126388e+20,1.2873514729e+17,7.8355293778e+20,2.5492131741e+02,4.4459713715e-01,9.8130078807e+01,3.2016190948e+01,1.5712117725e-02,3.5910048512e-14,1.2431473840e+02,3.6095321097e-02,6.7092218096e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,2.8915372770e+03,3.8799779047e+03,2.5532770000e+05,2.5104816950e+05,3.1048832285e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6143878881e+19,2.1685303843e+20,0.0000000000e+00,1.5987126298e+20,1.2873518615e+17,7.8355036467e+20,2.5492059344e+02,4.4459713217e-01,9.8129532937e+01,3.2016012851e+01,1.5712117549e-02,3.5909847950e-14,1.2431473840e+02,3.6095309798e-02,6.7072885421e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,2.8912750736e+03,3.8799779047e+03,2.5084920000e+05,2.4681469791e+05,3.1048850546e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6143390717e+19,2.1685121823e+20,0.0000000000e+00,1.5987126155e+20,1.2873524827e+17,7.8354625058e+20,2.5491943590e+02,4.4459712420e-01,9.8128660156e+01,3.2015728095e+01,1.5712117267e-02,3.5909527274e-14,1.2431473840e+02,3.6095291733e-02,6.7053815465e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,2.8910329142e+03,3.8799779047e+03,2.4661570000e+05,2.4287356333e+05,3.1048879763e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6142610936e+19,2.1684831069e+20,0.0000000000e+00,1.5987125926e+20,1.2873534751e+17,7.8353967883e+20,2.5491758686e+02,4.4459711147e-01,9.8127265996e+01,3.2015273232e+01,1.5712116818e-02,3.5909015035e-14,1.2431473840e+02,3.6095262875e-02,6.7035278019e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6630000000e+03,2.8908088242e+03,3.8799779047e+03,2.4267460000e+05,2.3907259586e+05,3.1048926484e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6141365977e+19,2.1684366866e+20,0.0000000000e+00,1.5987125561e+20,1.2873550595e+17,7.8352918670e+20,2.5491463478e+02,4.4459709115e-01,9.8125040151e+01,3.2014547022e+01,1.5712116100e-02,3.5908197220e-14,1.2431473840e+02,3.6095216800e-02,6.7016725778e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3420000000e+03,2.8905795021e+03,3.8799779047e+03,2.3887360000e+05,2.3516517903e+05,3.1049001264e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.6139376510e+19,2.1683625061e+20,0.0000000000e+00,1.5987124977e+20,1.2873575916e+17,7.8351242011e+20,2.5490991732e+02,4.4459705868e-01,9.8121483215e+01,3.2013386526e+01,1.5712114952e-02,3.5906890338e-14,1.2431473840e+02,3.6095143171e-02,6.6997592559e+06,3.4720511581e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
