z(m),p_tot(bar),T(K)
3.2795139810e+05,1.1775484632e-04,4.5550097377e+02
3.2455236094e+05,1.6328127014e-04,4.8915682362e+02
3.2092618403e+05,2.2640913739e-04,5.1875551198e+02
3.1716860022e+05,3.1394352487e-04,5.2427485697e+02
3.1337156356e+05,4.3532049079e-04,5.3068739290e+02
3.0953053501e+05,6.0362426579e-04,5.3726491936e+02
3.0564345724e+05,8.3699771080e-04,5.4475726505e+02
3.0170967292e+05,1.1605980866e-03,5.5198982504e+02
2.9773075801e+05,1.6093089636e-03,5.5896001013e+02
2.9370527472e+05,2.2315006120e-03,5.6655272521e+02
2.8962711734e+05,3.0942442339e-03,5.7510632347e+02
2.8548763496e+05,4.2905421256e-03,5.8498521017e+02
2.8127806371e+05,5.9493531667e-03,5.9581974337e+02
2.7698867219e+05,8.2494943684e-03,6.0837434877e+02
2.7260540960e+05,1.1438917043e-02,6.2310181707e+02
2.6811491352e+05,1.5861435535e-02,6.3995186037e+02
2.6349842288e+05,2.1993789821e-02,6.6097039197e+02
2.5871862781e+05,3.0497037271e-02,6.8880047558e+02
2.5370822866e+05,4.2287813510e-02,7.2943237669e+02
2.4841221551e+05,5.8637144178e-02,7.7211561347e+02
2.4281686762e+05,8.1307459335e-02,8.1684639666e+02
2.3690838052e+05,1.1274258043e-01,8.6367415833e+02
2.3067269631e+05,1.5633116009e-01,9.1264115159e+02
2.2409547113e+05,2.1677197312e-01,9.6381653470e+02
2.1716433956e+05,3.0058043645e-01,1.0172792857e+03
2.0986875477e+05,4.1679096000e-01,1.0730775696e+03
2.0219571651e+05,5.7793084071e-01,1.1312650018e+03
1.9413029342e+05,8.0137068386e-01,1.1918936702e+03
1.8565738205e+05,1.1111969248e+00,1.2550054773e+03
1.7676161680e+05,1.5408083058e+00,1.3206725588e+03
1.6742717689e+05,2.1365162036e+00,1.3890003918e+03
1.5763755976e+05,2.9625369171e+00,1.4601205860e+03
1.4737540393e+05,4.1079140755e+00,1.5341745851e+03
1.3662505640e+05,5.6961173899e+00,1.6113137756e+03
1.2537392199e+05,7.8983524784e+00,1.6917049122e+03
1.1360616963e+05,1.0952016541e+01,1.7755143504e+03
1.0130077038e+05,1.5186289374e+01,1.8629006462e+03
8.8435058050e+04,2.1057618392e+01,1.9540509117e+03
7.4984305000e+04,2.9198922887e+01,2.0491745148e+03
6.0936681078e+04,4.0487821645e+01,2.1434120552e+03
4.6308377959e+04,5.6141238767e+01,2.2326227017e+03
3.1109199313e+04,7.7846586018e+01,2.3225593890e+03
1.5309173130e+04,1.0794366294e+02,2.4184343558e+03
3.4213825139e+03,1.3557410570e+02,2.4986988507e+03
0.0000000000e+00,1.4472234804e+02,2.5654931430e+03
