z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.0682524875e+05,1.0337418131e-04,2.1372073885e+02,2.0368857913e-06,9.6664898492e-05,4.6584489955e-31,7.7756370805e-07,3.3628721171e-15,3.8946952205e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0449334094e+05,1.6450581210e-04,2.3990450661e+02,3.2410775310e-06,1.5382996177e-04,4.6233279116e-31,1.2377418048e-06,1.3605159063e-14,6.1971381667e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0279388171e+05,2.2924616407e-04,2.3955534260e+02,4.5165769703e-06,2.1436858293e-04,4.6237911831e-31,1.7248519458e-06,3.6817443220e-14,8.6360822024e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0111206456e+05,3.1946472328e-04,2.3951943206e+02,6.2940852653e-06,2.9873266707e-04,4.6239992500e-31,2.4036317235e-06,9.9630215508e-14,1.2034599629e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9944522664e+05,4.4518829720e-04,2.4080536711e+02,8.7709170887e-06,4.1629608747e-04,4.6215593745e-31,3.3497196359e-06,2.6971937901e-13,1.6771277684e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9776932321e+05,6.2038968788e-04,2.4241144768e+02,1.2222515138e-05,5.8012686762e-04,4.6187703371e-31,4.6681250219e-06,7.3016528714e-13,2.3371574221e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9608062939e+05,8.6454061629e-04,2.4481996817e+02,1.7032488525e-05,8.0843447099e-04,4.6148065029e-31,6.5053932155e-06,1.9767890526e-12,3.2568431627e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9437274525e+05,1.2047757914e-03,2.4829521531e+02,2.3735093156e-05,1.1265895972e-03,4.6087000561e-31,9.0659752306e-06,5.3531790265e-12,4.5384350297e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9263813821e+05,1.6789086369e-03,2.5288415330e+02,3.3074826447e-05,1.5699539637e-03,4.5999493646e-31,1.2634915067e-05,1.4501694040e-11,6.3244537541e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.9086680999e+05,2.3396338398e-03,2.5931378254e+02,4.6089245870e-05,2.1878057574e-03,4.5868131165e-31,1.7609320615e-05,3.9303118426e-11,8.8130924739e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8902673388e+05,3.2603837899e-03,2.6829521236e+02,6.4222328983e-05,3.0488057886e-03,4.5661380636e-31,2.4544301476e-05,1.0662131987e-10,1.2281153142e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8709452546e+05,4.5434897873e-03,2.8047444300e+02,8.9486710575e-05,4.2486629198e-03,4.5339757848e-31,3.4213342468e-05,2.8960783416e-10,1.7112954989e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8506070167e+05,6.3315550493e-03,2.9789971740e+02,1.2467559420e-04,5.9206975907e-03,4.4767814480e-31,4.7704705787e-05,7.8910740386e-10,2.3846145517e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
