t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,3.2529280829e+03,3.8799809908e+03,1.0000000000e+03,5.2307555491e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234715785e+20,4.3165284215e+20,0.0,7.7702985117e+20,2.9701488330e+18,1.3007847842e+21,4.0039624858e+02,1.0501173322e+01,1.9996732991e+02,6.5241894182e+01,3.7111276187e-01,4.0823968602e-11,1.2431473840e+02,3.6953055151e-02,6.8385632654e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2423817172e+03,3.8799809908e+03,5.2287080000e+05,3.6649060872e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234715785e+20,4.3165284215e+20,0.0,7.7702985117e+20,2.9701488330e+18,1.3007847842e+21,4.0039624858e+02,1.0501173322e+01,1.9996732991e+02,6.5241894182e+01,3.7111276187e-01,4.0823968602e-11,1.2431473840e+02,3.6953055151e-02,6.8104952153e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2367608110e+03,3.8799809908e+03,3.6628580000e+05,2.6235392172e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234715785e+20,4.3165284215e+20,0.0,7.7702985076e+20,2.9701488299e+18,1.3007847841e+21,4.0039624857e+02,1.0501173311e+01,1.9996732991e+02,6.5241894183e+01,3.7111276149e-01,4.0823968517e-11,1.2431473840e+02,3.6953055152e-02,6.7855982988e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2361753159e+03,3.8799809908e+03,2.6214910000e+05,2.5661980719e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234715805e+20,4.3165284288e+20,0.0,7.7702985024e+20,2.9701488255e+18,1.3007847858e+21,4.0039624903e+02,1.0501173297e+01,1.9996733027e+02,6.5241894301e+01,3.7111276099e-01,4.0823968481e-11,1.2431473840e+02,3.6953055156e-02,6.7839725460e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,3.2359842737e+03,3.8799809908e+03,2.5641500000e+05,2.5096917770e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234715785e+20,4.3165284215e+20,0.0,7.7702985117e+20,2.9701488330e+18,1.3007847842e+21,4.0039624858e+02,1.0501173322e+01,1.9996732991e+02,6.5241894182e+01,3.7111276187e-01,4.0823968602e-11,1.2431473840e+02,3.6953055151e-02,6.7823444850e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,3.2357976119e+03,3.8799809908e+03,2.5076440000e+05,2.4544948590e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234715785e+20,4.3165284215e+20,0.0,7.7702985117e+20,2.9701488330e+18,1.3007847842e+21,4.0039624858e+02,1.0501173322e+01,1.9996732991e+02,6.5241894182e+01,3.7111276187e-01,4.0823968602e-11,1.2431473840e+02,3.6953055151e-02,6.7807227027e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,3.2356179655e+03,3.8799809908e+03,2.4524470000e+05,2.4014891122e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234714558e+20,4.3165279629e+20,0.0,7.7702985075e+20,2.9701488485e+18,1.3007846788e+21,4.0039621872e+02,1.0501173311e+01,1.9996730740e+02,6.5241886840e+01,3.7111276147e-01,4.0823963920e-11,1.2431473840e+02,3.6953054919e-02,6.7791100686e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,3.2354632150e+03,3.8799809908e+03,2.3994410000e+05,2.3565350221e+05,3.1048810640e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234713332e+20,4.3165275048e+20,0.0,7.7702985034e+20,2.9701488640e+18,1.3007845736e+21,4.0039618890e+02,1.0501173300e+01,1.9996728493e+02,6.5241879508e+01,3.7111276108e-01,4.0823959245e-11,1.2431473840e+02,3.6953054687e-02,6.7777070592e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,3.2352934750e+03,3.8799809908e+03,2.3544870000e+05,2.3047613662e+05,3.1048811976e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234712108e+20,4.3165270473e+20,0.0,7.7702984992e+20,2.9701488794e+18,1.3007844685e+21,4.0039615912e+02,1.0501173288e+01,1.9996726248e+02,6.5241872184e+01,3.7111276068e-01,4.0823954575e-11,1.2431473840e+02,3.6953054456e-02,6.7760662460e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,3.2351301266e+03,3.8799809908e+03,2.3027130000e+05,2.2569051897e+05,3.1048856514e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234671364e+20,4.3165118177e+20,0.0,7.7702983613e+20,2.9701493933e+18,1.3007809705e+21,4.0039516772e+02,1.0501172916e+01,1.9996651526e+02,6.5241628392e+01,3.7111274750e-01,4.0823799128e-11,1.2431473840e+02,3.6953046750e-02,6.7744904513e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.6920000000e+03,3.2350277128e+03,3.8799809908e+03,2.2548570000e+05,2.2309438622e+05,3.1048927776e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234606257e+20,4.3164874821e+20,0.0,7.7702981408e+20,2.9701502145e+18,1.3007753808e+21,4.0039358354e+02,1.0501172320e+01,1.9996532125e+02,6.5241238834e+01,3.7111272645e-01,4.0823550735e-11,1.2431473840e+02,3.6953034437e-02,6.7736150155e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
5.2520000000e+03,3.2348861586e+03,3.8799809908e+03,2.2288960000e+05,2.1834611411e+05,3.1049041794e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,1.1234502161e+20,4.3164485726e+20,0.0,7.7702977883e+20,2.9701515274e+18,1.3007664438e+21,4.0039105065e+02,1.0501171367e+01,1.9996341220e+02,6.5240615982e+01,3.7111269277e-01,4.0823153589e-11,1.2431473840e+02,3.6953014749e-02,6.7719914750e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
5.8020000000e+03,3.2319297874e+03,3.7831354323e+03,2.1814130000e+05,2.0857705961e+05,3.1049066290e+02,1.0000000000e+00,9.1580943006e+01,9.1580943006e+01,1.0000000000e-02,0.0,1.1428731426e+20,4.2970150646e+20,0.0,7.7707669004e+20,2.9232330404e+18,1.2268506954e+21,3.7046581606e+02,1.0502439368e+01,2.0438317384e+02,6.3638563148e+01,3.6069669220e-01,4.2747295460e-11,9.1580943006e+01,3.7514526670e-02,6.7571810068e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.1320000000e+03,3.2079493566e+03,3.6993076616e+03,2.0837230000e+05,1.6552292221e+05,3.1049080988e+02,1.0000000000e+00,6.8248966532e+01,6.8248966532e+01,1.0000000000e-02,0.0,1.1599297167e+20,4.2799522003e+20,0.0,7.7711630716e+20,2.8836116337e+18,1.1753934628e+21,3.4951784651e+02,1.0503510272e+01,2.0835299398e+02,6.2061231038e+01,3.5114469334e-01,4.4685040520e-11,6.8248966532e+01,3.8000292984e-02,6.7316980650e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.4990000000e+03,3.1556754969e+03,3.6252158090e+03,1.6531810000e+05,1.0781613579e+05,3.1049097334e+02,1.0000000000e+00,5.1687834297e+01,5.1687834297e+01,1.0000000000e-02,0.0,1.1745091824e+20,4.2653658656e+20,0.0,7.7714877976e+20,2.8511344110e+18,1.1397659062e+21,3.3490241816e+02,1.0504388090e+01,2.1182825309e+02,6.0539431171e+01,3.4251150665e-01,4.6593122335e-11,5.1687834297e+01,3.8405694175e-02,6.6937595609e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
7.0900000000e+03,3.1071388914e+03,3.5476207280e+03,1.0761130000e+05,8.2687405352e+04,3.1049123656e+02,1.0000000000e+00,3.7975982212e+01,3.7975982212e+01,1.0000000000e-02,0.0,1.1889848107e+20,4.2508795019e+20,0.0,7.7717956827e+20,2.8203387198e+18,1.1110973947e+21,3.2301055152e+02,1.0505220417e+01,2.1537049011e+02,5.8825503388e+01,3.3335538510e-01,4.8800725655e-11,3.7975982212e+01,3.8795257640e-02,6.6710710172e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
7.7500000000e+03,3.0740210588e+03,3.4812523912e+03,8.2482610000e+04,7.4365407777e+04,3.1049153052e+02,1.0000000000e+00,2.8773253313e+01,2.8773253313e+01,1.0000000000e-02,0.0,1.2006166764e+20,4.2392358925e+20,0.0,7.7720314298e+20,2.7967562169e+18,1.0924903242e+21,3.1517072610e+02,1.0505857750e+01,2.1829589845e+02,5.7270250640e+01,3.2546594469e-01,5.0877542529e-11,2.8773253313e+01,3.9096205938e-02,6.6626117319e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
8.4950000000e+03,3.0425760339e+03,3.4141062123e+03,7.4160620000e+04,6.6899830500e+04,3.1049186233e+02,1.0000000000e+00,2.1443080762e+01,2.1443080762e+01,1.0000000000e-02,0.0,1.2116635949e+20,4.2281757953e+20,0.0,7.7722449099e+20,2.7753995183e+18,1.0782396697e+21,3.0903885895e+02,1.0506434902e+01,2.2115012003e+02,5.5621774911e+01,3.1744834925e-01,5.3180870982e-11,2.1443080762e+01,3.9369987919e-02,6.6607110695e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.3650000000e+03,3.0077532695e+03,3.3437889364e+03,6.6695040000e+04,6.0596605769e+04,3.1049224981e+02,1.0000000000e+00,1.5527799578e+01,1.5527799578e+01,1.0000000000e-02,0.0,1.2224871804e+20,4.2173367959e+20,0.0,7.7724437245e+20,2.7555079358e+18,1.0673368761e+21,3.0419651623e+02,1.0506972420e+01,2.2402775856e+02,5.3824958353e+01,3.0902731601e-01,5.5845048019e-11,1.5527799578e+01,3.9625311815e-02,6.6590794425e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0218000000e+04,2.9907423191e+03,3.2816733386e+03,6.0391830000e+04,5.8251840748e+04,3.1049262973e+02,1.0000000000e+00,1.1522549851e+01,1.1522549851e+01,1.0000000000e-02,0.0,1.2314676854e+20,4.2083411779e+20,0.0,7.7726007530e+20,2.7397952110e+18,1.0604641165e+21,3.0100048951e+02,1.0507396974e+01,2.2648235677e+02,5.2186610485e+01,3.0157542552e-01,5.8448230059e-11,1.1522549851e+01,3.9826670089e-02,6.6582191210e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
