z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
4.7039056800e+05,1.0354950075e-04,4.0171726398e+02,3.2825332222e-06,8.0767965741e-05,1.9498930430e-05,1.7511684283e-19,2.9990421448e-66,4.4779511749e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6513345919e+05,1.6874081419e-04,4.4699080645e+02,5.3491067046e-06,1.3161678425e-04,3.1774806954e-05,2.0431965189e-19,3.6455362522e-66,5.1530897751e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6130901869e+05,2.3916643708e-04,4.6763088702e+02,7.5816085075e-06,1.8654833153e-04,4.5036332229e-05,2.2910391984e-19,4.2504532997e-66,5.7252642401e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5738525125e+05,3.3898487988e-04,4.7058330514e+02,1.0745866689e-05,2.6440609530e-04,6.3832684289e-05,2.7011100967e-19,5.8361489535e-66,6.7399351260e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5343544319e+05,4.8046352233e-04,4.7507881183e+02,1.5230758856e-05,3.7475855538e-04,9.0473877023e-05,3.1665271289e-19,7.8662839383e-66,7.8825707042e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4943908736e+05,6.8098965469e-04,4.8279370532e+02,2.1587464465e-05,5.3116768986e-04,1.2823403111e-04,3.6649788528e-19,1.0169809374e-65,9.0839444588e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4537802240e+05,9.6520732219e-04,4.9214036428e+02,3.0597203097e-05,7.5285570054e-04,1.8175375342e-04,4.2038636475e-19,1.2767501711e-65,1.0360217612e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4124255541e+05,1.3680460024e-03,5.0204125938e+02,4.3367243933e-05,1.0670673626e-03,2.5761045331e-04,4.7934289405e-19,1.5721332166e-65,1.1735106483e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3702169059e+05,1.9390133309e-03,5.1362367382e+02,6.1466985736e-05,1.5124183230e-03,3.6512668599e-04,5.3990170745e-19,1.8599364136e-65,1.3105581071e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3269196845e+05,2.7482794369e-03,5.3012346105e+02,8.7120831140e-05,2.1436408462e-03,5.1751586595e-04,5.8874232169e-19,1.9800442405e-65,1.4099554141e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2819824295e+05,3.8953006373e-03,5.5564184356e+02,1.2348155888e-04,3.0383102396e-03,7.3350615494e-04,6.0205049973e-19,1.7095176134e-65,1.4084987465e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2344741164e+05,5.5210423115e-03,5.9424428081e+02,1.7501779062e-04,4.3063786212e-03,1.0396420955e-03,5.7126695202e-19,1.1563155516e-65,1.2906052752e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1837435634e+05,7.8253031136e-03,6.3550372681e+02,2.4806317080e-04,6.1036876973e-03,1.4735468536e-03,6.3044677451e-19,1.2798958095e-65,1.4077629421e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1296118476e+05,1.1091269613e-02,6.7934987489e+02,3.5159475206e-04,8.6511212278e-03,2.0885459902e-03,1.2005167472e-18,8.3893803201e-65,2.8816756066e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0718249165e+05,1.5720319051e-02,7.2578566486e+02,4.9833624715e-04,1.2261750963e-02,2.9602210084e-03,6.0655477079e-18,1.3211450920e-62,1.8168780750e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0102207897e+05,2.2281347375e-02,7.7469428771e+02,7.0632173235e-04,1.7379312197e-02,4.1956980869e-03,7.4177056917e-17,3.6784453048e-59,3.1639143770e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9446644970e+05,3.1580684797e-02,8.2601664411e+02,1.0011119663e-03,2.4632737466e-02,5.9468135499e-03,1.2129111222e-15,2.6032744909e-55,7.6560378357e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8749106903e+05,4.4761191298e-02,8.7980668418e+02,1.4189356533e-03,3.4913450397e-02,8.4287740399e-03,1.7017146348e-14,1.1053264696e-51,1.5442203711e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8008003122e+05,6.3442710609e-02,9.3612370707e+02,2.0111415143e-03,4.9484918803e-02,1.1946604560e-02,1.8278206768e-13,1.9499187053e-48,2.2799175811e-12,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7222046265e+05,8.9921144025e-02,9.9509226720e+02,2.8505076565e-03,7.0137930506e-02,1.6932634388e-02,1.5552213243e-12,1.6014834886e-45,2.5653702546e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6388705301e+05,1.2745060962e-01,1.0568434096e+03,4.0401815156e-03,9.9410673836e-02,2.3999626519e-02,1.1046389455e-11,7.2735804983e-43,2.3379913612e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5506093596e+05,1.8064336333e-01,1.1214426551e+03,5.7263427756e-03,1.4090066674e-01,3.4016076555e-02,6.7894763618e-11,2.0558696120e-40,1.7994242706e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4572873614e+05,2.5603663109e-01,1.1889770948e+03,8.1161282597e-03,1.9970685803e-01,4.8212925813e-02,3.6950649723e-10,3.9007519508e-38,1.2012693126e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3586539145e+05,3.6289601372e-01,1.2595353019e+03,1.1502977936e-02,2.8305619259e-01,6.8334782551e-02,1.8071061212e-09,5.2171086202e-36,7.0771908886e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2544945079e+05,5.1435420086e-01,1.3331644473e+03,1.6302414029e-02,4.0119150188e-01,9.6854197708e-02,8.0197476391e-09,5.0816736643e-34,3.7222583665e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1446800910e+05,7.2902493811e-01,1.4099288559e+03,2.3102419037e-02,5.6862936245e-01,1.3727528149e-01,3.2560448550e-08,3.7045126343e-32,1.7647264530e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0289769391e+05,1.0332905992e+00,1.4899823253e+03,3.2734099028e-02,8.0594098594e-01,1.9456399250e-01,1.2193681299e-07,2.0772526759e-30,7.6153361633e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9071295628e+05,1.4645444984e+00,1.5735201910e+03,4.6370272495e-02,1.1422704400e+00,2.7575838306e-01,4.2435763139e-07,9.1851589291e-29,3.0177427713e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.7789904894e+05,2.0757864143e+00,1.6607639795e+03,6.5662001155e-02,1.6188868400e+00,3.9083556499e-01,1.3814083257e-06,3.2735996921e-27,1.1067421852e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6443244608e+05,2.9421360994e+00,1.7519453813e+03,9.2925767537e-02,2.2941732922e+00,5.5394772730e-01,4.2298804896e-06,9.5818222990e-26,3.7818578163e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5027964216e+05,4.1700652667e+00,1.8472902543e+03,1.3139668052e-01,3.2505827303e+00,7.8519524581e-01,1.2239086202e-05,2.3394843241e-24,1.2109124541e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3542170751e+05,5.9104826361e+00,1.9470381659e+03,1.8556480479e-01,4.6042238958e+00,1.1131950134e+00,3.3595770579e-05,4.8287067856e-23,3.6508654791e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1983353805e+05,8.3772801521e+00,2.0514551314e+03,2.6161091833e-01,6.5178399773e+00,1.5788512776e+00,8.7780803220e-05,8.5229264770e-22,1.0409313902e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0346861334e+05,1.1873619646e+01,2.1608319722e+03,3.6795227294e-01,9.2179327339e+00,2.2409839665e+00,2.1892968427e-04,1.2988255700e-20,2.8169151454e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8629787867e+05,1.6829190494e+01,2.2754934505e+03,5.1589359518e-01,1.3016545103e+01,3.1848728888e+00,5.2236162909e-04,1.7220802650e-19,7.2569805835e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6830734616e+05,2.3853017119e+01,2.3901394253e+03,7.2107604130e-01,1.8345931496e+01,4.5337597438e+00,1.1604113709e-03,1.8204607524e-18,1.7274879388e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4952679862e+05,3.3808306221e+01,2.4904467145e+03,1.0076542301e+00,2.5838793869e+01,6.4585364703e+00,2.2666632997e-03,1.2745416198e-17,3.5646011289e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3004833090e+05,4.7918532228e+01,2.5835081949e+03,1.4076308678e+00,3.6369444896e+01,9.2056879252e+00,4.1159622123e-03,7.0648060539e-17,6.7825058289e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0992230049e+05,6.7917798540e+01,2.6732294227e+03,1.9652605338e+00,5.1160166562e+01,1.3128001794e+01,7.1421111812e-03,3.3872330100e-16,1.2270200745e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.9133362137e+04,9.6263953506e+01,2.7622347053e+03,2.7414400679e+00,7.1914977975e+01,1.8731666314e+01,1.2032736338e-02,1.4785860468e-15,2.1483301731e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.7662173951e+04,1.3644065243e+02,2.8530021651e+03,3.8188735860e+00,1.0099176587e+02,2.6746200205e+01,1.9911689279e-02,6.1005247253e-15,3.6878516921e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5469902293e+04,1.9338548811e+02,2.9473789322e+03,5.3094730881e+00,1.4164465703e+02,3.8224097554e+01,3.2581276147e-02,2.4316109738e-14,6.2541302686e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2446660576e+04,2.7409680579e+02,3.0493345556e+03,7.3561814038e+00,1.9822131709e+02,5.4712972648e+01,5.3284955284e-02,9.6997819872e-14,1.0607827084e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0666643186e+03,3.4956112008e+02,3.1380999784e+03,9.1620932625e+00,2.4931725399e+02,7.0512258411e+01,7.7530377453e-02,2.8331896992e-13,1.5915866262e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.2201379983e+01,3.7478390440e+02,3.2050568273e+03,9.5736683276e+00,2.6298858848e+02,7.6518267007e+01,9.5239333943e-02,5.3305894446e-13,2.0026835817e+01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
