z(m),p_tot(bar),T(K)
3.1404290737e+05,1.2008562973e-04,1.4923480788e+02
3.1368479813e+05,1.7317018447e-04,1.2661578380e+02
3.1336056145e+05,2.4972107701e-04,1.2488260950e+02
3.1303752104e+05,3.6011173917e-04,1.2596327331e+02
3.1270884381e+05,5.1930123897e-04,1.2951029507e+02
3.1236952294e+05,7.4886138791e-04,1.3437445460e+02
3.1201601692e+05,1.0798999429e-03,1.4068646260e+02
3.1164539670e+05,1.5572760266e-03,1.4777836290e+02
3.1125514759e+05,2.2456789992e-03,1.5607816148e+02
3.1084173345e+05,3.2383945309e-03,1.6598279454e+02
3.1040135640e+05,4.6699457675e-03,1.7724285429e+02
3.0993131192e+05,6.7343225983e-03,1.8929391635e+02
3.0942938029e+05,9.7112692771e-03,2.0248258290e+02
3.0889319060e+05,1.4004192641e-02,2.1670307519e+02
3.0832218070e+05,2.0194827878e-02,2.3078372612e+02
3.0771718821e+05,2.9122069616e-02,2.4522237518e+02
3.0707838908e+05,4.1995650761e-02,2.6021856684e+02
3.0640783684e+05,6.0560073720e-02,2.7385589121e+02
3.0571221600e+05,8.7331008391e-02,2.8415686804e+02
3.0499302264e+05,1.2593619126e-01,2.9768971331e+02
3.0423398881e+05,1.8160702093e-01,3.2286076692e+02
3.0131902913e+05,2.6188746635e-01,3.5259089665e+02
2.9563310580e+05,3.7765635205e-01,3.8469769806e+02
2.8944719461e+05,5.4460155056e-01,4.1928901816e+02
2.8272485918e+05,7.8534585016e-01,4.5646885944e+02
2.7542758655e+05,1.1325125750e+00,4.9633820340e+02
2.6751305727e+05,1.6331463803e+00,5.3901373649e+02
2.5893446775e+05,2.3550882864e+00,5.8461714497e+02
2.4964372336e+05,3.3961688332e+00,6.3326887024e+02
2.3962414160e+05,4.8974651226e+00,6.8506588900e+02
2.2885272884e+05,7.0624182146e+00,7.4007920654e+02
2.1727138939e+05,1.0184401479e+01,7.9837418396e+02
2.0483818257e+05,1.4686475699e+01,8.6001511866e+02
1.9150914000e+05,2.1178718150e+01,9.2506480121e+02
1.7723860488e+05,3.0540894337e+01,9.9358402430e+02
1.6194056696e+05,4.4041675245e+01,1.0656372689e+03
1.4556760062e+05,6.3510555290e+01,1.1412970239e+03
1.2812729881e+05,9.1585767589e+01,1.2206457898e+03
1.0957233718e+05,1.3207179164e+02,1.3037809634e+03
8.9849559510e+04,1.9045489933e+02,1.3908209004e+03
6.8914804528e+04,2.7464660112e+02,1.4819014863e+03
4.6716854295e+04,3.9605573696e+02,1.5771754727e+03
2.3175587356e+04,5.7113449114e+02,1.6768183481e+03
5.1754129823e+03,7.3720501119e+02,1.7347946365e+03
0.0000000000e+00,7.9312587057e+02,1.7511158396e+03
