t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,3.2652389201e+03,3.8799809908e+03,1.0000000000e+03,5.6818789142e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813641250e+19,1.0918635875e+20,0.0,7.7674664305e+20,3.2533569461e+18,5.7546636688e+20,1.9637921912e+02,1.0493519883e+01,4.6144791298e+01,1.5055327250e+01,3.7084228837e-01,9.4068796131e-12,1.2431473840e+02,3.3711665610e-02,6.8996591212e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2543759672e+03,3.8799809908e+03,5.6798300000e+05,4.0490513332e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813641250e+19,1.0918635875e+20,0.0,7.7674664305e+20,3.2533569461e+18,5.7546636688e+20,1.9637921912e+02,1.0493519883e+01,4.6144791298e+01,1.5055327249e+01,3.7084228837e-01,9.4068796131e-12,1.2431473840e+02,3.3711665610e-02,6.8692775236e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2481719075e+03,3.8799809908e+03,4.0470020000e+05,2.9124605786e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813641267e+19,1.0918635882e+20,0.0,7.7674664301e+20,3.2533569456e+18,5.7546636702e+20,1.9637921916e+02,1.0493519881e+01,4.6144791329e+01,1.5055327259e+01,3.7084228833e-01,9.4068796171e-12,1.2431473840e+02,3.3711665612e-02,6.8416591102e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2475116869e+03,3.8799809908e+03,2.9104120000e+05,2.8445270388e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813641205e+19,1.0918635858e+20,0.0,7.7674664300e+20,3.2533569460e+18,5.7546636650e+20,1.9637921902e+02,1.0493519881e+01,4.6144791220e+01,1.5055327224e+01,3.7084228832e-01,9.4068795947e-12,1.2431473840e+02,3.3711665607e-02,6.8397546414e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,3.2472748688e+03,3.8799809908e+03,2.8424780000e+05,2.7809818378e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813641250e+19,1.0918635875e+20,0.0,7.7674664305e+20,3.2533569461e+18,5.7546636688e+20,1.9637921912e+02,1.0493519883e+01,4.6144791298e+01,1.5055327250e+01,3.7084228837e-01,9.4068796131e-12,1.2431473840e+02,3.3711665610e-02,6.8378872293e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,3.2470411406e+03,3.8799809908e+03,2.7789330000e+05,2.7170926813e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813641250e+19,1.0918635875e+20,0.0,7.7674664305e+20,3.2533569461e+18,5.7546636688e+20,1.9637921912e+02,1.0493519883e+01,4.6144791298e+01,1.5055327250e+01,3.7084228837e-01,9.4068796131e-12,1.2431473840e+02,3.3711665610e-02,6.8359740693e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,3.2468196103e+03,3.8799809908e+03,2.7150440000e+05,2.6566874193e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813629247e+19,1.0918631183e+20,0.0,7.7674664123e+20,3.2533570178e+18,5.7546626569e+20,1.9637919113e+02,1.0493519833e+01,4.6144770234e+01,1.5055320377e+01,3.7084228663e-01,9.4068752304e-12,1.2431473840e+02,3.3711664710e-02,6.8341124597e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,3.2466096825e+03,3.8799809908e+03,2.6546380000e+05,2.5987120842e+05,3.1048810640e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813617263e+19,1.0918626497e+20,0.0,7.7674663940e+20,3.2533570893e+18,5.7546616465e+20,1.9637916319e+02,1.0493519784e+01,4.6144749201e+01,1.5055313515e+01,3.7084228489e-01,9.4068708543e-12,1.2431473840e+02,3.3711663810e-02,6.8322686452e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,3.2464104828e+03,3.8799809908e+03,2.5966630000e+05,2.5425979321e+05,3.1048811976e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813605296e+19,1.0918621819e+20,0.0,7.7674663758e+20,3.2533571607e+18,5.7546606376e+20,1.9637913528e+02,1.0493519735e+01,4.6144728199e+01,1.5055306662e+01,3.7084228315e-01,9.4068664847e-12,1.2431473840e+02,3.3711662912e-02,6.8304458197e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,3.2462156364e+03,3.8799809908e+03,2.5405490000e+05,2.4872887128e+05,3.1048856514e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,2.6813206990e+19,1.0918466097e+20,0.0,7.7674657693e+20,3.2533595379e+18,5.7546270573e+20,1.9637820648e+02,1.0493518096e+01,4.6144029158e+01,1.5055078591e+01,3.7084222524e-01,9.4067210436e-12,1.2431473840e+02,3.3711633015e-02,6.8286392572e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
