z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
5.2946345738e+05,1.0339520605e-04,3.9825379268e+02,5.9540510391e-06,3.3561583169e-05,6.3879675656e-05,1.7637269947e-19,3.8831226123e-67,1.0339905104e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.2357971920e+05,1.6500839706e-04,4.3982534231e+02,9.5020693501e-06,5.3560926597e-05,1.0194556680e-04,2.0625107451e-19,4.8180674796e-67,1.1949077868e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1938104561e+05,2.3041464322e-04,4.4341842753e+02,1.3268512139e-05,7.4791477358e-05,1.4235488509e-04,2.4161384204e-19,6.5398466670e-67,1.3979134835e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1516065207e+05,3.2174670355e-04,4.4483570166e+02,1.8527902492e-05,1.0443742184e-04,1.9878170229e-04,2.8450440515e-19,9.0275300852e-67,1.6451741598e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1092389532e+05,4.4928108646e-04,4.4813383128e+02,2.5872016935e-05,1.4583446493e-04,2.7757505575e-04,3.3336759386e-19,1.2263610219e-66,1.9252327958e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0665306142e+05,6.2736771637e-04,4.5386887623e+02,3.6127201152e-05,2.0364052256e-04,3.8760062263e-04,3.8788656321e-19,1.6282314805e-66,2.2347701491e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0232699685e+05,8.7604455963e-04,4.6131335886e+02,5.0447348823e-05,2.8435982163e-04,5.4123826889e-04,4.4854394375e-19,2.1187252179e-66,2.5756666716e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9792886703e+05,1.2232922582e-03,4.7035655084e+02,7.0443735529e-05,3.9707474296e-04,7.5577500814e-04,5.1498822419e-19,2.6934054842e-66,2.9441577810e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9344110116e+05,1.7081824577e-03,4.8131427203e+02,9.8366316377e-05,5.5446775350e-04,1.0553501031e-03,5.8538928425e-19,3.3140993943e-66,3.3267495644e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8884714601e+05,2.3852740743e-03,4.9393596710e+02,1.3735688668e-04,7.7424841333e-04,1.4736711696e-03,6.5778655167e-19,3.9274062925e-66,3.7093874125e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8412681972e+05,3.3307521593e-03,5.0998959870e+02,1.9180259070e-04,1.0811460211e-03,2.0578068925e-03,7.2251501397e-19,4.3215705183e-66,4.0289057570e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7923812117e+05,4.6510000954e-03,5.3217687115e+02,2.6782955472e-04,1.5096921075e-03,2.8734831039e-03,7.5924560855e-19,4.1161696211e-66,4.1580317179e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7410665378e+05,6.4945696504e-03,5.6424519795e+02,3.7399218709e-04,2.1081058573e-03,4.0124781284e-03,7.3902524936e-19,3.0542071142e-66,3.9283299933e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6862946411e+05,9.0688957384e-03,6.0849927309e+02,5.2223570378e-04,2.9437196387e-03,5.6029495037e-03,6.9202884128e-19,1.9973460902e-66,3.5490671063e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6273031186e+05,1.2663636598e-02,6.5611676319e+02,7.2924018116e-04,4.1105551135e-03,7.8238540214e-03,9.1118797063e-19,3.9687609987e-66,4.7515445862e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5638158909e+05,1.7683265583e-02,7.0710361964e+02,1.0182973660e-03,5.7399023732e-03,1.0925083602e-02,3.2042788569e-18,1.9387878560e-64,1.9756242229e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4955804926e+05,2.4692581729e-02,7.6148296425e+02,1.4219314158e-03,8.0150924496e-03,1.5255582653e-02,3.9960225390e-17,5.8249924087e-61,3.5273183429e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4223142079e+05,3.4480259858e-02,8.1920517171e+02,1.9855584283e-03,1.1192125365e-02,2.1302610605e-02,9.0685762888e-16,1.2111716330e-56,1.2471944735e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.3437155476e+05,4.8147590760e-02,8.8032936035e+02,2.7725963907e-03,1.5628474740e-02,2.9746567262e-02,1.8096327695e-14,1.6296547359e-52,3.7741173515e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2594776648e+05,6.7232396318e-02,9.4495026332e+02,3.8715998959e-03,2.1823309886e-02,4.1537549330e-02,2.5828304952e-13,7.2811646406e-49,7.7195904191e-13,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1692842884e+05,9.3882062288e-02,1.0132296953e+03,5.4062200017e-03,3.0473660735e-02,5.8002250180e-02,2.7624722632e-12,1.2620476634e-45,1.1277351326e-11,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0728832073e+05,1.3109515802e-01,1.0853828509e+03,7.5491011219e-03,4.2552843681e-02,8.0993223976e-02,2.3797821312e-11,1.0755296152e-42,1.2795178234e-10,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9700304197e+05,1.8305882974e-01,1.1616083573e+03,1.0541250043e-02,5.9419967495e-02,1.1309728572e-01,1.7294445684e-10,5.2463968424e-40,1.1897005845e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8603728193e+05,2.5561993023e-01,1.2421846464e+03,1.4718971445e-02,8.2972822645e-02,1.5792642494e-01,1.0906703371e-09,1.6081386564e-37,9.3688589091e-09,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7435447425e+05,3.5694289549e-01,1.3272180749e+03,2.0551176652e-02,1.1586129612e-01,2.2052377138e-01,6.0570387443e-09,3.2530725047e-35,6.3578632825e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6191752184e+05,4.9842839140e-01,1.4167373606e+03,2.8690721806e-02,1.6178512072e-01,3.0792979549e-01,2.9912280336e-08,4.4890639604e-33,3.7619353894e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.4869265048e+05,6.9599609489e-01,1.5108982698e+03,4.0044303171e-02,2.2590878193e-01,4.2997123486e-01,1.3273010743e-07,4.3761564838e-31,1.9650958427e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.3465360987e+05,9.7187594539e-01,1.6099536293e+03,5.5866088728e-02,3.1543810707e-01,6.0035869892e-01,5.3455451798e-07,3.1174916567e-29,9.1721996387e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.1977074129e+05,1.3571094151e+00,1.7141849349e+03,7.7880174850e-02,4.4041696752e-01,8.3821025384e-01,1.9712988834e-06,1.6720483714e-27,3.8666787825e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0400285235e+05,1.8950422358e+00,1.8238852893e+03,1.0843518760e-01,6.1481588700e-01,1.1701594625e+00,6.7061903538e-06,6.9250349270e-26,1.4858684606e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.8730649448e+05,2.6462015778e+00,1.9393520587e+03,1.5068930733e-01,8.5798937491e-01,1.6332592874e+00,2.1177273778e-05,2.2629704280e-24,5.2464091701e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.6963503915e+05,3.6951064511e+00,2.0609016838e+03,2.0881337419e-01,1.1965582447e+00,2.2789598248e+00,6.2403424448e-05,5.9429013743e-23,1.7139374429e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.5094806322e+05,5.1597776221e+00,2.1888046414e+03,2.8818328866e-01,1.6666986840e+00,3.1785226761e+00,1.7226096467e-04,1.2720733938e-21,5.2091173950e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.3131922107e+05,7.2050170845e+00,2.2966108137e+03,3.9734373055e-01,2.3198203876e+00,4.4325763006e+00,3.8552876769e-04,1.3925531911e-20,1.2540770982e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1090608454e+05,1.0060951264e+01,2.3921923299e+03,5.4757539632e-01,3.2269846831e+00,6.1809521186e+00,7.6297737825e-04,1.0288620358e-19,2.6336045195e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.8979765266e+05,1.4048924402e+01,2.4808812858e+03,7.5424490542e-01,4.4865585924e+00,8.6184340657e+00,1.4012436419e-03,5.9875987974e-19,5.0901232799e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6804243250e+05,1.9617655595e+01,2.5657474756e+03,1.0383693795e+00,6.2347180405e+00,1.2016447638e+01,2.4496857307e-03,2.9778257362e-18,9.3139321161e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.4566571354e+05,2.7393727806e+01,2.6486362932e+03,1.4287043065e+00,8.6599552909e+00,1.6753234971e+01,4.1356296511e-03,1.3252731404e-17,1.6394623431e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2269276916e+05,3.8252089781e+01,2.7310019823e+03,1.9644117924e+00,1.2022697901e+01,2.3355659309e+01,6.8082164450e-03,5.4458406838e-17,2.8063735229e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
