t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,3.2610791542e+03,3.8799809908e+03,1.0000000000e+03,5.6896489855e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200954125e+19,2.1779904588e+20,0.0,7.7689403383e+20,3.1059661674e+18,8.1460558369e+20,2.6310357738e+02,1.0497502635e+01,9.6451741371e+01,3.1468611934e+01,3.7098303933e-01,1.9677167298e-11,1.2431473840e+02,3.5324824053e-02,6.8685886830e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2496604351e+03,3.8799809908e+03,5.6876010000e+05,4.0143215510e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200954128e+19,2.1779904589e+20,0.0,7.7689403380e+20,3.1059661671e+18,8.1460558371e+20,2.6310357739e+02,1.0497502634e+01,9.6451741377e+01,3.1468611936e+01,3.7098303930e-01,1.9677167296e-11,1.2431473840e+02,3.5324824053e-02,6.8392116265e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2432050640e+03,3.8799809908e+03,4.0122730000e+05,2.8655813843e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200954123e+19,2.1779904587e+20,0.0,7.7689403383e+20,3.1059661674e+18,8.1460558367e+20,2.6310357738e+02,1.0497502635e+01,9.6451741368e+01,3.1468611933e+01,3.7098303933e-01,1.9677167297e-11,1.2431473840e+02,3.5324824053e-02,6.8128024217e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.2425476863e+03,3.8799809908e+03,2.8635330000e+05,2.7995773003e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200954124e+19,2.1779904588e+20,0.0,7.7689403383e+20,3.1059661674e+18,8.1460558368e+20,2.6310357738e+02,1.0497502635e+01,9.6451741370e+01,3.1468611933e+01,3.7098303934e-01,1.9677167298e-11,1.2431473840e+02,3.5324824053e-02,6.8110191172e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,3.2423103743e+03,3.8799809908e+03,2.7975290000e+05,2.7377816361e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200954124e+19,2.1779904588e+20,0.0,7.7689403383e+20,3.1059661674e+18,8.1460558368e+20,2.6310357738e+02,1.0497502635e+01,9.6451741370e+01,3.1468611933e+01,3.7098303934e-01,1.9677167298e-11,1.2431473840e+02,3.5324824053e-02,6.8092688236e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,3.2420845764e+03,3.8799809908e+03,2.7357330000e+05,2.6783877010e+05,3.1048807878e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200954124e+19,2.1779904588e+20,0.0,7.7689403383e+20,3.1059661674e+18,8.1460558368e+20,2.6310357738e+02,1.0497502635e+01,9.6451741370e+01,3.1468611933e+01,3.7098303934e-01,1.9677167298e-11,1.2431473840e+02,3.5324824053e-02,6.8075382252e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,3.2418630022e+03,3.8799809908e+03,2.6763390000e+05,2.6195767188e+05,3.1048809303e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200941808e+19,2.1779899941e+20,0.0,7.7689403296e+20,3.1059662066e+18,8.1460547962e+20,2.6310354817e+02,1.0497502611e+01,9.6451719360e+01,3.1468604752e+01,3.7098303850e-01,1.9677162719e-11,1.2431473840e+02,3.5324823528e-02,6.8057959525e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,3.2416521496e+03,3.8799809908e+03,2.6175280000e+05,2.5630827648e+05,3.1048810640e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200929509e+19,2.1779895301e+20,0.0,7.7689403208e+20,3.1059662457e+18,8.1460537570e+20,2.6310351899e+02,1.0497502588e+01,9.6451697380e+01,3.1468597581e+01,3.7098303766e-01,1.9677158146e-11,1.2431473840e+02,3.5324823003e-02,6.8040716574e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,3.2414424960e+03,3.8799809908e+03,2.5610340000e+05,2.5064946975e+05,3.1048811976e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200917227e+19,2.1779890668e+20,0.0,7.7689403120e+20,3.1059662847e+18,8.1460527193e+20,2.6310348986e+02,1.0497502564e+01,9.6451675431e+01,3.1468590420e+01,3.7098303683e-01,1.9677153580e-11,1.2431473840e+02,3.5324822479e-02,6.8023426232e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,3.2412366158e+03,3.8799809908e+03,2.5044460000e+05,2.4508160357e+05,3.1048856514e+02,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5200508413e+19,2.1779736441e+20,0.0,7.7689400208e+20,3.1059675849e+18,8.1460181772e+20,2.6310252008e+02,1.0497501777e+01,9.6450944836e+01,3.1468352054e+01,3.7098300901e-01,1.9677001580e-11,1.2431473840e+02,3.5324805044e-02,6.8006292008e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
