z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
3.0987328422e+05,1.0376952694e-04,1.5427351247e+02,9.2634680356e-05,9.7808022733e-06,3.2735599876e-28,1.3395791396e-06,1.4447305689e-18,1.4937673459e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0946728446e+05,1.7419976039e-04,1.2475023587e+02,1.5550749828e-04,1.6419203730e-05,3.2803667646e-28,2.2487715157e-06,6.8294165471e-18,2.5080077559e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0923919657e+05,2.5220048777e-04,1.2278065289e+02,2.2513846678e-04,2.3771164370e-05,3.2807239839e-28,3.2556946109e-06,2.0723396155e-17,3.6310381542e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0901191162e+05,3.6512728770e-04,1.2419499890e+02,3.2594781393e-04,3.4415083497e-05,3.2804862736e-28,4.7134842046e-06,6.2887998450e-17,5.2568647362e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0878021785e+05,5.2861886749e-04,1.2778617484e+02,4.7189615686e-04,4.9824988454e-05,3.2798126230e-28,6.8240232853e-06,1.9085177087e-16,7.6105918370e-08,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0854063837e+05,7.6531641562e-04,1.3294603267e+02,6.8319520194e-04,7.2134926124e-05,3.2787830036e-28,9.8795914113e-06,5.7921812697e-16,1.1018094453e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0829031952e+05,1.1079990746e-03,1.3960449566e+02,9.8910676944e-04,1.0443449780e-04,3.2773180929e-28,1.4303341780e-05,1.7579627468e-15,1.5951083540e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0802708123e+05,1.6041233722e-03,1.4708437903e+02,1.4319951271e-03,1.5119672331e-04,3.2754980938e-28,2.0707901394e-05,5.3357406658e-15,2.3092466337e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0774884828e+05,2.3223952547e-03,1.5603271415e+02,2.0731938174e-03,2.1889749203e-04,3.2730454903e-28,2.9980214155e-05,1.6196133278e-14,3.3430594836e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0745282198e+05,3.3622848545e-03,1.6657488322e+02,3.0014994525e-03,3.1691238080e-04,3.2696860203e-28,4.3404371726e-05,4.9166924119e-14,4.8395921979e-07,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
