z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
2.2021706227e+05,1.0335908380e-04,2.1872688189e+02,5.1805954178e-06,9.2967201874e-05,5.6116786408e-31,1.8008697488e-06,1.4391600272e-14,3.4106001336e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1782599504e+05,1.6414579603e-04,2.4297914361e+02,8.2267022636e-06,1.4764318658e-04,5.5710201680e-31,2.8606465349e-06,5.7849181091e-14,5.4153794683e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1606137165e+05,2.2841061019e-04,2.4173032574e+02,1.1447589250e-05,2.0544692676e-04,5.5734201829e-31,3.9805711394e-06,1.5583593119e-13,7.5356604942e-06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1434804091e+05,3.1783577837e-04,2.4015092755e+02,1.5929602375e-05,2.8588169715e-04,5.5766610974e-31,5.5388556789e-06,4.1974906588e-13,1.0485971246e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1268282293e+05,4.4227184512e-04,2.4214691674e+02,2.2165866796e-05,3.9780624070e-04,5.5725207512e-31,7.7076558336e-06,1.1314286591e-12,1.4591337087e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.1100114225e+05,6.1542594729e-04,2.4525623702e+02,3.0843149200e-05,5.5355130166e-04,5.5655897991e-31,1.0726150597e-05,3.0508211608e-12,2.0304617147e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0929818726e+05,8.5637171069e-04,2.4859568422e+02,4.2918160849e-05,7.7027594940e-04,5.5587167224e-31,1.4926078606e-05,8.2249296786e-12,2.8252998299e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0757092072e+05,1.1916502873e-03,2.5263155871e+02,5.9720097553e-05,1.0718476121e-03,5.5498758136e-31,2.0770703764e-05,2.2177807633e-11,3.9312287316e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0576924188e+05,1.6581939704e-03,2.5807924656e+02,8.3098863184e-05,1.4914866098e-03,5.5369424358e-31,2.8904712054e-05,5.9823149281e-11,5.4699879269e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0387210356e+05,2.3073944369e-03,2.6570577810e+02,1.1562794894e-04,2.0754269770e-03,5.5170366163e-31,4.0226151300e-05,1.6147565314e-10,7.6109288778e-05,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
