t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,3.1308600424e+03,3.8799809908e+03,1.0000000000e+03,5.9652419867e+05,5.6936670974e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.8247920811e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.1309595280e+03,3.8799809908e+03,2.1734290000e+05,5.2242302934e+05,5.6936670974e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.8132059478e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.1313836858e+03,3.8799809908e+03,1.4324170000e+05,5.1702127416e+05,5.6936670974e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.8126112206e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.1313480107e+03,3.8799809908e+03,1.3783990000e+05,5.1690880581e+05,5.6936670974e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.8126164014e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,3.1313476720e+03,3.8799809908e+03,1.3772750000e+05,5.1690641584e+05,5.6936670974e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.8126160104e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,3.1313478319e+03,3.8799809908e+03,1.3772510000e+05,5.1690642003e+05,5.6936670974e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.8126160076e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,3.1312185244e+03,3.8799809908e+03,1.3772510000e+05,5.1693120968e+05,5.6936670964e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5667854147e+19,2.1659701878e+20,0.0,4.6888065348e+20,1.1155709787e+18,7.9260785750e+20,2.5728756210e+02,3.8237284911e+00,9.7276322212e+01,3.1737641960e+01,1.3513103702e-01,2.6330660725e-12,1.2431473840e+02,3.5824536087e-02,6.8127471165e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,3.1313285551e+03,3.8799809908e+03,1.3774990000e+05,5.1691100177e+05,5.6936670957e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5512865852e+19,2.1601683020e+20,0.0,4.6887669671e+20,1.1157412563e+18,7.9130075029e+20,2.5692010361e+02,3.8236639564e+00,9.6999309477e+01,3.1647263018e+01,1.3512875636e-01,2.6254792937e-12,1.2431473840e+02,3.5818464231e-02,6.8127215861e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,3.1314310890e+03,3.8799809908e+03,1.3772970000e+05,5.1689038783e+05,5.6936670947e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5357891605e+19,2.1543664959e+20,0.0,4.6887272880e+20,1.1159120475e+18,7.8999380838e+20,2.5655270834e+02,3.8235992404e+00,9.6722344548e+01,3.1556899675e+01,1.3512646929e-01,2.6178940683e-12,1.2431473840e+02,3.5812376049e-02,6.8126970610e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,3.1317570818e+03,3.8799809908e+03,1.3770900000e+05,5.1684482439e+05,5.6936670670e+05,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.0198134605e+19,1.9609197223e+20,0.0,4.6873976653e+20,1.1219470108e+18,7.4650624757e+20,2.4433798767e+02,3.8214309661e+00,8.7514157395e+01,2.8552611064e+01,1.3504984221e-01,2.3659789321e-12,1.2431473840e+02,3.5599541819e-02,6.8161390632e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
