z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
5.2720286625e+05,1.0297302197e-04,8.8988448531e+02,1.4805011493e-07,0.0000000000e+00,1.0282497012e-04,2.4487788000e-17,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.1486013215e+05,1.5518576225e-04,9.4033983844e+02,2.2311661678e-07,0.0000000000e+00,1.5496263742e-04,2.0703919028e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.0618866457e+05,2.0801107394e-04,9.6213998556e+02,2.9906287838e-07,0.0000000000e+00,2.0771199429e-04,5.0918864770e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.9737502329e+05,2.7881814837e-04,9.7670647179e+02,4.0086110430e-07,0.0000000000e+00,2.7841725859e-04,9.5295209444e-16,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.8846943965e+05,3.7372798663e-04,9.8797250251e+02,5.3731119869e-07,0.0000000000e+00,3.7319063015e-04,1.5809523378e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7949139501e+05,5.0094518167e-04,9.9755650390e+02,7.2020844819e-07,0.0000000000e+00,5.0022490457e-04,2.4669265178e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.7044933952e+05,6.7146717404e-04,1.0060948435e+03,9.6536330018e-07,0.0000000000e+00,6.7050170928e-04,3.7053641255e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.6135636807e+05,9.0003493856e-04,1.0139440173e+03,1.2939680318e-06,0.0000000000e+00,8.9874082309e-04,5.4255706121e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.5222637335e+05,1.2064072854e-03,1.0210336163e+03,1.7344292568e-06,0.0000000000e+00,1.2046726456e-03,7.7383605028e-15,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.4306295034e+05,1.6170689334e-03,1.0273385536e+03,2.3248234603e-06,0.0000000000e+00,1.6147438145e-03,1.0756040020e-14,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
