t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_melt(bar),fO2_solid(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),phi(mass_frac),p_S2(bar),p_H2S(bar),p_N2(bar),p_SO2(bar),p_NH3(bar)
0.0000000000e+00,3.1304078269e+03,3.9074685703e+03,1.0000000000e+03,1.8672234551e+05,1.2243925043e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838475e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7447187041e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1293369758e+03,3.9074685703e+03,1.7869660000e+05,1.8216357243e+05,1.2243925043e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436209e+20,1.1156380819e+18,7.9391547632e+20,2.5766331075e+02,3.8247502246e+00,9.7558838474e+01,3.1829816497e+01,1.3516714521e-01,2.6421246270e-12,1.2431473840e+02,3.5830640209e-02,6.7424092281e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1290719227e+03,3.9074685703e+03,1.7413780000e+05,1.7233574010e+05,1.2243925043e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838475e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7369807670e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
0.0000000000e+00,3.1287139113e+03,3.9074685703e+03,1.6430990000e+05,1.7005117938e+05,1.2243925043e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892234e+19,2.1718110791e+20,0.0000000000e+00,4.6888436141e+20,1.1156380785e+18,7.9391547654e+20,2.5766331081e+02,3.8247502135e+00,9.7558838531e+01,3.1829816515e+01,1.3516714482e-01,2.6421246131e-12,1.2431473840e+02,3.5830640212e-02,6.7357683410e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+00,3.1286187782e+03,3.9074685703e+03,1.6202540000e+05,1.6796881689e+05,1.2243925043e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838475e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7346300184e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,3.1285326212e+03,3.9074685703e+03,1.5994300000e+05,1.6599990268e+05,1.2243925043e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5818892203e+19,2.1718110780e+20,0.0000000000e+00,4.6888436192e+20,1.1156380810e+18,7.9391547631e+20,2.5766331074e+02,3.8247502218e+00,9.7558838475e+01,3.1829816497e+01,1.3516714511e-01,2.6421246231e-12,1.2431473840e+02,3.5830640210e-02,6.7335424253e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,3.1284513855e+03,3.9074685703e+03,1.5797410000e+05,1.6418838143e+05,1.2243923125e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5815694802e+19,2.1716913883e+20,0.0000000000e+00,4.6888428051e+20,1.1156415781e+18,7.9388850688e+20,2.5765572821e+02,3.8247488937e+00,9.7553122291e+01,3.1827951519e+01,1.3516709818e-01,2.6419679805e-12,1.2431473840e+02,3.5830515453e-02,6.7325109865e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.2000000000e+01,3.1283666739e+03,3.9074685703e+03,1.5616260000e+05,1.6293071224e+05,1.2243923125e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5812501598e+19,2.1715718556e+20,0.0000000000e+00,4.6888419921e+20,1.1156450708e+18,7.9386157286e+20,2.5764815564e+02,3.8247475673e+00,9.7547413621e+01,3.1826088992e+01,1.3516705130e-01,2.6418115440e-12,1.2431473840e+02,3.5830390854e-02,6.7317768552e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.2000000000e+01,3.1283177885e+03,3.9074685703e+03,1.5490490000e+05,1.6132044135e+05,1.2243919929e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5809311442e+19,2.1714524368e+20,0.0000000000e+00,4.6888411798e+20,1.1156485605e+18,7.9383466457e+20,2.5764059031e+02,3.8247462421e+00,9.7541710409e+01,3.1824228247e+01,1.3516700447e-01,2.6416552571e-12,1.2431473840e+02,3.5830266366e-02,6.7308186292e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.3200000000e+02,3.1282410455e+03,3.9074685703e+03,1.5329460000e+05,1.5982282612e+05,1.2243903949e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5777450767e+19,2.1702597688e+20,0.0000000000e+00,4.6888330665e+20,1.1156834250e+18,7.9356592766e+20,2.5756503466e+02,3.8247330059e+00,9.7484751907e+01,3.1805644808e+01,1.3516653670e-01,2.6400944160e-12,1.2431473840e+02,3.5829022695e-02,6.7298850147e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.9200000000e+02,3.1281706984e+03,3.9074685703e+03,1.5179700000e+05,1.5837863294e+05,1.2243878379e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5726539343e+19,2.1683539193e+20,0.0000000000e+00,4.6888200941e+20,1.1157391836e+18,7.9313650654e+20,2.5744430395e+02,3.8247118425e+00,9.7393737668e+01,3.1775950251e+01,1.3516578878e-01,2.6376003673e-12,1.2431473840e+02,3.5827033912e-02,6.7291639509e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
5.4800000000e+02,3.1281158971e+03,3.9074685703e+03,1.5035290000e+05,1.5703513555e+05,1.2243837469e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5645176913e+19,2.1653080493e+20,0.0000000000e+00,4.6887993426e+20,1.1158284128e+18,7.9245025178e+20,2.5725136882e+02,3.8246779881e+00,9.7248291312e+01,3.1728496521e+01,1.3516459237e-01,2.6336147908e-12,1.2431473840e+02,3.5823851843e-02,6.7282635473e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.5800000000e+02,3.1280650210e+03,3.9074685703e+03,1.4900930000e+05,1.5594828546e+05,1.2243771948e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5515034578e+19,2.1604358089e+20,0.0000000000e+00,4.6887660981e+20,1.1159714473e+18,7.9135258788e+20,2.5694277880e+02,3.8246237529e+00,9.7015657270e+01,3.1652596695e+01,1.3516267568e-01,2.6272402355e-12,1.2431473840e+02,3.5818752357e-02,6.7277171506e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.6140000000e+03,3.1280272574e+03,3.9074685703e+03,1.4792250000e+05,1.5482537620e+05,1.2243667115e+04,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0000000000e+00,5.5307042588e+19,2.1526483964e+20,0.0000000000e+00,4.6887128346e+20,1.1162008359e+18,7.8959838278e+20,2.5644963763e+02,3.8245368593e+00,9.6643897452e+01,3.1531305308e+01,1.3515960486e-01,2.6170538438e-12,1.2431473840e+02,3.5810577685e-02,6.7272162461e+06,3.4719930453e+06,1.0000000000e+02,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
