z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
4.2686685648e+05,1.0337230724e-04,4.3656769362e+02,2.4840160767e-06,7.9649750065e-05,2.1238443304e-05,1.1902602610e-19,1.1563404456e-66,3.9272153613e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.2152862143e+05,1.6446108281e-04,4.8480085262e+02,3.9519672610e-06,1.2671947151e-04,3.3789488467e-05,1.2970185879e-19,1.1420322602e-66,4.1844172828e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1760263315e+05,2.2914228641e-04,5.1666933490e+02,5.5062437804e-06,1.7655720695e-04,4.7078618917e-05,1.3262671542e-19,9.9658306163e-67,4.1854458291e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1352649610e+05,3.1926208026e-04,5.2152108701e+02,7.6718045871e-06,2.4599571759e-04,6.5594256068e-05,1.5263368639e-19,1.2784687901e-66,4.7981077782e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0941826626e+05,4.4482525460e-04,5.2582158149e+02,1.0689062811e-05,3.4274382858e-04,9.1391942422e-05,1.7603676072e-19,1.6516190309e-66,5.5141071153e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0528101389e+05,6.1977140212e-04,5.3062794881e+02,1.4892984107e-05,4.7754218317e-04,1.2733564857e-04,2.0232038153e-19,2.1095240157e-66,6.3114668963e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0110920527e+05,8.6352244375e-04,5.3650221092e+02,2.0750273389e-05,6.6535563208e-04,1.7741572145e-04,2.3091706829e-19,2.6339849778e-66,7.1663981135e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9689701055e+05,1.2031387836e-03,5.4247831569e+02,2.8911186812e-05,9.2703457988e-04,2.4719187884e-04,2.6313200732e-19,3.2716236106e-66,8.1220372049e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9263956523e+05,1.6763234622e-03,5.4943637524e+02,4.0281720978e-05,1.2916297253e-03,3.4441043031e-04,2.9778962842e-19,3.9736582251e-66,9.1324676971e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8832208557e+05,2.3356078187e-03,5.5911927950e+02,5.6124193568e-05,1.7996171701e-03,4.7986424578e-04,3.3108672992e-19,4.5551199851e-66,1.0060549118e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
