z(m),p_tot(bar),T(K)
2.6571761996e+05,1.1764485090e-04,4.7237593249e+02
2.6228040716e+05,1.6282413174e-04,5.0878071948e+02
2.5858685343e+05,2.2535366124e-04,5.4177441139e+02
2.5473640724e+05,3.1189647438e-04,5.4918383309e+02
2.5084991509e+05,4.3167441877e-04,5.5292101141e+02
2.4694773924e+05,5.9745081822e-04,5.5523390892e+02
2.4303420362e+05,8.2689050976e-04,5.5806044867e+02
2.3910915260e+05,1.1444421771e-03,5.6082392027e+02
2.3517447041e+05,1.5839435589e-03,5.6373391766e+02
2.3122813946e+05,2.1922271372e-03,5.6705268588e+02
2.2726618612e+05,3.0341105238e-03,5.7090853473e+02
2.2328571618e+05,4.1993033086e-03,5.7484730986e+02
2.1928373671e+05,5.8119663538e-03,5.7942469714e+02
2.1524726934e+05,8.0439421530e-03,5.8662312141e+02
2.1114824524e+05,1.1133066061e-02,5.9811847756e+02
2.0694911329e+05,1.5408509604e-02,6.1460616430e+02
2.0261610809e+05,2.1325856410e-02,6.3488328340e+02
1.9813066429e+05,2.9515648385e-02,6.5721403435e+02
1.9348879070e+05,4.0850575135e-02,6.8039639937e+02
1.8869397257e+05,5.6538466209e-02,7.0320414404e+02
1.8375486028e+05,7.8250995261e-02,7.2422725796e+02
1.7868251951e+05,1.0830181061e-01,7.4411345582e+02
1.7348441033e+05,1.4989307346e-01,7.6310814388e+02
1.6816549169e+05,2.0745667449e-01,7.8161328090e+02
1.6272342433e+05,2.8712648823e-01,8.0152253298e+02
1.5714447698e+05,3.9739198772e-01,8.2415722928e+02
1.5140275367e+05,5.5000286766e-01,8.5188713263e+02
1.4544453013e+05,7.6122107083e-01,8.9085124125e+02
1.3919987204e+05,1.0535536317e+00,9.3897549699e+02
1.3263245893e+05,1.4581509859e+00,9.8911817302e+02
1.2573312536e+05,2.0181263047e+00,1.0413229973e+03
1.1848913707e+05,2.7931495581e+00,1.0956629246e+03
1.1088761630e+05,3.8658058396e+00,1.1522286918e+03
1.0291479187e+05,5.3503954867e+00,1.2111169167e+03
9.4556240378e+04,7.4051137208e+00,1.2724276719e+03
8.5796976750e+04,1.0248907647e+01,1.3362711661e+03
7.6620498602e+04,1.4184806866e+01,1.4027653105e+03
6.7009664942e+04,1.9632213771e+01,1.4720258613e+03
5.6945942885e+04,2.7171594310e+01,1.5441744370e+03
4.6408408497e+04,3.7606331408e+01,1.6193391475e+03
3.5378994266e+04,5.2048332014e+01,1.6976602357e+03
2.3837172810e+04,7.2036509916e+01,1.7792801424e+03
1.1752814287e+04,9.9700769654e+01,1.8643385558e+03
2.6276618778e+03,1.2505818726e+02,1.9258587655e+03
0.0000000000e+00,1.3344708979e+02,1.9527818238e+03
