t(yr),T_surf(K),T_pot(K),flux_surf(W/m2),flux_OLR(W/m2),flux_ASR(W/m2),phi(vol_frac),fO2_solid(bar),fO2_melt(bar),thick_surf_bl(m),massC_solid(kg),massC_melt(kg),massC_atm(kg),massH_solid(kg),massH_melt(kg),massH_atm(kg),massO_atm(kg),p_surf(bar),p_H2O(bar),p_CO2(bar),p_CO(bar),p_H2(bar),p_CH4(bar),p_O2(bar),mmw(kg/mol),R_trans(m),R_solid(m),viscosity(Pa.s),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
0.0000000000e+00,3.1525944636e+03,3.8799809908e+03,1.0000000000e+03,5.6722552870e+05,1.9062414159e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.8291935827e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.1376001318e+03,3.8799809908e+03,5.6595610000e+05,3.9964692350e+05,1.9062414159e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.7996684765e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.1296899643e+03,3.8799809908e+03,3.9837750000e+05,2.8782112361e+05,1.9062414159e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.7729701650e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
0.0000000000e+00,3.1287837575e+03,3.8799809908e+03,2.8655170000e+05,2.8167510470e+05,1.9062414159e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.7711967939e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0000000000e+00,3.1285204097e+03,3.8799809908e+03,2.8040560000e+05,2.7575543205e+05,1.9062414159e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.7694379325e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
2.0000000000e+00,3.1282637733e+03,3.8799809908e+03,2.7448600000e+05,2.6993045018e+05,1.9062414159e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822841277e+19,2.1717715872e+20,0.0,4.6888459877e+20,1.1154012290e+18,7.9391500187e+20,2.5765504771e+02,3.8237928392e+00,9.7553355539e+01,3.1828027619e+01,1.3513331109e-01,2.6406536587e-12,1.2431473840e+02,3.5830591088e-02,6.7676828139e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
3.2000000000e+01,3.1280158482e+03,3.8799809908e+03,2.6866100000e+05,2.6427203677e+05,1.9062406197e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5822326770e+19,2.1717523292e+20,0.0,4.6888458568e+20,1.1154017916e+18,7.9391066250e+20,2.5765382773e+02,3.8237926256e+00,9.7552435841e+01,3.1827727556e+01,1.3513330354e-01,2.6406284686e-12,1.2431473840e+02,3.5830571015e-02,6.7659495869e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
6.2000000000e+01,3.1277776957e+03,3.8799809908e+03,2.6300260000e+05,2.5879689443e+05,1.9062398733e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5821813004e+19,2.1717330989e+20,0.0,4.6888457260e+20,1.1154023533e+18,7.9390632938e+20,2.5765260950e+02,3.8237924123e+00,9.7551517468e+01,3.1827427925e+01,1.3513329601e-01,2.6406033147e-12,1.2431473840e+02,3.5830550971e-02,6.7642383125e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
9.2000000000e+01,3.1275464570e+03,3.8799809908e+03,2.5752740000e+05,2.5342331293e+05,1.9062391269e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5821299968e+19,2.1717138959e+20,0.0,4.6888455954e+20,1.1154029143e+18,7.9390200241e+20,2.5765139301e+02,3.8237921993e+00,9.7550600399e+01,3.1827128719e+01,1.3513328848e-01,2.6405781966e-12,1.2431473840e+02,3.5830530955e-02,6.7625215408e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
1.0920000000e+03,3.1273253528e+03,3.8799809908e+03,2.5215390000e+05,2.4830823713e+05,1.9062142468e+03,1.0000000000e+00,1.2431473840e+02,1.2431473840e+02,1.0000000000e-02,0.0,5.5804223569e+19,2.1710747219e+20,0.0,4.6888412488e+20,1.1154215896e+18,7.9375797966e+20,2.5761090220e+02,3.8237851099e+00,9.7520075931e+01,3.1817169722e+01,1.3513303794e-01,2.6397421473e-12,1.2431473840e+02,3.5829864622e-02,6.7608199106e+06,NaN,NaN,0.0,0.0,0.0,0.0,0.0
