z(m),p_tot(bar),T(K),p_H2O(bar),p_CO2(bar),p_O2(bar),p_H2(bar),p_CH4(bar),p_CO(bar),p_N2(bar),p_NH3(bar),p_S2(bar),p_SO2(bar),p_H2S(bar)
4.1639348984e+05,1.0338048843e-04,4.0947622447e+02,2.4008544648e-06,8.0983372504e-05,1.9996104617e-05,1.2496235581e-19,1.4706545148e-66,4.3724703576e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.1141291415e+05,1.6465643012e-04,4.5366237707e+02,3.8238949303e-06,1.2898403962e-04,3.1848245764e-05,1.4330933687e-19,1.7145076821e-66,4.9412965425e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0777484124e+05,2.2959609235e-04,4.7819048533e+02,5.3320197282e-06,1.7985469168e-04,4.4409032616e-05,1.5647762268e-19,1.8520352316e-66,5.3308391531e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0402153740e+05,3.2014762850e-04,4.8195175423e+02,7.4349413091e-06,2.5078847130e-04,6.1923730195e-05,1.8222352721e-19,2.4679943517e-66,6.1946962806e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0024280092e+05,4.4641223196e-04,4.8562966912e+02,1.0367244513e-05,3.4969817439e-04,8.6346135803e-05,2.1216073328e-19,3.2865502155e-66,7.1967873852e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9643230886e+05,6.2247495562e-04,4.9186619530e+02,1.4456033251e-05,4.8761736352e-04,1.2040061452e-04,2.4430834763e-19,4.2221238726e-66,8.2553332102e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.9257313585e+05,8.6797592592e-04,4.9974646842e+02,2.0157419563e-05,6.7993118240e-04,1.6788600717e-04,2.7886143843e-19,5.2705777418e-66,9.3738887956e-19,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8865525199e+05,1.2103012357e-03,5.0824034774e+02,2.8107403767e-05,9.4809259761e-04,2.3409939823e-04,3.1658478234e-19,6.4644024739e-66,1.0577794421e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8467268927e+05,1.6876379141e-03,5.1743390769e+02,3.9192821481e-05,1.3220155169e-03,3.2642701543e-04,3.5710338352e-19,7.7638544845e-66,1.1847925540e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.8060989353e+05,2.3532337613e-03,5.2992060375e+02,5.4650271809e-05,1.8434117422e-03,4.5516817729e-04,3.9424417676e-19,8.6935972680e-66,1.2945575375e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7643679698e+05,3.2813372400e-03,5.4732004237e+02,7.6204062273e-05,2.5704439983e-03,6.3468420146e-04,4.2038496302e-19,8.6920573758e-66,1.3589031401e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.7209530677e+05,4.5754800309e-03,5.7612327873e+02,1.0625855855e-04,3.5842140947e-03,8.8500043651e-04,4.1568555155e-19,6.7953107551e-66,1.3075094112e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6750657552e+05,6.3800261850e-03,6.1399642681e+02,1.4816639597e-04,4.9978099832e-03,1.2340401271e-03,4.1195454580e-19,5.3508651542e-66,1.2612664780e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.6262418337e+05,8.8962762040e-03,6.5425317779e+02,2.0660247224e-04,6.9689209317e-03,1.7207393040e-03,5.4084472478e-19,1.0541595738e-65,1.6831427870e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.5742981861e+05,1.2404922488e-02,6.9684410324e+02,2.8808544097e-04,9.7174280563e-03,2.3993901717e-03,1.4064578658e-18,1.9276479018e-64,4.9417454459e-18,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
